№;Линк категории поставщика;Категория на моем сайте_RU;Категория на моем сайте_UA;Номер_групи;Ідентифікатор_підрозділу;Посилання_підрозділу
1;https://secur.ua/ajax/startovye-komplekty/status=1;Сигнализация Ajax;Сигналізація Ajax;4331550;302306;https://prom.ua/Ohrannye-sistemy-i-signalizatsii
2;https://secur.ua/ajax/centrali-haby/status=1;Сигнализация Ajax;Сигналізація Ajax;4331550;302303;https://prom.ua/Priemno-kontrolnye-pribory-i-pribory-upravleniya
3;https://secur.ua/ajax/zaxist-vid-vtorgnennia/status=1;Сигнализация Ajax;Сигналізація Ajax;4331550;302306;https://prom.ua/Ohrannye-sistemy-i-signalizatsii
4;https://secur.ua/ajax/zapobigannia-potopu/status=1;Сигнализация Ajax;Сигналізація Ajax;4331550;302306;https://prom.ua/Ohrannye-sistemy-i-signalizatsii
5;https://secur.ua/ajax/videosposterezennia/status=1;Сигнализация Ajax;Сигналізація Ajax;4331550;302306;https://prom.ua/Ohrannye-sistemy-i-signalizatsii
6;https://secur.ua/ajax/komfort-ta-produktivnist/status=1;Сигнализация Ajax;Сигналізація Ajax;4331550;302306;https://prom.ua/Ohrannye-sistemy-i-signalizatsii
7;https://secur.ua/ajax/datchiki-dyma-i-gaza/status=1;Сигнализация Ajax;Сигналізація Ajax;4331550;302306;https://prom.ua/Ohrannye-sistemy-i-signalizatsii
8;https://secur.ua/ajax/korpusi-dummybox/status=1;Сигнализация Ajax;Сигналізація Ajax;4331550;302306;https://prom.ua/Ohrannye-sistemy-i-signalizatsii
9;https://secur.ua/ajax/elektrozivlennia-ajax/status=1;Сигнализация Ajax;Сигналізація Ajax;4331550;302306;https://prom.ua/Ohrannye-sistemy-i-signalizatsii
10;https://secur.ua/ajax/aksessuary-dlja-signalizacii-ajax/status=1;Сигнализация Ajax;Сигналізація Ajax;4331550;302306;https://prom.ua/Ohrannye-sistemy-i-signalizatsii
11;https://secur.ua/ajax/pozezna-bezpeka/status=1;Сигнализация Ajax;Сигналізація Ajax;4331550;302306;https://prom.ua/Ohrannye-sistemy-i-signalizatsii
