я╗┐Код_товару;Назва_позиції;Назва_позиції_укр;Пошукові_запити;Пошукові_запити_укр
100;Установка видеоняни EZVIZ для наблюдения за детьми с функцией обнаружения плача;Встановлення відеоняні EZVIZ для нагляду за дітьми з функцією виявлення плачу;установка видеоняни ezviz, монтаж езвиз видеоняня, подключение ezviz детская, камера ezviz плач ребенка, видеоняня обнаружение плача, установка камеры детской комнаты, монтаж детского видеоконтроля, подключение wi-fi видеоняни, видеонаблюдение за младенцем, камера для новорожденных, детский видеомониторинг удаленный, система присмотра малыша, домашняя видеоняня функциональная, видеоконтроль детей профессиональный;встановлення відеоняні ezviz, монтаж езвіз відеоняня, підключення ezviz дитяча, камера ezviz плач дитини, відеоняня виявлення плачу, встановлення камери дитячої кімнати, монтаж дитячого відеоконтролю, підключення wi-fi відеоняні, відеоспостереження за немовлям, камера для новонароджених, дитячий відеомоніторинг віддалений, система догляду малюка, домашня відеоняня функціональна, відеоконтроль дітей професійний
101;Установка видеонаблюдения Dahua за домом;Встановлення відеоспостереження Dahua за будинком;установка dahua дом, монтаж дахуа частный, камеры dahua домашние, видеонаблюдение за частным домом, установка уличных камер дом, монтаж домового видеоконтроля, подключение dahua периметр, видеозащита территории дома, охранные камеры дома, загородное видеонаблюдение профессиональное, система видеоконтроля дома, домашняя охрана видеокамерами, видеомониторинг частных территорий, периметр дома наблюдение;встановлення dahua будинок, монтаж дахуа приватний, камери dahua домашні, відеоспостереження приватного будинку, встановлення вуличних камер будинок, монтаж домового відеоконтролю, підключення dahua периметр, відеозахист території будинку, охоронні камери будинку, заміське відеоспостереження професійне, система відеоконтролю будинку, домашня охорона відеокамерами, відеомоніторинг приватних територій, периметр будинку спостереження
102;Монтаж видеонаблюдения Hikvision в офисе;Монтаж відеонагляду Hikvision в офісі;монтаж hikvision офис, установка хиквижн кабинет, камеры hikvision коммерческие, видеонаблюдение офисных помещений, монтаж ip-камер офис, установка офисного видеоконтроля, подключение систем видеонаблюдения офис, видеомониторинг бизнес-центра, камеры наблюдения офисных, система видеоохраны офиса, офисная безопасность видеомониторинг, корпоративное видеонаблюдение профессиональное, видеоконтроль рабочих помещений, офисные системы наблюдения;монтаж hikvision офіс, встановлення хіквіжн кабінет, камери hikvision комерційні, відеоспостереження офісних приміщень, монтаж ip-камер офіс, встановлення офісного відеоконтролю, підключення систем відеоспостереження офіс, відеомоніторинг бізнес-центру, камери спостереження офісних, система відеоохорони офісу, офісна безпека відеомоніторинг, корпоративне відеоспостереження професійне, відеоконтроль робочих приміщень, офісні системи спостереження
103;Установка видеонаблюдения в магазине с контролем кассовых операций;Встановлення відеоспостереження в магазині з контролем касових операцій;видеонаблюдение магазин касса, установка камер торговый зал, монтаж видеоконтроля кассы, системы наблюдения магазинов кассовые, видеоконтроль операций розница, установка камер торговой точки, видеомониторинг кассовых операций, камеры торгового помещения кассы, видеонаблюдение розничного магазина, система видеоконтроля торговли, охранные камеры магазинов, торговое видеонаблюдение профессиональное, кассовый видеоконтроль комплексный, магазинная безопасность видеомониторинг;відеоспостереження магазин каса, встановлення камер торговий зал, монтаж відеоконтролю каси, системи спостереження магазинів касові, відеоконтроль операцій роздріб, встановлення камер торгової точки, відеомоніторинг касових операцій, камери торгового приміщення каси, відеоспостереження роздрібного магазину, система відеоконтролю торгівлі, охоронні камери магазинів, торгове відеоспостереження професійне, касовий відеоконтроль комплексний, магазинна безпека відеомоніторинг
104;Установка видеонаблюдения на автостоянке;Встановлення відеоспостереження на автостоянці;видеонаблюдение парковка автомобильная, установка камер автостоянка, монтаж видеоконтроля паркинг, камеры для автомобильных парковок, видеомониторинг стоянки транспорта, установка уличных камер парковка, видеозащита автомобилей стоянка, система наблюдения паркинга, охранные камеры автостоянок, парковочное видеонаблюдение профессиональное, контроль автопарковки видеокамерами, видеонаблюдение открытой стоянки, защита транспорта видеосистемами, видеоконтроль паркингов уличных;відеоспостереження парковка автомобільна, встановлення камер автостоянка, монтаж відеоконтролю паркінг, камери автомобільних парковок, відеомоніторинг стоянки транспорту, встановлення вуличних камер парковка, відеозахист автомобілів стоянка, система спостереження паркінгу, охоронні камери автостоянок, паркувальне відеоспостереження професійне, контроль автопарковки відеокамерами, відеоспостереження відкритої стоянки, захист транспорту відеосистемами, відеоконтроль паркінгів вуличних
105;Установка IP-видеонаблюдения в супермаркете;Встановлення IP-відеоспостереження в супермаркеті;установка ip-камер супермаркет, монтаж сетевого видеонаблюдения торговля, ip-видеонаблюдение продуктовых магазинов, сетевые камеры супермаркета, видеомониторинг торгового комплекса, установка цифрового видеонаблюдения супермаркет, ip-системы магазинов крупных, видеоконтроль розничной сети, камеры наблюдения продуктовых, система видеонаблюдения торговых центров, супермаркет безопасность видеомониторинг, профессиональное видеонаблюдение ритейл, торговое ip-видеонаблюдение полное, сетевой видеоконтроль магазинов;встановлення ip-камер супермаркет, монтаж мережевого відеоспостереження торгівля, ip-відеоспостереження продуктових магазинів, мережеві камери супермаркету, відеомоніторинг торгового комплексу, встановлення цифрового відеоспостереження супермаркет, ip-системи магазинів великих, відеоконтроль роздрібної мережі, камери спостереження продуктових, система відеоспостереження торгових центрів, супермаркет безпека відеомоніторинг, професійне відеоспостереження рітейл, торгове ip-відеоспостереження повне, мережевий відеоконтроль магазинів
106;Установка wi-fi видеонаблюдения;Установка wi-fi відеоспостереження;установка wifi камер видеонаблюдения, монтаж беспроводного видеоконтроля, wi-fi видеонаблюдение домашнее, подключение вай-фай камер, беспроводные системы видеомониторинга, установка сетевых wifi-камер, видеонаблюдение без проводов, wi-fi видеоконтроль удаленный, беспроводная охрана видеокамерами, мобильное видеонаблюдение wifi, система беспроводных камер, видеомониторинг вай-фай профессиональный, умное видеонаблюдение беспроводное, wifi-камеры установка полная;встановлення wifi камер відеоспостереження, монтаж бездротового відеоконтролю, wi-fi відеоспостереження домашнє, підключення вай-фай камер, бездротові системи відеомоніторингу, встановлення мережевих wifi-камер, відеоспостереження без проводів, wi-fi відеоконтроль віддалений, бездротова охорона відеокамерами, мобільне відеоспостереження wifi, система бездротових камер, відеомоніторинг вай-фай професійний, розумне відеоспостереження бездротове, wifi-камери встановлення повне
107;Установка системы распознавания автомобильных номеров;Встановлення системи розпізнавання автомобільних номерів;установка распознавания номеров автомобилей, монтаж anpr системы, камеры распознавания госномеров, видеофиксация автомобильных номеров, система идентификации транспорта номерам, установка камер парковочного контроля, автоматическое распознавание номеров машин, видеоконтроль номерных знаков, камеры фиксации транспорта, система учета автомобилей номерам, парковочный контроль автоматический, распознавание номеров профессиональное, видеоконтроль въездов автомобильных, системы anpr установка полная;встановлення розпізнавання номерів автомобілів, монтаж anpr системи, камери розпізнавання держномерів, відеофіксація автомобільних номерів, система ідентифікації транспорту номерам, встановлення камер паркувального контролю, автоматичне розпізнавання номерів машин, відеоконтроль номерних знаків, камери фіксації транспорту, система обліку автомобілів номерам, паркувальний контроль автоматичний, розпізнавання номерів професійне, відеоконтроль в'їздів автомобільних, системи anpr встановлення повне
108;Установка видеонаблюдения на предприятии;Встановлення відеоспостереження на підприємстві;видеонаблюдение промышленное предприятие, установка камер производство, монтаж видеоконтроля заводские территории, системы наблюдения промышленных объектов, видеомониторинг цехов производственных, установка охранных камер предприятие, видеоконтроль территории завода, камеры промышленного назначения, система безопасности предприятия видео, производственное видеонаблюдение профессиональное, охрана промышленных объектов видеокамерами, видеомониторинг заводских помещений, промышленный видеоконтроль комплексный, предприятие безопасность видеосистемы;відеоспостереження промислове підприємство, встановлення камер виробництво, монтаж відеоконтролю заводські території, системи спостереження промислових об'єктів, відеомоніторинг цехів виробничих, встановлення охоронних камер підприємство, відеоконтроль території заводу, камери промислового призначення, система безпеки підприємства відео, виробниче відеоспостереження професійне, охорона промислових об'єктів відеокамерами, відеомоніторинг заводських приміщень, промисловий відеоконтроль комплексний, підприємство безпека відеосистеми
109;Установка тепловизора Hikvision для обнаружения лиц с повышенной температурой;Встановлення тепловізора Hikvision для виявлення осіб з підвищеною температурою;установка тепловизора hikvision, монтаж хиквижн температурный контроль, тепловизор измерение температуры лица, тепловизионная камера hikvision бесконтактная, установка системы температурного скрининга, тепловой контроль посетителей автоматический, видеотермометр бесконтактный hikvision, камера обнаружения температуры людей, система температурного мониторинга входа, тепловизионное оборудование контрольное, температурный скрининг профессиональный, тепловизор санитарный контроль, бесконтактный контроль температуры установка, тепловизионные камеры доступа;встановлення тепловізора hikvision, монтаж хіквіжн температурний контроль, тепловізор вимірювання температури обличчя, тепловізійна камера hikvision безконтактна, встановлення системи температурного скринінгу, тепловий контроль відвідувачів автоматичний, відеотермометр безконтактний hikvision, камера виявлення температури людей, система температурного моніторингу входу, тепловізійне обладнання контрольне, температурний скринінг професійний, тепловізор санітарний контроль, безконтактний контроль температури встановлення, тепловізійні камери доступу
