Код_товару;Назва_позиції;Назва_позиції_укр;Пошукові_запити;Пошукові_запити_укр
20700;Система Умный дом Metaforsa 3;Система Розумний будинок  Metaforsa 3;;
20701;Блок питания 3А/12В;Блок живлення 3А/12В;;
20702;Блок питания 6А/12В;Блок живлення 6А/12В;;
20703;Балун Приемник передатчик видеосигнала по UTP Balun;"Балун Приймач, передавач відеосигналу по UTP Balun";;
20704;Конвертер  Eurosky USP-5CP Circular;Конвертер Eurosky USP-5CP Circular;;
20705;Спутниковый конвертер на один выход;Супутниковий конвертор на один вихід;;
20706;Спутниковый конвертер TWIN на два выхода;Супутниковий конвертор TWIN на два виходи;;
20707;Спутниковый конвертер QUAD на четыре выхода;Супутниковий конвертор QUAD на чотири виходи;;
20708;Переключатель DiseQ 1*4 герметичный;Перемикач DiseQ 1*4 герметичний;;
20709;Переключатель DiseQ 1*4;Перемикач DiseQ 1*4;;
20710;Переключатель DiseQ 1*8;Перемикач DiseQ 1*8;;
20711;Крепление 2-го конвертора;Кріплення 2-го конвертора;;
20712;Кронштейн Т 400мм;Кронштейн Т 400мм;;
20713;Блок питания  12в 2а для тюнера Т2;Блок живлення 12 в 2а для тюнера Т2;;
20714;Разветвитель DATIX S-2 DS Сплиттер;Розгалужувач DATIX S-2 DS Спліттер;;
20715;Разветвитель DATIX S-3 DS Сплиттер;Розгалужувач DATIX S-3 DS Спліттер;;
20716;Разветвитель DATIX S-4 DS Сплиттер;Розгалужувач DATIX S-4 DS Спліттер;;
20717;Кабель тюльпаны RCA-RCA;Кабель тюльпани RCA-RCA;;
20718;Переходник Scart - RCA двусторонний;Перехідник Scart - RCA двосторонній;;
20719;"Кабель HDMI - HDMI  1,4 м";"Кабель HDMI - HDMI 1,4 м";;
20720;Универсальный пульт HUAYU VP-002 для Т2-тюнеров;Універсальний пульт HUAYU VP-002 для Т2-тюнерів;;
20721;Усилитель  т2 сигнала Eurosky 99999 до 100км  с блоком питания регулируемым;Підсилювач т2 Eurosky 99999 сигналу до 100км з блоком живлення регульованим;;
20722;Инжектор питания  5V USB для активной антенны;Інжектор живлення 5V USB для активної антени;;
20723;"Блок питания 5в 1,2 а для тюнера Т2 и смарт приставки";"Блок живлення 5в 1,2 а для тюнера Т2 і смарт приставки";;
20724;Блок питания Eurosky регулируемый для усилителей swa  т2 сигнала;Блок живлення Eurosky регульований для підсилювачів swa т2 сигналу;;
20725;Усилитель  т2 сигнала Eurosky 99999 до 100км;Підсилювач т2 сигналу Eurosky 99999 до 100км;;
20726;"Шнур видео аудио mini Jack 3,5 мм (длинный) 3 RCA 1м для тюнера Т2";"Шнур відео аудио miniJack 3,5 мм (довгий) 3 RCA 1м для тюнера Т2";;
20727;Шнур видео-аудио для подключения приставок смарт ТВ к старым телевизорам;Шнур відео-аудіо для підключення приставок смарт ТВ до старих телевізорів;;
20728;Разъем BNC под F;Роз'єм BNC під F;;
20729;Разъем  JF5121;Роз'єм JF5121;;
20730;Разъем  MD1620 для питания видеокамер;Роз'єм MD1620 для живлення відеокамер;;
20731;Коннектор RJ-45 CONNECTOR 8P8C Cat-5;Конектор RJ-45 CONNECTOR 8P8C Cat-5;;
20732;Разъем  MD1621 для питания видеокамер;Роз'єм MD1621 для живлення відеокамер;;
20733;F-коннектор RG-6 TRILINK;F-конектор RG-6 TRILINK;;
20734;Разъём TVF / папа;Роз'єм TVF / тато;;
20735;Разъём TVF / мама;Роз'єм TVF / мама;;
20736;Кабель 6х0.22мм в экране;Кабель 6х0.22мм у екрані;;
20737;Кабель 4х0.22мм в экране;Кабель 4х0.22мм  у екрані;;
20738;Кабель F660BV  FinMark;Кабель F660BV FinMark;;
20739;Спутниковый тюнер Openbox S3 Mini II HD прошитый с каналами;Супутниковий тюнер Openbox S3 Mini II HD прошитий з каналами;;
20740;Спутниковый тюнер Sat-Integral S-1228 HD прошитый с каналами;Супутниковий тюнер Sat-Integral S-1228 HD  прошитий   з каналами;;
20741;Комбинированный тюнер Openbox SX2 Combo HD прошитый с каналами;Комбінований тюнер Openbox SX2 Combo HD прошитий з каналами;;
20742;Спутниковый тюнер Sat-Integral S-1218 HD  прошитый с каналами;Супутниковий тюнер Sat-Integral S-1218 HD прошитий  з каналами;;
20743;Антенна спутниковая СА- 901;Антена супутникова СА- 901;;
20744;Тюнер т2 World Vision T644M3 FM;Тюнер т2 World Vision T644M3 FM;;
20745;Тюнер т2 World Vision T644B FM;Тюнер т2 World Vision T644B FM;;
20746;Тюнер т2 World Vision Т645A FM с обучаемым пультом;Тюнер т2 World Vision Т645A FM з навчаємим пультом;;
20747;Тюнер т2 World Vision Т645A  LAN FM VideoCast 300 IPTV;Тюнер т2 World Vision Т645A  LAN FM VideoCast 300 IPTV;;
20748;Комплект Тюнер т2 World Vision T644M3 FM VideoCast Wi-Fi 3dB 300 IPTV;Комплект Тюнер т2 World Vision T644M3 FM VideoCast Wi-Fi 3dB 300 IPTV;;
20749;Комплект Тюнер т2 World Vision T644B FM VideoCast Wi-Fi 3dB 300 IPTV;Комплект Тюнер т2 World Vision T644B FM VideoCast Wi-Fi 3dB 300 IPTV;;
20750;Комплект Тюнер т2 World Vision Т645A FM VideoCast Wi-Fi 3dB 300 IPTV;Комплект Тюнер т2 World Vision Т645A FM VideoCast Wi-Fi 3dB 300 IPTV;;
20751;Комбинированный тюнер Q-BOX Combo прошитый с каналами;Комбінований тюнер Q-BOX Combo прошитий з каналами;;
20752;Комнатная антенна т2 ES-008 Omega с усилителем до 10 км прямой видимости;Кімнатна антена т2 ES-008 Omega з підсилювачем до 10 км прямої видимості;;
20753;Комнатная антенна т2  EMA-14  с усилителем до 15 км прямой видимости;Кімнатна антена т2  EMA-14 з підсилювачем до 15 км прямої видимості;;
20754;Комнатная антенна т2  Eurosky ES-001 с усилителем до 20 км прямой видимости;Кімнатна антена т2 Eurosky ES-001 з підсилювачем до 20 км прямої видимості;;
20755;Наружная антенна  т2 Eurosky Favorit  с усилителем до 55 км прямой видимости;Зовнішня антена т2 Eurosky Favorit з підсилювачем до 55 км прямої видимості;;
20756;Наружная антенна т2 Eurosky МИР-19 до 55 км прямой видимости;Зовнішня антена т2 Eurosky СВІТ-19 до 55 км прямої видимості;;
20757;Наружная антенна т2 Eurosky МИР-19 с усилителем до 100 км прямой видимости;Зовнішня антена т2 Eurosky СВІТ-19 з підсилювачем до 100 км прямої видимості;;
20758;Аккумулятор 12В 7А/ч Ritar;Акумулятор 12 В 7А/г Ritar;;
20759;Аккумулятор 12В 18А/ч Ritar;Акумулятор 12В 18А/ч Ritar;;
20760;"Аккумулятор 12В 2,2А/ч Full Energy";"Акумулятор 12В 2,2А/ч Full Energy";;
20761;Приставка смарт X96 MAX PLUS ULTRA 4/32 GB ANDROID 11  с обновлением ПО;Приставка смарт X96 MAX PLUS ULTRA 4/32 GB ANDROID 11 з оновленням ПО;;
20762;Приставка смарт X98Q 2/16 Android 11.0 с обновлением ПО;Приставка смарт X98Q 2/16 Android 11.0 з оновленням ПО;;
20763;Аэропульт G10S PRO AIR MOUSE с функцией голосового поиска;Аеропульт G10S PRO AIR MOUSE з функцією голосового пошуку;;
20764;Адаптер  Wi-Fi usb adapter чипсет 7601 с антенной 3дБ;Адаптер Wi-Fi usb adapter чіпсет 7601 з антеною 3дБ;;
20765;Адаптер  Wi-Fi  usb adapter чипсет 7601 с антенной 5дБ;Адаптер Wi-Fi usb adapter чіпсет 7601 з антеною 5дБ;;
20766;Усилитель ТВ-разводки Bi-Zone BI-330;Підсилювач ТВ-розводки Bi-Zone BI-330;;
20767;Комплект відеодомофона ARNY AVD-4005;Комплект відеодомофона ARNY AVD-4005;;
20768;Вызывная панель ARNY  AVP-05;Виклична панель ARNY  AVP-05;;
20769;Комплект відеодомофона ARNY AVD-7006;Комплект відеодомофона ARNY AVD-7006;;
20770;Датчик дыма СПД 3.2;Датчик диму СПД 3.2;;
20771;Датчик открытия магнитоконтакт СОМК 1-8;Датчик відкриття магнитоконтакт СЗМК 1-8;;
20772;Датчик комбинированный движения и разбития стекла   SWAN PGB;Комбінований Датчик руху та розбиття скла SWAN PGB;;
20773;Сирена SA 105;Сирена SA 105;;
20774;Датчик движения SWAN QUAD;Датчик руху SWAN QUAD;;
20775;Датчик открытия магнитоконтакт ЭСМК-1;Датчик відкриття магнітоконтакт ЭСМК-1;;
