Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики
"Вихідна потужність, Вт";;50 000;Вага брутто;;105000;Рабочая температура;;-40 - +60 С;Розмір упаковки (Ш х В х Г);;690 x 500 x 1130 мм;"Розміри, мм";;527×894×294;Інтерфейс зв'язку;;RS485/RS232/CAN;Строк гарантії;;60 міс.;Вес;г;80000;"Напруга батареї, В";;160-800;Класс защиты;;IP65;"Струм зарядки батареї, А";;50+50;"Напруга сонячних панелей, В";;150-850;"Струм сонячних панелей, А";;36+36+36+36;Кількість MPPT(PWM)/стрінг на трекер;;4/2+2+2+2;"Потужність сонячних панелей, Вт";;65 000
"Вихідна потужність, Вт";;12 000;Вага брутто;;101000;Рабочая температура;;-40 - +60°С;Розмір упаковки (Ш х В х Г);;515 x 480 x 910 мм;"Розміри, мм";;810 x 405 x 217 мм;Інтерфейс зв'язку;;VE.Bus;Строк гарантії;;60 міс.;Вес;г;80000;"Напруга батареї, В";;38-66;Класс защиты;;IP22;"Струм зарядки батареї, А";;200;;;;;;;;;;;;
"Вихідна потужність, Вт";;6 000;Вага брутто;;31480;Розмір упаковки (Ш х В х Г);;320 x 555 x 680 мм;"Розміри, мм";;580 x 230 x 440;Інтерфейс зв'язку;;Ethernet / WIFI / 4G;Вес;г;25000;"Струм зарядки батареї, А";;40;"Напруга сонячних панелей, В";;100 - 550;"Струм сонячних панелей, А";;15;Кількість MPPT(PWM)/стрінг на трекер;;2/1/2026 0:00;;;;;;;;;;;;;;;
"Вихідна потужність, Вт";;12 000;Вага брутто;;96000;Рабочая температура;;-20 - +60 ˚C;Розмір упаковки (Ш х В х Г);;620 x 630 x 695 мм;"Розміри, мм";;572 x 488 x 344;Інтерфейс зв'язку;;VE.Bus;Строк гарантії;;60 міс.;Вес;г;72000;"Напруга батареї, В";;38 – 66;Класс защиты;;IP20;"Струм зарядки батареї, А";;200;;;;;;;;;;;;
"Вихідна потужність, Вт";;15 000;Вага брутто;;40000;Рабочая температура;;-40 - +60 С;Розмір упаковки (Ш х В х Г);;560 x 390 x 840 мм;"Розміри, мм";;408×638×237;Інтерфейс зв'язку;;CAN;Строк гарантії;;60 міс.;Вес;г;30500;"Напруга батареї, В";;160-700;Класс защиты;;IP65;"Струм зарядки батареї, А";;37;"Напруга сонячних панелей, В";;150-850;"Струм сонячних панелей, А";;26+20;Кількість MPPT(PWM)/стрінг на трекер;;2/2+1;"Потужність сонячних панелей, Вт";;19 500
"Вихідна потужність, Вт";;6 400;Вага брутто;;50360;Рабочая температура;;-20 - +60 ˚C;Розмір упаковки (Ш х В х Г);;490 x 380 x 506 мм;"Розміри, мм";;470 x 350 x 280;Інтерфейс зв'язку;;VE.Bus;Строк гарантії;;60 міс.;Вес;г;41000;"Напруга батареї, В";;38 – 66;"Струм зарядки батареї, А";;110;;;;;;;;;;;;;;;
"Вихідна потужність, Вт";;200;Вага брутто;;3120;Рабочая температура;;-40 °C - +60 °C;Розмір упаковки (Ш х В х Г);;220 x 160 x 300 мм;"Розміри, мм";;86 х 165 х 260;Строк гарантії;;60 міс.;"Напруга батареї, В";;24;Класс защиты;;IP21;"Напруга сонячних панелей, В";;50;"Струм сонячних панелей, А";;10;"Потужність сонячних панелей, Вт";;500;;;;;;;;;;;;
"Вихідна потужність, Вт";;80 000;Вага брутто;;127000;Рабочая температура;;-40 - +60 С;Розмір упаковки (Ш х В х Г);;745 x 510 x 1160 мм;"Розміри, мм";;606×927×314;Інтерфейс зв'язку;;RS485/RS232/CAN;Строк гарантії;;60 міс.;Вес;г;97500;"Напруга батареї, В";;160-1000;Класс защиты;;IP65;"Струм зарядки батареї, А";;80+80;"Напруга сонячних панелей, В";;150-850;"Струм сонячних панелей, А";;36+36+36+36+36+36;Кількість MPPT(PWM)/стрінг на трекер;;6/2+2+2+2+2+2;"Потужність сонячних панелей, Вт";;160 000
"Вихідна потужність, Вт";;4 800;Вага брутто;;14160;Рабочая температура;;-40 - +65 °C;Розмір упаковки (Ш х В х Г);;490 x 220 x 540 мм;"Розміри, мм";;462 x 425 x 127;Інтерфейс зв'язку;;"VE.Direct, VE.Can & Bluetooth";Строк гарантії;;60 міс.;Вес;г;12300;"Напруга батареї, В";;38 – 62;Класс защиты;;IP21;"Струм зарядки батареї, А";;100;"Напруга сонячних панелей, В";;65 – 450;"Струм сонячних панелей, А";;13;Кількість MPPT(PWM)/стрінг на трекер;;2/1+1;"Потужність сонячних панелей, Вт";;6 000
"Вихідна потужність, Вт";;6 400;Вага брутто;;45520;Рабочая температура;;-40 - +65°С;Розмір упаковки (Ш х В х Г);;450 x 300 x 740 мм;"Розміри, мм";;642 x 363 x 206 мм;Інтерфейс зв'язку;;VE.Bus;Строк гарантії;;60 міс.;Вес;г;42000;"Напруга батареї, В";;38-66;Класс защиты;;IP22;"Струм зарядки батареї, А";;110;;;;;;;;;;;;
"Вихідна потужність, Вт";;200;Вага брутто;;2400;Рабочая температура;;-40 °C - +60 °C;Розмір упаковки (Ш х В х Г);;169 x 960 x 260 мм;"Розміри, мм";;86 х 165 х 260;Інтерфейс зв'язку;;"Bluetooth, VE.Direct";Строк гарантії;;60 міс.;Вес;г;2400;"Напруга батареї, В";;9.2 – 17;Класс защиты;;IP21;"Напруга сонячних панелей, В";;25;"Струм сонячних панелей, А";;15;Кількість MPPT(PWM)/стрінг на трекер;;1;"Потужність сонячних панелей, Вт";;375;;;
"Вихідна потужність, Вт";;10 000;Вага брутто;;40000;Рабочая температура;;-10 °C - +50 °C*;Розмір упаковки (Ш х В х Г);;780 x 320 x 680 мм;"Розміри, мм";;580 x 230 x 606;Інтерфейс зв'язку;;Ethernet / WIFI / 4G;Вес;г;30;"Напруга батареї, В";;256;"Струм зарядки батареї, А";;32;"Напруга сонячних панелей, В";;200 - 850;"Струм сонячних панелей, А";;26;Кількість MPPT(PWM)/стрінг на трекер;;2/2+1;"Потужність сонячних панелей, Вт";;16000;;;;;;
"Вихідна потужність, Вт";;2 400;Вага брутто;;28080;Рабочая температура;;-20 - +45°С;Розмір упаковки (Ш х В х Г);;370 x 310 x 590 мм;"Розміри, мм";;499 x 268 x 237;Інтерфейс зв'язку;;"BMS-Can, USB, Ethernet, VE.Direct, Wi-Fi";Строк гарантії;;60 міс.;Вес;г;26000;"Напруга батареї, В";;38 – 66;Класс защиты;;IP21;"Струм зарядки батареї, А";;35;"Напруга сонячних панелей, В";;250;"Струм сонячних панелей, А";;70;Кількість MPPT(PWM)/стрінг на трекер;;1/1/2026 0:00;"Потужність сонячних панелей, Вт";;4 000
"Вихідна потужність, Вт";;25 000;Вага брутто;;30000;Рабочая температура;;-30 - +60℃;Розмір упаковки (Ш х В х Г);;550 x 310 x 650 мм;"Розміри, мм";;519 х 426 х 192;Інтерфейс зв'язку;;RS485 / 4G / WIFI;Строк гарантії;;12 міс.;Вес;г;27000;Класс защиты;;IP66;"Напруга сонячних панелей, В";;140 - 1000;"Струм сонячних панелей, А";;20+20;Кількість MPPT(PWM)/стрінг на трекер;;2/2/2026 0:00;"Потужність сонячних панелей, Вт";;40 000;;;;;;
