Назва_Характеристики;Значення_Характеристики;Значення_Характеристики;Значення_Характеристики;Значення_Характеристики;Значення_Характеристики;Значення_Характеристики;Значення_Характеристики;Значення_Характеристики;Значення_Характеристики;Значення_Характеристики;Значення_Характеристики;Значення_Характеристики;Значення_Характеристики;Значення_Характеристики;Значення_Характеристики;Значення_Характеристики;Значення_Характеристики;Значення_Характеристики;Значення_Характеристики;Значення_Характеристики;Значення_Характеристики;Значення_Характеристики;Значення_Характеристики;Значення_Характеристики;Значення_Характеристики;Значення_Характеристики;Значення_Характеристики;Значення_Характеристики;Значення_Характеристики;Значення_Характеристики;Значення_Характеристики;Значення_Характеристики;Значення_Характеристики;Значення_Характеристики;Значення_Характеристики;Значення_Характеристики
Вага брутто;105000;101000;31480;96000;40000;50360;3120;127000;14160;45520;2400;28080;30000;55900;53000;3140;8460;34900;11760;38300;16000;26000;33440;4120;35180;22140;28040;31780;6980;32.22 кг;10320;21220;42.64 кг;39760;;
Вес;80000;25000;72000;30500;41000;97500;12300;42000;2400;30;26000;27000;51000;7400;30000;10200;30.5;11600;21000;31000;3000;19000;33000;34;32000;29000;5500;9000;20000;;;;;;;
"Вихідна потужність, Вт";50 000;12 000;6 000;15 000;6 400;200;80 000;4 800;10 000;2 400;25 000;8 000;6 600-16 500;200 / 175;1000 / 850;4 000;1300;300 / 260;1 600;650 / 560;5 500;20 000;;;;;;;;;;;;;;
Додаткові характеристики;Schuko (CEE 7/4);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Класс защиты;IP65;IP22;IP20;IP21;IP66;IP67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Кількість MPPT(PWM)/стрінг на трекер;4/2+2+2+2;2/1/2026 0:00;2/2+1;6/2+2+2+2+2+2;2/1+1;1;1/1/2026 0:00;2/2/2026 0:00;2 (1/2);2 (1 / 2);1/1/2025 0:00;2/2+2;;;;;;;;;;;;;;;;;;;;;;;;
Кількість в ящику;2 шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Напруга батареї, В";160-800;38-66;38 – 66;160-700;24;160-1000;38 – 62;9.2 – 17;256;"36,8 - 62В";"9,5 – 17";19–33;19 – 33;150 - 600;150-550;38-60;48;;;;;;;;;;;;;;;;;;;
"Напруга сонячних панелей, В";150-850;100 - 550;50;65 – 450;25;200 - 850;250;140 - 1000;140 - 980В;80 - 560;140 - 980;180-850;60-360;;;;;;;;;;;;;;;;;;;;;;;
