category_id;supplier_name;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики
5280501;Свинцово-кислотная аккумуляторная батарея Ritar RT12180 18А•ч 12В;Вага брутто;;4.92 кг;Розмір упаковки (Ш х В х Г);;175 x 80 x 175 мм;Емкость;;18 А•г;Вес;г;5 кг;Выходное напряжение;В;12В;Розміри;;167 х 77 х 181 мм;Строк гарантії;;12 міс.;Тип устройства;;AGM;Кількість в ящику;;4 шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5280501;Свинцово-кислотная аккумуляторная батарея Ritar RT1290 9А•ч 12В;Вага брутто;;2.38 кг;Розмір упаковки (Ш х В х Г);;65 x 95 x 150 мм;Емкость;;9 А•г;Вес;г;2.3 кг;Выходное напряжение;В;12В;Розміри;;151 х 65 х 94 мм;Строк гарантії;;12 міс.;Тип устройства;;AGM;Кількість в ящику;;10 шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5280501;Аккумуляторная батарея Ritar RT1223(12V2.3AH);Вага брутто;;0.94 кг;Розмір упаковки (Ш х В х Г);;35 x 65 x 175 мм;Емкость;;2.3 Аг;Вес;г;850 г;Выходное напряжение;В;12 В;Строк гарантії;;12 міс.;Тип устройства;;AGM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5280501;Свинцово-кислотная аккумуляторная батарея Ritar RT1270 7А•ч 12В;Вага брутто;;2 кг;Розмір упаковки (Ш х В х Г);;65 x 100 x 150 мм;Емкость;;7 А•г;Вес;г;2 кг;Выходное напряжение;В;12В;Розміри;;151 х 65 х 94 мм;Строк гарантії;;12 міс.;Тип устройства;;AGM;Кількість в ящику;;10 шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5280501;Свинцово-кислотная аккумуляторная батарея Full Energy FEP-127 7А•ч 12В;Вага брутто;;2.5 кг;Розмір упаковки (Ш х В х Г);;65 x 95 x 160 мм;Емкость;;7 А•г;Вес;г;2 кг;Розміри;;150х93х64мм;Строк гарантії;;12 міс.;Тип устройства;;AGM;Кількість в ящику;;8 шт;Питание;;12 В;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5280501;Свинцово-кислотная аккумуляторная батарея Full Energy FEL-1220 20А•ч 12В гелевая;Вага брутто;;5.44 кг;Розмір упаковки (Ш х В х Г);;177 x 70 x 170 мм;Емкость;;20 А•г;Вес;г;5.9 кг;Выходное напряжение;В;12 В;Розміри;;181 x 165 x 77 мм;Строк гарантії;;12 міс.;Тип устройства;;гелевий;Кількість в ящику;;4 шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5280501;Свинцово-кислотная аккумуляторная батарея Full Energy FEP-1218 18 А•ч 12В;Вага брутто;;5.34 кг;Розмір упаковки (Ш х В х Г);;175 x 70 x 150 мм;Емкость;;18 Аг;Вес;г;5.3 кг;Выходное напряжение;В;12 В;Розміри;;180х165х76мм;Строк гарантії;;12 міс.;Тип устройства;;AGM;Кількість в ящику;;4 шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5280501;Свинцово-кислотная аккумуляторная батарея Ultracell UL2.4-12 2.4А•ч 12В;Вага брутто;;0.82 кг;Розмір упаковки (Ш х В х Г);;35 x 60 x 175 мм;Емкость;;"2,4 А•г";Вес;г;"0,8 кг";Выходное напряжение;В;12 В;Розміри;;178 x 35 x 60 мм;Строк гарантії;;12 міс.;Тип устройства;;гелевий;Особенности;;Необслуговуваний;Додаткові характеристики;;Максимальний струм розряду: 24 А;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5280501;Свинцово-кислотная аккумуляторная батарея Full Energy FEP-122 2.2А•ч 12В;Вага брутто;;0.92 кг;Розмір упаковки (Ш х В х Г);;60 x 178 x 34 мм;Емкость;;2.2 Аг;Вес;г;920 г;Выходное напряжение;В;12 В;Розміри;;178х60х34 мм;Строк гарантії;;12 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5280501;Аккумуляторная батарея CSB UPS12360 12V7Ah;Вага брутто;;2.06 кг;Розмір упаковки (Ш х В х Г);;60 x 90 x 150 мм;Емкость;;7 A•г;Вес;г;2 кг;Выходное напряжение;В;12 В;Розміри;;151х65х94 мм;Тип устройства;;AGM;Разъем;;F2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
