Ідентифікатор_підрозділу;supplier_attribute;supplier_value_substring;prom_attribute;prom_value
3029;;;Тип пристрою;Аудіодомофон
3029;;;Тип пристрою;Аудіопанель виклична
3029;;;Тип пристрою;Відеовічко
3029;;;Тип пристрою;Відеодомофон
3029;;;Тип пристрою;Відеопанель кольорова виклична
3029;;;Тип пристрою;Відеопанель чорно-біла виклична
3029;;;Тип пристрою;Кодонабірна панель
3029;;;Тип пристрою;Комплектуюче для домофону
3029;;;Тип пристрою;Модуль
3029;;;Тип встановлення;Прихований монтаж
3029;;;Тип встановлення;Накладної
3029;;;Тип встановлення;Врізний
3029;;;Тип встановлення;Напівврізний
3029;;;Тип встановлення;Накладної на кронштейн
3029;;;Інтерфейс;Бездротовий
3029;;;Інтерфейс;Провідний
3029;;;Інтерфейс;Провідний/Бездротовий
3029;;;Конфігурація з'єднань;Однорівнева
3029;;;Конфігурація з'єднань;Загальна шина
3029;;;Протокол зв'язку;Wi-Fi
3029;;;Протокол зв'язку;Закритий протокол
3029;;;Протокол зв'язку;RS-232
3029;;;Протокол зв'язку;RS-422
3029;;;Протокол зв'язку;RS-485
3029;;;Протокол зв'язку;USB 2.0
3029;;;Протокол зв'язку;USB 3.0
3029;;;Протокол зв'язку;ІК-порт
3029;;;Протокол зв'язку;PCI
3029;;;Протокол зв'язку;PCI 2.2
3029;;;Протокол зв'язку;PCI-E x1
3029;;;Протокол зв'язку;FC
3029;;;Протокол зв'язку;SC
3029;;;Протокол зв'язку;RJ-45
3029;;;Протокол зв'язку;RJ-25(12)
3029;;;Протокол зв'язку;RJ-14
3029;;;Протокол зв'язку;RJ-11
3029;;;Протокол зв'язку;USB 2.0 Type A Plug
3029;;;Протокол зв'язку;USB 2.0 Type A Jack
3029;;;Протокол зв'язку;USB 2.0 Type B Plug
3029;;;Протокол зв'язку;USB 2.0 Type B Jack
3029;;;Протокол зв'язку;USB 2.0 Mini Type B 4 Position Plug
3029;;;Протокол зв'язку;USB 2.0 Mini Type B 4 Position Jack
3029;;;Протокол зв'язку;USB 2.0 Mini Type B 5 Position Plug
3029;;;Протокол зв'язку;USB 2.0 Mini Type B 5 Position Jack
3029;;;Протокол зв'язку;USB 2.0 Micro Type B Plug
3029;;;Протокол зв'язку;USB 2.0 Micro Type B Jack
3029;;;Протокол зв'язку;USB 3.0 Type A Plug
3029;;;Протокол зв'язку;USB 3.0 Type A Jack
3029;;;Протокол зв'язку;USB 3.0 Type B Plug
3029;;;Протокол зв'язку;USB 3.0 Type B Jack
3029;;;Протокол зв'язку;USB 3.0 Micro Type B Plug
3029;;;Протокол зв'язку;USB 3.0 Micro Type B Jack
3029;;;Протокол зв'язку;TCP
3029;;;Протокол зв'язку;IP
3029;;;Протокол зв'язку;GPRS
3029;;;Протокол зв'язку;GSM
3029;;;Протокол зв'язку;RCA
3029;;;Протокол зв'язку;Dallas Touch Memory
3029;;;Протокол зв'язку;Wiegand
3029;;;Протокол зв'язку;Wiegand 26
3029;;;Кількість абонентів;Введіть число. Число повинно бути від 0 до 10000
3029;;;Зв'язок з абонентом;Дуплексна гучний зв'язок
3029;;;Зв'язок з абонентом;Дуплексна з допомогою трубки
3029;;;Зв'язок з абонентом;За допомогою трубки
3029;;;Зв'язок з абонентом;Гучний зв'язок
3029;;;Входи для підключення;1
3029;;;Входи для підключення;2
3029;;;Входи для підключення;2+1
3029;;;Входи для підключення;2+2
3029;;;Входи для підключення;2+4
3029;;;Входи для підключення;3
3029;;;Входи для підключення;4
3029;;;Наявність блоку пам'яті;Так
3029;;;Наявність блоку пам'яті;Ні
3029;;;Реєстрація подій;Відео
3029;;;Реєстрація подій;Відео та інформація про подію
3029;;;Реєстрація подій;Інформація про подію
3029;;;Реєстрація подій;Немає
3029;;;Реєстрація подій;Фото
3029;;;Реєстрація подій;Фото/Відео
3029;;;Реєстрація подій;Фото/Відео та інформація про подію
3029;;;Реєстрація подій;Фото та інформація про подію
3029;;;Обсяг журналу реєстрацій (подій);Введіть число. Число повинно бути від 0 до 1000000
3029;;;Колір корпусу;Алюміній
3029;;;Колір корпусу;Антрацит
3029;;;Колір корпусу;Бежевий
3029;;;Колір корпусу;Біло-синій
3029;;;Колір корпусу;Білий
3029;;;Колір корпусу;Бірюзовий
3029;;;Колір корпусу;Бронза
3029;;;Колір корпусу;Блакитний
3029;;;Колір корпусу;Жовтий
3029;;;Колір корпусу;Зелений
3029;;;Колір корпусу;Золотий
3029;;;Колір корпусу;Коричневий
3029;;;Колір корпусу;Червоний
3029;;;Колір корпусу;Кремовий
3029;;;Колір корпусу;Латунь
3029;;;Колір корпусу;Малиновий
3029;;;Колір корпусу;Мідний
3029;;;Колір корпусу;Металік
3029;;;Колір корпусу;Нержавіюча сталь
3029;;;Колір корпусу;Оливковий
3029;;;Колір корпусу;Помаранчевий
3029;;;Колір корпусу;Перламутровий
3029;;;Колір корпусу;Персиковий
3029;;;Колір корпусу;Рожевий
3029;;;Колір корпусу;Салатовий
3029;;;Колір корпусу;Світле дерево
3029;;;Колір корпусу;Світло-сірий
3029;;;Колір корпусу;Сріблястий
3029;;;Колір корпусу;Срібний
3029;;;Колір корпусу;Сіро-синій
3029;;;Колір корпусу;Сірий
3029;;;Колір корпусу;Синій
3029;;;Колір корпусу;Бузковий
3029;;;Колір корпусу;Слонова кістка
3029;;;Колір корпусу;Темне дерево
3029;;;Колір корпусу;Титан
3029;;;Колір корпусу;Фіолетовий
3029;;;Колір корпусу;Фісташковий
3029;;;Колір корпусу;Чорний
3029;;;Кут огляду камери (град.);Введіть число. Число повинно бути від 0 до 240
3029;;;Діагональ екрану (дюйм);10.1"
3029;;;Діагональ екрану (дюйм);2.4"
3029;;;Діагональ екрану (дюйм);3.4"
3029;;;Діагональ екрану (дюйм);3.5"
3029;;;Діагональ екрану (дюйм);4"
3029;;;Діагональ екрану (дюйм);4.3"
3029;;;Діагональ екрану (дюйм);4.5"
3029;;;Діагональ екрану (дюйм);5.6"
3029;;;Діагональ екрану (дюйм);7"
3029;;;Діагональ екрану (дюйм);8"
3029;;;Діагональ екрану (дюйм);9"
3029;;;Тип матриці;CCD
3029;;;Тип матриці;CCD DIS
3029;;;Тип матриці;CMOS
3029;;;Тип матриці;IPS
3029;;;Тип матриці;Live-MOS
3029;;;Тип матриці;MVA/PVA
3029;;;Тип матриці;Sony Ex-View CCD
3029;;;Тип матриці;Sony Super HAD CCD
3029;;;Тип матриці;Sony Super HAD CCD II
3029;;;Тип матриці;Super CCD
3029;;;Тип матриці;TFT A-MVA
3029;;;Тип матриці;TFT E-IPS
3029;;;Тип матриці;TFT H-IPS
3029;;;Тип матриці;TFT IPS
3029;;;Тип матриці;TFT MVA
3029;;;Тип матриці;TFT PVA
3029;;;Тип матриці;TFT S-IPS
3029;;;Тип матриці;TFT S-PVA
3029;;;Тип матриці;TFT TN
3029;;;Тип матриці;TN+Film
3029;;;Фізичний розмір матриці;1"
3029;;;Фізичний розмір матриці;1/1.8"
3029;;;Фізичний розмір матриці;1/2"
3029;;;Фізичний розмір матриці;1/2.5"
3029;;;Фізичний розмір матриці;1/2.7"
3029;;;Фізичний розмір матриці;1/2.8"
3029;;;Фізичний розмір матриці;1/3"
3029;;;Фізичний розмір матриці;1/3.2"
3029;;;Фізичний розмір матриці;1/4"
3029;;;Фізичний розмір матриці;1/5"
3029;;;Фізичний розмір матриці;1/6"
3029;;;Фізичний розмір матриці;2/3"
3029;;;Роздільна здатність камери (Мп);Введіть число. Число повинно бути від 0 до 50
3029;;;Роздільна здатність камери (ТВЛ);Введіть число. Число повинно бути від 0 до 1000
3029;;;Кут огляду камери по горизонталі (град.);Введіть число. Число повинно бути від 0 до 180
