Назва_Характеристики;Значення_Характеристики;Значення_Характеристики;Значення_Характеристики;Значення_Характеристики;Значення_Характеристики;Значення_Характеристики;Значення_Характеристики;Значення_Характеристики;Значення_Характеристики;Значення_Характеристики;Значення_Характеристики;Значення_Характеристики
Мінімальна робоча температура навколишнього середовища;число;;;;;;;;;;;
Вага;число;;;;;;;;;;;
Висота;число;;;;;;;;;;;
Гарантійний термін;число;;;;;;;;;;;
Довжина;число;;;;;;;;;;;
Допустима пікова потужність;число;;;;;;;;;;;
"ККД, не менше";число;;;;;;;;;;;
Коефіцієнт перетворення;число;;;;;;;;;;;
Кількість аналогових виходів;число;;;;;;;;;;;
Кількість аналогових входів;число;;;;;;;;;;;
Кількість дискретних виходів;число;;;;;;;;;;;
Кількість дискретних входів;число;;;;;;;;;;;
Кількість фаз живлення;число;;;;;;;;;;;
Максимальна потужність;число;;;;;;;;;;;
Максимальна робоча температура навколишнього середовища;число;;;;;;;;;;;
Номінальна потужність;число;;;;;;;;;;;
Номінальний струм;число;;;;;;;;;;;
Рівень шуму;число;;;;;;;;;;;
Струм холостого ходу;число;;;;;;;;;;;
Ступінь захисту IP;число;;;;;;;;;;;
Частота;число;;;;;;;;;;;
Ширина;число;;;;;;;;;;;
Перевантажувальна здатність;число;;;;;;;;;;;
Номінальна вхідна напруга;число;;;;;;;;;;;
Номінальна вихідна напруга;число;;;;;;;;;;;
Форма вихідної напруги;Апроксимована синусоїда;Чиста синусоїда;;;;;;;;;;
Колір світлодіода;Білий;Жовтий;Зелений;Червоний;;;;;;;;
Інші функції і особливості;Захист від перевантаження по максимальному струму;Захист від перенапруги;Захист від зниженої напруги;Захист від пошкодження силового модуля;Захист від втрати фази;Захист від заклинювання електродвигуна;Захист від перевищення допустимої швидкості;Захист від відмови датчика швидкості;Захист від перегорання запобіжника в силовому ланцюзі;Обмеження по струму;Обмеження перенапруги;Самодіагностика
Види індикації;Звукова;Світлова;Вібро;;;;;;;;;
Тип робочої величини;Потужність;Напруга;Струм;Частота;;;;;;;;
Захист від короткого замикання;Так;;;;;;;;;;;
Захист від перевантажень;Так;;;;;;;;;;;
Захист від перегріву;Так;;;;;;;;;;;
Захист від переполюсовки;Так;;;;;;;;;;;
Захист від розряду акумуляторної батареї;Так;;;;;;;;;;;
Сонячна батарея;Так;;;;;;;;;;;
