Ідентифікатор_підрозділу;supplier_attribute;supplier_value_substring;prom_attribute;prom_value
302302;;;Тип сповіщувача;Лінійний
302302;;;Тип сповіщувача;Об'ємний
302302;;;Тип сповіщувача;Поверхневий
302302;;;Тип сповіщувача;Точковий
302302;;;Приведення в дію;Автоматичне
302302;;;Приведення в дію;Ножне
302302;;;Приведення в дію;Ручне
302302;;;Приведення в дію;Ручне/Автоматичне
302302;;;Принцип роботи сповіщувача;Електроконтактний
302302;;;Принцип роботи сповіщувача;Магнітоконтактний
302302;;;Принцип роботи сповіщувача;Ударно-контактний
302302;;;Принцип роботи сповіщувача;Електромагнітний безконтактний
302302;;;Принцип роботи сповіщувача;П'єзоелектричний
302302;;;Принцип роботи сповіщувача;Ємнісний
302302;;;Принцип роботи сповіщувача;Акустичний (дозвуковий)
302302;;;Принцип роботи сповіщувача;Акустичний (ультразвуковий)
302302;;;Принцип роботи сповіщувача;Акустичний (звукової)
302302;;;Принцип роботи сповіщувача;Вібраційний
302302;;;Принцип роботи сповіщувача;Оптико-електронний (активний)
302302;;;Принцип роботи сповіщувача;Оптико-електронний (пасивний)
302302;;;Принцип роботи сповіщувача;Радіохвильовий
302302;;;Принцип роботи сповіщувача;Електростатичний
302302;;;Принцип роботи сповіщувача;Трибоелектричний
302302;;;Інтерфейс;Бездротовий
302302;;;Інтерфейс;Провідний
302302;;;Інтерфейс;Провідний/Бездротовий
302302;;;Протокол зв'язку;Wi-Fi
302302;;;Протокол зв'язку;Закритий протокол
302302;;;Протокол зв'язку;RS-232
302302;;;Протокол зв'язку;RS-422
302302;;;Протокол зв'язку;RS-485
302302;;;Протокол зв'язку;USB 2.0
302302;;;Протокол зв'язку;USB 3.0
302302;;;Протокол зв'язку;ІК-порт
302302;;;Протокол зв'язку;PCI
302302;;;Протокол зв'язку;PCI 2.2
302302;;;Протокол зв'язку;PCI-E x1
302302;;;Протокол зв'язку;FC
302302;;;Протокол зв'язку;SC
302302;;;Протокол зв'язку;RJ-45
302302;;;Протокол зв'язку;RJ-25(12)
302302;;;Протокол зв'язку;RJ-14
302302;;;Протокол зв'язку;RJ-11
302302;;;Протокол зв'язку;USB 2.0 Type A Plug
302302;;;Протокол зв'язку;USB 2.0 Type A Jack
302302;;;Протокол зв'язку;USB 2.0 Type B Plug
302302;;;Протокол зв'язку;USB 2.0 Type B Jack
302302;;;Протокол зв'язку;USB 2.0 Mini Type B 4 Position Plug
302302;;;Протокол зв'язку;USB 2.0 Mini Type B 4 Position Jack
302302;;;Протокол зв'язку;USB 2.0 Mini Type B 5 Position Plug
302302;;;Протокол зв'язку;USB 2.0 Mini Type B 5 Position Jack
302302;;;Протокол зв'язку;USB 2.0 Micro Type B Plug
302302;;;Протокол зв'язку;USB 2.0 Micro Type B Jack
302302;;;Протокол зв'язку;USB 3.0 Type A Plug
302302;;;Протокол зв'язку;USB 3.0 Type A Jack
302302;;;Протокол зв'язку;USB 3.0 Type B Plug
302302;;;Протокол зв'язку;USB 3.0 Type B Jack
302302;;;Протокол зв'язку;USB 3.0 Micro Type B Plug
302302;;;Протокол зв'язку;USB 3.0 Micro Type B Jack
302302;;;Протокол зв'язку;TCP
302302;;;Протокол зв'язку;IP
302302;;;Протокол зв'язку;GPRS
302302;;;Протокол зв'язку;GSM
302302;;;Протокол зв'язку;RCA
302302;;;Живлення;Батарейки акумуляторного типу
302302;;;Живлення;Батарейки одноразові
302302;;;Живлення;Мережа 110В
302302;;;Живлення;Мережа 12В
302302;;;Живлення;Мережа 220В
302302;;;Живлення;Мережа 24В
302302;;;Живлення;Мережа 380В
302302;;;Живлення;Сонячні батареї
302302;;;Живлення;Спеціальний акумулятор
302302;;;Додаткове джерело живлення;Мережа 12В
302302;;;Додаткове джерело живлення;Мережа 110В
302302;;;Додаткове джерело живлення;Мережа 220В
302302;;;Додаткове джерело живлення;Мережа 380В
302302;;;Додаткове джерело живлення;Батарейки одноразові
302302;;;Додаткове джерело живлення;Батарейки акумуляторного типу
302302;;;Додаткове джерело живлення;Сонячні батареї
302302;;;Додаткове джерело живлення;Спеціальний акумулятор
302302;;;Додаткове джерело живлення;Мережа 24В
302302;;;Напруга (В);Введіть число. Число повинно бути від 0 до 380
302302;;;Значення вихідного струму (А);Введіть число. Число повинно бути від 0 до 1000
