Ідентифікатор_підрозділу;supplier_attribute;supplier_value_substring;prom_attribute;prom_value
7190605;;;Призначення;Акустичний
7190605;;;Призначення;Для авіаційної техніки
7190605;;;Призначення;Для побутової техніки
7190605;;;Призначення;Для відеоспостереження
7190605;;;Призначення;Для комп'ютерних мереж
7190605;;;Призначення;Для космічної техніки
7190605;;;Призначення;Для охоронних/пожежних систем
7190605;;;Призначення;Для систем зв'язку
7190605;;;Призначення;Для телебачення
7190605;;;Призначення;Для телефонії
7190605;;;Тип кабеля;Акустичний
7190605;;;Тип кабеля;Безгалогенний
7190605;;;Тип кабеля;Кручена пара
7190605;;;Тип кабеля;Коаксіальний
7190605;;;Тип кабеля;Негорючий
7190605;;;Тип кабеля;Оптоволокно
7190605;;;Марка кабелю;НГ-FRHF
7190605;;;Марка кабелю;НГ-FRLS
7190605;;;Марка кабелю;НГ-FRLSLTx
7190605;;;Марка кабелю;НГ-HF
7190605;;;Марка кабелю;НГ-LS
7190605;;;Марка кабелю;НГ-LTx
7190605;;;Застосування;Для зовнішніх робіт
7190605;;;Застосування;Для внутрішніх робіт
7190605;;;Застосування;Універсальне
7190605;;;Конструкція кабелю;Гнучка
7190605;;;Конструкція кабелю;Жорстка
7190605;;;Конструкція кабелю;Моноліт
7190605;;;Тип монтажу;Внутрішній
7190605;;;Тип монтажу;Зовнішній
7190605;;;Упаковка;Барабан
7190605;;;Упаковка;Бухта
7190605;;;Упаковка;Котушка
7190605;;;Упаковка;Коробка
7190605;;;Упаковка;Моток
7190605;;;Длина в упаковке (м);Введіть число. Число повинно бути від 0 до 1000
7190605;;;Маса (кг/м);Введіть число. Число повинно бути від 0 до 100
7190605;;;Гарантійний термін (міс);Введіть число. Число повинно бути від 0 до 120
7190605;;;Термін служби (років);Введіть число. Число повинно бути від 0 до 60
7190605;;;Матеріал жили;CCA
7190605;;;Матеріал жили;CCS
7190605;;;Матеріал жили;Біметал
7190605;;;Матеріал жили;Мідь
7190605;;;Матеріал жили;Оміднина сталь
7190605;;;Матеріал жили;Оміднений алюміній
7190605;;;Матеріал жили;Сталь покрита міддю
7190605;;;Матеріал жили;SCCS
7190605;;;Тип витої пари;F/FTP
7190605;;;Тип витої пари;FTP
7190605;;;Тип витої пари;F/UTP
7190605;;;Тип витої пари;S/FTP
7190605;;;Тип витої пари;SF/UTP
7190605;;;Тип витої пари;STP
7190605;;;Тип витої пари;U/STP
