category_id;supplier_name;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики
7190605;Кабель внутренний UTP CAT5e 305 м (0.5 мм) DH-PFM920I-5EU-U;Вага брутто;;9.2 кг;Розмір упаковки (Ш х В х Г);;210 x 360 x 360 мм;Тип;;UTP CAT5e;Длина в упаковке (м);;305;Довжина кабеля;;305 м;Тип витої пари;;UTP;Діаметр жили (мм);;"0,5";Кількість жил;;8;Переріз;;0.5 мм;Материал оболочки;;ПВХ;Оболонка;;Полівінілхлорид (PVC);Категорія витої пари;;САТ5е;Кількість в ящику;;2 шт;Матеріал жили (провідника);;мідь;Матеріал жили;;Мідь;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7190605;"Кабель внешний UTP CAT5e 305 м (0,50мм) DH-PFM920-5EU";Вага брутто;;9.34 кг;Розмір упаковки (Ш х В х Г);;215 x 410 x 400 мм;Тип;;UTP CAT5e;Длина в упаковке (м);;305;Довжина кабеля;;305 м;Тип витої пари;;UTP;Діаметр жили (мм);;"0,5";Кількість жил;;8;Переріз;;0.50 мм;Материал оболочки;;Поліетилен;Оболонка;;поліетилен;Категорія витої пари;;САТ5е;Кількість в ящику;;2 шт;Матеріал жили (провідника);;мідь;Матеріал жили;;Мідь;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7190605;Кабель витая пара (для внутренней прокладки)  24AWG UTP CAT 5E DS-1LN5E-S;Вага брутто;;10.4 кг;Розмір упаковки (Ш х В х Г);;200 x 360 x 360 мм;Тип;;U / UTP CAT5E-4P- PVC-CM;Тип витої пари;;UTP;Категорія витої пари;;САТ5е;Кількість в ящику;;2 шт;Матеріал ізоляції;;Поліетилен;Сопротивление;;100 ± 15 Ом (1.0-100.0 МГц);Размер;;305 ± 1.5 м;Хвильовий опір (Ом);;15;Рабочая температура;;-20 ℃ - 75 ℃;Стандарти;;"ISO / IEC11801, TIA-568-C.2 YD / T1019";Ізоляція дроту;;"Поліетилен високої міцності, 0.88 ± 0.03мм";Знос;;100 ° Cx24чx7д;Внешний вид;;"Товщина: 0.50 ± 0.05мм, Зовнішній діаметр: 5.0 ± 0.4мм, Маіеріал: ПВХ, СМ";Колір проводу;;"1-я пара: біло-синій / синій, 2-я пара: біло-помаранчевий / помаранчевий, 3-тя пара: біло-зелений / зелений, 4-я пара: біло-коричневий / коричневий";Маркування кабелю;;"Висота символів: 3.0 ± 0.3мм, колір символів: чорний, помилка друку і пробіл: ≤ ± 0.5%, 1 м";Налагодження;;≤45ns / 100м (1.0-100.0Мгц);Незбалансований опір постійного струму;;макс. 5%;Опір постійного струму;;макс. 9.5Ом / 100м;Основний провідник;;"Безкиснева мідь, діаметр: 0.500 ± 0.005мм";Ріпкорд;;є;Фізичні властивості оболонки (до зносу);;САТ5е;Тип витої пари;;UTP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7190605;Кабель витая пара (для внешней прокладки) UTP CAT 5E DS-1LN5EO-UU/E;Вага брутто;;8.14 кг;Розмір упаковки (Ш х В х Г);;350 x 200 x 350 мм;Тип;;U / UTP CAT5E-PE;Тип витої пари;;UTP;Категорія витої пари;;САТ5е;Кількість в ящику;;2 шт;Матеріал ізоляції;;Поліетилен;Сопротивление;;100 ± 15 Ом (1.0-100.0 МГц);Размер;;305 ± 0.5 м;Хвильовий опір (Ом);;15;Рабочая температура;;-20 ℃ - 60 ℃;Стандарти;;ANSI / TIA-568-C.2;Ізоляція дроту;;"Поліетилен високої міцності, 0.85 +\- мм";Знос;;100 ° Cx24чx10д;Внешний вид;;"Товщина: 0.55 ± 0.03мм, Зовнішній діаметр: 5.0 ± 0.3мм, Матеріал: ПВХ, СМ";Колір проводу;;"1-я пара: біло-синій / синій, 2-я пара: біло-помаранчевий / помаранчевий, 3-тя пара: біло-зелений / зелений, 4-я пара: біло-коричневий / коричневий";Маркування кабелю;;"Висота символів: 3.0 ± 0.3мм, колір символів: чорний, помилка друку і пробіл: ≤ ± 0.5%, 1 м";Налагодження;;≤552ns / 100м (1.0-100.0Мгц);Незбалансований опір постійного струму;;макс. 2%;Опір постійного струму;;макс. 9.5Ом / 100м;Основний провідник;;"Безкиснева мідь, діаметр: 0.50 +\- мм";Ріпкорд;;є;Фізичні властивості оболонки (до зносу);;UTP;;;Пропустити;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7190605;Кабель Hikvision DS-1LN6UU/CCA CAT6 U/UTP grey (305м);Вага брутто;;10.3 кг;Розмір упаковки (Ш х В х Г);;240 x 400 x 400 мм;Тип;;U/UTP Cat6;Длина в упаковке (м);;305;Довжина кабеля;;305 м;Тип витої пари;;UTP;Діаметр жили (мм);;"0,57";Кількість жил;;8;Переріз;;0.57 мм2 23AWG;Материал оболочки;;ПВХ;Оболонка;;PVC;Матеріал центральної жили;;Мідь;Центральний провідник;;Алюміній-Мідь (CCA);Категорія витої пари;;CAT6;Кількість в ящику;;2 шт;Площа перетину (кв. мм);;0.57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7190605;"Медь внутренний ЗЗЦМ Кабель Cat. 5e U/UTP 4х2х24 AWG, бухта 305м.(7091001)";Вага брутто;;9.22 кг;Розмір упаковки (Ш х В х Г);;380 x 200 x 385 мм;Тип;;Cat. 5e U/UTP 4х2х24 AWG;Длина в упаковке (м);;305;Довжина кабеля;;305 м;Тип витої пари;;UTP;Кількість жил;;8;Кількість в ящику;;1 шт;Монтаж;;"при стаціонарній (нерухомій) прокладці: 4 діаметри кабелю, при прокладці, монтажі та експлуатаційних вигинах: 8 діаметрів кабелю";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7190605;"Кабель КПВонг-HF-ВП (350) 4*2*0,51 бухта 305м";Вага брутто;;9.48 кг;Розмір упаковки (Ш х В х Г);;400 x 230 x 390 мм;Тип;;U/UTP;Длина в упаковке (м);;305;Довжина кабеля;;305 м;Тип витої пари;;UTP;Кількість в ящику;;1 шт;Размер;;"діаметр жили 0,51 мм";Стандарти;;cat.5e;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7190605;Кабель витая пара ЗЗЦМ (FTP медь безгалогенный LSZH) Cat. 5e F/UTP LSZH 4х2х24 AWG (7091004) бухта 305м.;Вага брутто;;12.74 кг;Розмір упаковки (Ш х В х Г);;400 x 255 x 435 мм;Тип;;Cat. 5e F/UTP LSZH;Длина в упаковке (м);;305;Довжина кабеля;;305 м;Тип витої пари;;UTP;Материал оболочки;;LSZH;Оболонка;;"безгалогеннний компаунд RAL 1015 кремовий, 70 °C";Кількість в ящику;;1 шт;Екранування;;алюмополімерна стрічка;Матеріал жили (провідника);;мідь;Тип монтажу;;Внутрішній;Монтаж;;всередині приміщення;Матеріал жили;;Мідь;Виконання 1 екрана;;Фольга;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7190605;Кабель комбинированный бухта 100 м RG590-CU PE+2*0.5;Вага брутто;;2.5 кг;Розмір упаковки (Ш х В х Г);;310 x 90 x 310 мм;Тип;;Комбинированный;Длина в упаковке (м);;100;Довжина кабеля;;100 м;Тип кабеля;;Комбінований;Екранування;;90.0%;Сопротивление;;75 Ом;Размер;;Ø81 мм;Хвильовий опір (Ом);;75;Материал;;Медь;Входное напряжение;;до 48В;Діелектрик;;спінений поліетилен 3.7 мм;Материал корпуса;;світлостабілізована поліетилен;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7190605;"Кабель ЗЗЦМ (UTP медь внутренний 0,48) Cat. 5e U/UTP 4x2x0,48, бухта 305м.(7091013)";Вага брутто;;9.48 кг;Розмір упаковки (Ш х В х Г);;380 x 200 x 380 мм;Тип;;Cat 5e U/UTP;Длина в упаковке (м);;305;Довжина кабеля;;305 м;Тип витої пари;;UTP;Діаметр жили (мм);;"0,48";Переріз;;0.48 мм;Материал оболочки;;ПВХ;Оболонка;;"полівінілхлоридний пластикат RAL 7001 сірий, TM51 70 °C";Кількість в ящику;;1 шт;Екранування;;відсутнє;Наявність екрану;;Ні;Матеріал жили (провідника);;медь;Тип монтажу;;Внутрішній;Монтаж;;приміщення;Матеріал жили;;Мідь;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
