Посилання_підрозділу;Ідентифікатор_підрозділу;supplier_attribute;supplier_value_substring;prom_attribute;prom_value
https://prom.ua/Kamery-videonablyudeniya;301105;;;Тип камери;3G-SDI
https://prom.ua/Kamery-videonablyudeniya;301105;;;Тип камери;AHD
https://prom.ua/Kamery-videonablyudeniya;301105;;;Тип камери;HDCVI
https://prom.ua/Kamery-videonablyudeniya;301105;;;Тип камери;HD-SDI
https://prom.ua/Kamery-videonablyudeniya;301105;;;Тип камери;HD-TVI
https://prom.ua/Kamery-videonablyudeniya;301105;;;Тип камери;IP
https://prom.ua/Kamery-videonablyudeniya;301105;;;Тип камери;MHD
https://prom.ua/Kamery-videonablyudeniya;301105;;;Тип камери;Wi-Fi
https://prom.ua/Kamery-videonablyudeniya;301105;;;Тип камери;Аналогова
https://prom.ua/Kamery-videonablyudeniya;301105;;;Форм-фактор;Безкорпусний
https://prom.ua/Kamery-videonablyudeniya;301105;;;Форм-фактор;Квадратний
https://prom.ua/Kamery-videonablyudeniya;301105;;;Форм-фактор;Корпусний
https://prom.ua/Kamery-videonablyudeniya;301105;;;Форм-фактор;Купольний
https://prom.ua/Kamery-videonablyudeniya;301105;;;Форм-фактор;Міні
https://prom.ua/Kamery-videonablyudeniya;301105;;;Форм-фактор;Поворотний
https://prom.ua/Kamery-videonablyudeniya;301105;;;Форм-фактор;Прямокутний
https://prom.ua/Kamery-videonablyudeniya;301105;;;Форм-фактор;Циліндричний (bullet)
https://prom.ua/Kamery-videonablyudeniya;301105;;;Застосування;Внутрішня
https://prom.ua/Kamery-videonablyudeniya;301105;;;Застосування;Внутрішня/Вулична
https://prom.ua/Kamery-videonablyudeniya;301105;;;Застосування;Вулична
https://prom.ua/Kamery-videonablyudeniya;301105;;;Тип матриці;Aptina AR0330
https://prom.ua/Kamery-videonablyudeniya;301105;;;Тип матриці;CCD
https://prom.ua/Kamery-videonablyudeniya;301105;;;Тип матриці;CCD DIS
https://prom.ua/Kamery-videonablyudeniya;301105;;;Тип матриці;CMOS
https://prom.ua/Kamery-videonablyudeniya;301105;;;Тип матриці;DIS Sony CHIP
https://prom.ua/Kamery-videonablyudeniya;301105;;;Тип матриці;Live-MOS
https://prom.ua/Kamery-videonablyudeniya;301105;;;Тип матриці;OmniVision CMOS (OV9732)
https://prom.ua/Kamery-videonablyudeniya;301105;;;Тип матриці;OmniVision OV4689
https://prom.ua/Kamery-videonablyudeniya;301105;;;Тип матриці;Panasonic CMOS
https://prom.ua/Kamery-videonablyudeniya;301105;;;Тип матриці;PixelPlus CMOS
https://prom.ua/Kamery-videonablyudeniya;301105;;;Тип матриці;Progressive Scan CMOS
https://prom.ua/Kamery-videonablyudeniya;301105;;;Тип матриці;Sony Exmor
https://prom.ua/Kamery-videonablyudeniya;301105;;;Тип матриці;SONY Exmor R
https://prom.ua/Kamery-videonablyudeniya;301105;;;Тип матриці;Sony Exmor RS
https://prom.ua/Kamery-videonablyudeniya;301105;;;Тип матриці;Sony Ex-View CCD
https://prom.ua/Kamery-videonablyudeniya;301105;;;Тип матриці;Sony Super HAD CCD
https://prom.ua/Kamery-videonablyudeniya;301105;;;Тип матриці;Sony Super HAD CCD II
https://prom.ua/Kamery-videonablyudeniya;301105;;;Тип матриці;Super CCD
https://prom.ua/Kamery-videonablyudeniya;301105;;;Фізичний розмір матриці;1"
https://prom.ua/Kamery-videonablyudeniya;301105;;;Фізичний розмір матриці;1/1.2"
https://prom.ua/Kamery-videonablyudeniya;301105;;;Фізичний розмір матриці;1/1.8"
https://prom.ua/Kamery-videonablyudeniya;301105;;;Фізичний розмір матриці;1/2"
https://prom.ua/Kamery-videonablyudeniya;301105;;;Фізичний розмір матриці;1/2.3"
https://prom.ua/Kamery-videonablyudeniya;301105;;;Фізичний розмір матриці;1/2.4"
https://prom.ua/Kamery-videonablyudeniya;301105;;;Фізичний розмір матриці;1/2.5"
https://prom.ua/Kamery-videonablyudeniya;301105;;;Фізичний розмір матриці;1/2.7"
https://prom.ua/Kamery-videonablyudeniya;301105;;;Фізичний розмір матриці;1/2.8"
https://prom.ua/Kamery-videonablyudeniya;301105;;;Фізичний розмір матриці;1/2.9"
https://prom.ua/Kamery-videonablyudeniya;301105;;;Фізичний розмір матриці;1/3"
https://prom.ua/Kamery-videonablyudeniya;301105;;;Фізичний розмір матриці;1/3.2"
https://prom.ua/Kamery-videonablyudeniya;301105;;;Фізичний розмір матриці;1/4"
https://prom.ua/Kamery-videonablyudeniya;301105;;;Фізичний розмір матриці;1/5"
https://prom.ua/Kamery-videonablyudeniya;301105;;;Фізичний розмір матриці;1/6"
https://prom.ua/Kamery-videonablyudeniya;301105;;;Фізичний розмір матриці;2/3"
https://prom.ua/Kamery-videonablyudeniya;301105;;;Роздільна здатність (ТВЛ);Введіть число. Число повинно бути від 0 до 1000
