Ідентифікатор_підрозділу;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики
301105;Матриця;;2 МП CMOS;Мін. чутливість;;"0.01 лк/ F1.2 (колір), 0 лк з ІЧ";Швидкість затвора;;1/25 - 1/50 000 с;Регулювання по осях;;"Поворот: 0 ° ~ 360 °, Нахил: 0 ° ~ 75 °, Обертання: 0 ° ~ 360 °";Тип підсвічування;;ІЧ;Дальність підсвічування;;20 м;Фокусна відстань;;2.8 мм;Кути огляду;;"Г: 106.4°, В: 57.9°, Д: 124.6°";Частота кадрів (головний потік);;1920 × 1080  - 25к/с;Придушення шуму (DNR);;2D;BLC;;Підтримує;HLC;;Підтримує;DWDR;;Підтримує;Аудіо інтерфейси;;вбудований мікрофон;Живлення;;12В DC;Потужність споживання;;2.7 Вт;Робоча температура;;-40°C - +60°C;Розміри;;Ф 84х79 мм;Вага;;141 г;Матеріал;;пластик;Кількість в ящику;;40 шт;Розмір упаковки (Ш х В х Г);;13 x 405 x 191 мм;Вага брутто;;0.209 кг;Строк гарантії;;24 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301105;Матриця;;1/2.9"" CMOS;Мін. чутливість;;"0,008 люкс при F1.6 (кольоровий, 30 IRE), 0,0008 люкс при F1.6 (Ч/Б, 30 IRE), 0 люкс (освітлювач увімкнено)";Швидкість затвора;;"1/3 –1/100,000 с";Придушення шуму (DNR);;3D;WDR;;120 дБ;BLC;;Підтримує;HLC;;Підтримує;ROI;;4 зони;Регулювання по осях;;"Панорамування: 0 ° - 360 °, нахил: 0 ° - 90 °, обертання: 0 ° - 360 °";Кути огляду;;"Г: 95°, В: 52°, Д: 114°";Фокусна відстань;;2.8 мм;Апертура;;F1.6;Тип підсвічування;;ІЧ + LED тепле світло;Дальність підсвічування;;30/30 м;Відео компресія;;"H.265, H.264, H.264H, H.264B/Smart H.265+, Smart H.264+";Кількість потоків;;2;Роздільна здатність відео;;"4M (2688 × 1520), 3.6M (2560 × 1440), 3M (2304 × 1296), 1080p (1920 × 1080), 1.3M (1280 × 960), 720p (1280 × 720), D1 (704 × 576/704 × 480), VGA (640 × 480), CIF (352 × 288/352 × 240)";Частота кадрів (головний потік);;"2688 × 1520 20 к/с, 2566 × 1440 25 к/с";Частота кадрів (доп. потік);;704 × 576 25 к/с;Метод зберігання;;"FTP, SFTP, Micro SD 256 Гб";Програмне забезпечення;;"DSS, DMSS";Сумісність;;"ONVIF (Profile S/Profile T), CGI, P2P, Milestone";Тригери тривоги;;"Нема SD-карти, SD-карта заповнена, Помилка картки SD, відключення мережі, конфлікт IP, незаконний доступ, рух виявлення, фальсифікація відео, вторгнення, SMD, виключення безпеки";Аудіо інтерфейси;;вбудований мікрофон;Мережеві інтерфейси;;RJ-45 (10/100 Base-T);ROM/RAM;;128/128 Мб;Виявлення об'єкта (DORI - не аналітика);;63 м;Спостереження за об'єктом (DORI - не аналітика);;25 м;Розпізнавання об'єкту (DORI - не аналітика);;12 м;Ідентифікація об'єкта (DORI - не аналітика);;6 м;Перетин лінії;;Підтримує;Вторгнення в область;;Підтримує;Цільові типи;;Підтримує;Основні функції обробки;;4 зони маскування;Живлення;;12 В DC;PoE;;802.3af;Потужність споживання;;2 - 5 Вт;Робоча температура;;–40 °C - +60 °C;Ступінь захисту;;IP67;Розміри;;166.2 × 70 × 70 мм;Вага;;480 г;Матеріал;;метал;Кількість в ящику;;20 шт;Розмір упаковки (Ш х В х Г);;120 x 110 x 120 мм;Вага брутто;;0.5 кг;Строк гарантії;;24 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301105;Матриця;;2 MP CMOS;Мін. чутливість;;"0.01 лк (F1.2, AGC вкл), 0 лк з ІЧ";Швидкість затвора;;1/25 – 1/50 000 с;Тип підсвічування;;ІЧ;Дальність підсвічування;;40м;Фокусна відстань;;2.8 мм;Апертура;;F1.2;Кути огляду;;"Г: 106.4°, В: 57.9°, Д: 124.6°";Регулювання по осях;;"Панорамування: 0° - 360°, Нахил: 0° - 75°, Поворот: 0° - 360°";Частота кадрів (головний потік);;1920x1080 - 25 к/с;BLC;;підтримує;Роздільна здатність відео;;1080P;HLC;;підтримує;Придушення шуму (DNR);;2D;DWDR;;Підтримує;Живлення;;12В DC;Потужність споживання;;3 Вт;Робоча температура;;-40° C - +60° C;Ступінь захисту;;IP67;Розміри;;Φ110×93.2мм;Вага;;211 г;Матеріал;;пластик;Кількість в ящику;;30 шт;Розмір упаковки (Ш х В х Г);;135 x 110 x 135 мм;Вага брутто;;0.3 кг;Строк гарантії;;24 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301105;Матриця;;1/2.9″ Progressive Scan CMOS;Мін. чутливість;;"колір: 0,005 люкс (F1.6, AGC ON), Ч/Б: 0 люкс зі світлом";Швидкість затвора;;1/3 - 1/100 000 c;Регулювання по осях;;"Поворот: 0 ° - 360 °, нахил: 0 ° - 90 °, обертання: 0 ° - 360 °";Тип підсвічування;;ІЧ+видиме світло;Дальність підсвічування;;80м;Фокусна відстань;;2.8 мм;Апертура;;F1.6;Кути огляду;;"Г: 104°, В: 57°, Д: 122°";Відео компресія;;"H.265+, H.265, H.264+, H.264";Кількість потоків;;3;Роздільна здатність відео;;"2688 × 1520, 1920 × 1080, 1280 × 720, 640 × 480, 640 × 360";Частота кадрів (головний потік);;"2688 × 1520, 1920 × 1080, 1280 × 720 - 25 к/с";Частота кадрів (доп. потік);;"1280 × 720, 640 × 480, 640 × 360 - 25 к/с";Частота кадрів (дод2. Потік);;"1920 × 1080, 1280 × 720, 640 × 480, 640 × 360 -  10 к/с";Придушення шуму (DNR);;3D;BLC;;Підтримує;HLC;;Підтримує;WDR;;120 дБ;ROI;;1 зона для головного і дод. потоку;Мережеві інтерфейси;;1 RJ45 10M/100M;Сумісність;;"ONVIF (Profile S, Profile G), ISAPI, SDK, ISUP";Програмне забезпечення;;"iVMS-4200, Hik-Connect, Hik-Central";Метод зберігання;;"FTP, Micro SD до 512 Гб, NAS";Перетин лінії;;Підтримує;Вторгнення в область;;Підтримує;Цільові типи;;Підтримує;Тригери тривоги;;"виявлення перетину лінії, виявлення вторгнення, виявлення руху (людини та транспортного засобу), сигналізація несанкціонованого доступу до відео";Виявлення об'єкта (DORI - не аналітика);;63 м;Спостереження за об'єктом (DORI - не аналітика);;25 м;Розпізнавання об'єкту (DORI - не аналітика);;12 м;Ідентифікація об'єкта (DORI - не аналітика);;6 м;Живлення;;12В DC;PoE;;802.3af;Потужність споживання;;11 Вт;Робоча температура;;-30 °C –  +60 °C;Ступінь захисту;;IP67;Розміри;;88.7 × 93.1 × 286.7 мм;Вага;;1.2 кг;Матеріал;;метал;Кількість в ящику;;9 шт;Розмір упаковки (Ш х В х Г);;155 x 155 x 385 мм;Вага брутто;;1.48 кг;Строк гарантії;;24 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301105;Матриця;;5МП;Регулювання по осях;;"Панорамування: від 0° до 360°, Нахил: від -10° до 70";Кути огляду;;"Г: 90°, В: 49°, Д: 106°";Тип підсвічування;;ІЧ;Дальність підсвічування;;10м;Відео компресія;;H.265;DWDR;;Підтримує;Роздільна здатність відео;;"5M (2880 × 1620), nHD (640 × 360)";Частота кадрів (головний потік);;2880 x 1620 - 25 к/с;Метод зберігання;;Micro SD до 256 Гб;Програмне забезпечення;;DMSS;Аудіо інтерфейси;;вбудований мікрофон та динамік;Мережеві інтерфейси;;"Wi-Fi: IEEE 802.11b/g/n/ax 2.412-2.472 GHz,2.4G";Живлення;;DC 5В 1.5A;Потужність споживання;;2 Вт;Робоча температура;;-10°C - +45°C;Розміри;;Φ68 × 31.9 × 119.2 мм;Вага;;95 г;Кількість в ящику;;36 шт;Розмір упаковки (Ш х В х Г);;75 x 170 x 75 мм;Вага брутто;;0.26 кг;Строк гарантії;;24 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301105;Матриця;;5МП;WDR;;Підтримує;Фокусна відстань;;2.8мм;Кути огляду;;110°;Тип підсвічування;;ІЧ;Дальність підсвічування;;35м;Відео компресія;;"H.265, H.264";Частота кадрів (головний потік);;2880 × 1620 - 25 к/с;Метод зберігання;;"NVR, microSD";Сумісність;;"Хаби: Hub, Hub Plus, Hub 2 (2G), Hub 2 (4G), Hub 2 Plus, Hub Hybrid (2G), Hub Hybrid (4G), Відеореєстратори: NVR";Аудіо інтерфейси;;вбудований мікрофон;Мережеві інтерфейси;;Ethernet 100 Мб/с;Живлення;;"12 В, 1 А";PoE;;802.3at;Робоча температура;;−25 °C - +40 °C;Ступінь захисту;;"IP65, IK08";Розміри;;103 × 98 × 98 мм;Вага;;496 г;Розмір упаковки (Ш х В х Г);;125 x 130 x 130 мм;Вага брутто;;0.7 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301105;Матриця;;2 МП CMOS;Мін. чутливість;;"0.001 лк (F1.0, AGC вкл), 0 з ІЧ";Швидкість затвора;;1/25 - 1/50 000 с;Придушення шуму (DNR);;3D / 2D;Регулювання по осях;;"поворот: 0° - 360°, нахил: 0° - 75°, обертання: 0° -360°";Фокусна відстань;;2.8мм;Кути огляду;;"Г: 98°, В: 51°, Д: 115°";Тип підсвічування;;видиме світло;Дальність підсвічування;;20м;Частота кадрів (головний потік);;1920 × 1080 - 25 к/с;BLC;;Підтримує;HLC;;Підтримує;DWDR;;Підтримує;Живлення;;12В DC;Потужність споживання;;2.4 Вт;Робоча температура;;-40°C - +60°C;Розміри;;Φ85 × 81 мм;Вага;;161 г;Матеріал;;пластик;Кількість в ящику;;36 шт;Розмір упаковки (Ш х В х Г);;110 x 110 x 90 мм;Вага брутто;;0.24 кг;Строк гарантії;;24 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301105;Матриця;;1/1.8"" Progressive Scan CMOS;Мін. чутливість;;"колір: 0,0005 лк (F1.2, AGC вкл), Ч / Б: 0,0001 лк (F1.2, AGC вкл), 0 лк з ІЧ";Швидкість затвора;;1 –1/100 000 с;Придушення шуму (DNR);;3D;WDR;;140 дБ;Фокусна відстань;;8 - 32 мм;Апертура;;F1.7 - F1.73;Кути огляду;;"Г: 42°-15°, В: 23°-8°, Д: 49°-17°";Тип підсвічування;;ІЧ;Дальність підсвічування;;100 м;Відео компресія;;H.265+/H.265/H.264+/H.264;Кількість потоків;;5;Роздільна здатність відео;;"1920 × 1080, 1280 × 720, 704 × 576, 640 × 480";Частота кадрів (головний потік);;"1920 × 1080, 1280 × 720 - 25 к/с";Частота кадрів (доп. потік);;"704 × 576, 640 × 480 - 25 к/с";Частота кадрів (дод2. Потік);;"1920 × 1080, 1280 × 720, 704 × 576, 640 × 480 - 25 к/с";BLC;;Підтримує;HLC;;Підтримує;Метод зберігання;;"NAS (NFS, SMB/CIFS), ANR, microSD 256 Гб";Програмне забезпечення;;"iVMS-4200, Hik-Connect, Hik-Central";Сумісність;;"ONVIF (PROFILE S, PROFILE G, PROFILE T), ISAPI, SDK, ISUP";Мережеві інтерфейси;;1 RJ45 10 M/100 M/1000 M;Інтерфейси тривоги;;2 вх/2 вих;Електронна стабілізація зображення (EIS);;Підтримує;ROI;;4 зони;Defog;;Підтримує;Перетин лінії;;Підтримує;Вторгнення в область;;Підтримує;Виявлення расфокусування об'єктива;;Підтримує;Виявлення зміни кадру;;Підтримує;Розпізнавання номерних знаків;;Підтримує;Тригери тривоги;;"виявлення руху, сигналізація несанкціонованого доступу до відео, виключення (відключення мережі, IP-адреса), конфлікт адрес, незаконний вхід до системи, позаштатне перезавантаження, жорсткий диск заповнений, помилка жорсткого диска), діагностика якості ві";Живлення;;12 В DC;PoE;;802.3at;Потужність споживання;;17 Вт;Робоча температура;;-30 °C - +60 °C;Ступінь захисту;;"IP67, IK10";Розміри;;Ø 144 × 347 мм;Вага;;1.9 кг;Матеріал;;алюміній;Кількість в ящику;;9 шт;Розмір упаковки (Ш х В х Г);;400 x 190 x 180 мм;Вага брутто;;2.86 кг;Строк гарантії;;36 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301105;Фокусна відстань;;2.8 мм;Кути огляду;;"Г: 108.8°, В: 56.4°, Д:134.3°";Тип підсвічування;;ІЧ+видиме світло;Дальність підсвічування;;60 м;Кількість потоків;;3;Частота кадрів (головний потік);;"3840 × 2160, 3200 × 1800, 2688 × 1520 - 25 к/с";Частота кадрів (доп. потік);;"1280 × 720, 640 × 480, 640 × 360 - 25 к/с";Частота кадрів (дод2. Потік);;"1920 × 1080, 1280 × 720, 640 × 480 - 10 к/с";Мін. чутливість;;"Колір: 0,0005 люкс (F1.0, AGC увімкнено), 0 люкс з підсвічуванням";Відео компресія;;H.265/H.264/H.264+/H.265+;Матриця;;1/1.8"" Progressive Scan CMOS;Апертура;;F1.0;Регулювання по осях;;"Панорамування: від 0° до 360°, нахил: від 0° до 90°, обертання: від 0° до 360°";WDR;;130 дБ;Придушення шуму (DNR);;3D;BLC;;Підтримує;HLC;;Підтримує;Електронна стабілізація зображення (EIS);;Підтримує;Defog;;Підтримує;Основні функції обробки;;4 зони маскування;Швидкість затвора;;1 - 1/100 000 с;Метод зберігання;;"NAS (NFS, SMB/CIFS), (ANR), microSD до 512 Гб";Програмне забезпечення;;"iVMS-4200, Hik-Connect, Hik-Central";Сумісність;;"ONVIF (Profile S, Profile T, Profile G), ISAPI, SDK, ISUP";Мережеві інтерфейси;;1 RJ45 10 M/100М;Виявлення об'єкта (DORI - не аналітика);;89м;Спостереження за об'єктом (DORI - не аналітика);;35м;Розпізнавання об'єкту (DORI - не аналітика);;17м;Ідентифікація об'єкта (DORI - не аналітика);;8м;Тригери тривоги;;"захоплення обличчя, перетин лінії, вторгнення, вхід в область, вихід з області, підтримка спрацьовування тривоги за вказаними типами цілей (людина та транспортний засіб), виявлення зміни сцени";Живлення;;12В DC;PoE;;IEEE 802.3af;Потужність споживання;;10 - 12.5 Вт;Ступінь захисту;;"IP67, NEMA 4X (NEMA 250-2018)";Робоча температура;;-30 °C - 60 °C;Перетин лінії;;Підтримує;Вторгнення в область;;Підтримує;Вхід і вихід з регіону;;Підтримує;Виявлення зміни кадру;;Підтримує;Виявлення облич;;Підтримує;Цільові типи;;Підтримує;Розміри;;286.7 × 93.3 × 91.2 мм;Вага;;1.2 кг;Матеріал;;метал;Кількість в ящику;;9 шт;Розмір упаковки (Ш х В х Г);;160 x 160 x 390 мм;Вага брутто;;1.7 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301105;Матриця;;1/3"" Progressive Scan CMOS;Мін. чутливість;;"колір: 0,5 люкс (F1.6, AGC ВКЛ), Ч/Б: 0 люкс з ІЧ";Швидкість затвора;;1/3  - 1/100 000 с;Регулювання по осях;;"поворот: 0° - 360°, нахил: 0° - 90°, оберт: 0° -360°";Тип підсвічування;;ІЧ;Дальність підсвічування;;10 м;Фокусна відстань;;4 мм;Апертура;;F2.0;Кути огляду;;"Г: 75°, В: 45°, Д: 85°";Відео компресія;;H.265/H.264;Кількість потоків;;2;Частота кадрів (головний потік);;"1920 × 1080, 1280 × 720, 768 × 432 - 25 к/с";Частота кадрів (доп. потік);;"768 × 432, 512 × 288 - 25 к/с";Основні функції обробки;;4 зони маскування;DWDR;;Підтримує;Метод зберігання;;micro SD 512 Гб;Програмне забезпечення;;"iVMS-4200, Hik-Connect, Hik-Partner-Pro";Аудіо інтерфейси;;вбудований мікрофон та динамік;Мережеві інтерфейси;;"1 RJ45 10M/100M, Wi-Fi";Wi-Fi;;"IEEE802.11b, 802.11g, 802.11n";Живлення;;"5 В DC, 1 A";Потужність споживання;;5 Вт;Робоча температура;;-10°C - +45°C;Розміри;;Ø 80 × 122 мм;Вага;;216 г;Матеріал;;пластик;Кількість в ящику;;30 шт;Розмір упаковки (Ш х В х Г);;100 x 200 x 100 мм;Вага брутто;;0.5 кг;Строк гарантії;;12 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
