category_id;supplier_name;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики
63705;Карта памяти microSD Dahua DHI-TF-C100/256GB;Форм-фактор;;microSD;Ємність;;256GB Гб;Макс. швидкість тривалої передачі;;90/95 Мб/с;Кількість в ящику;;250 шт;Розмір упаковки (Ш х В х Г);;80 x 6 x 120 мм;Вага брутто;;800;;;;;;;;;;;;;;;;;;;;;;;;
63705;Карта памяти Ezviz CS-CMT-CARDT128G-D 128Гб;Форм-фактор;;microSD;Ємність;;128 ГБ;Макс. швидкість тривалої передачі;;90/50 Мбіт/с;Розмір упаковки (Ш х В х Г);;80 x 5 x 120 мм;Вага брутто;;1;Строк гарантії;;24 міс.;;;;;;;;;;;;;;;;;;;;;;;;
63705;Карта памяти microSD Dahua DHI-TF-C100/64GB C100;Форм-фактор;;microSD;Ємність;;64 Гб;Макс. швидкість тривалої передачі;;95/30 Мб/с;Кількість в ящику;;250 шт;Розмір упаковки (Ш х В х Г);;80 x 6 x 120 мм;Вага брутто;;8;Строк гарантії;;12 міс.;;;;;;;;;;;;;;;;;;;;;
63705;Карта памяти Ezviz CS-CMT-CARDT32G-D 32Гб;Форм-фактор;;microSD;Ємність;;32 Гб;Макс. швидкість тривалої передачі;;90/20 Мбіт/с;Розмір упаковки (Ш х В х Г);;80 x 10 x 120 мм;Вага брутто;;10;Строк гарантії;;24 міс.;;;;;;;;;;;;;;;;;;;;;;;;
63705;Карта памяти Micro SD Hikvision HS-TF-P1/32G 32Гб;Номер моделі;;HS-TF-P1/32G;Форм-фактор;;microSDHC;Ємність;;"32Гб, Клас 10";Файлова система;;FAT32;Кеш-пам'ять;;TLC;Макс. швидкість читання;;90 Мб / с;Макс. швидкість запису;;25 Мб / с;Сумісність;;"Сумісний з microSDHC, microSDXC, microSDHC UHS-I, microSDXC UHS-I";Робоча температура;;-25ºC - 85ºC;Розмір;;"14,99 х 10,92 х 1,02 мм";Кількість в ящику;;25 шт;Розмір упаковки (Ш х В х Г);;100 x 5 x 130 мм;Вага брутто;;1;Строк гарантії;;36 міс.
63705;Карта памяти microSD Ezviz CS-CMT-CARDT64G-D 64Гб;Форм-фактор;;microSD;Ємність;;64 Гб;Макс. швидкість тривалої передачі;;90/50 Мбіт/с;Кількість в ящику;;240 шт;Розмір упаковки (Ш х В х Г);;80 x 10 x 120 мм;Вага брутто;;10;Строк гарантії;;24 міс.;;;;;;;;;;;;;;;;;;;;;
63705;Карта памяти Kingston microSD 128GB C10 UHS-I A1 V10 R150MB/s + SD;Форм-фактор;;microSD;Ємність;;128 Гб;Макс. швидкість тривалої передачі;;150 - 10 МБ/с;Розмір упаковки (Ш х В х Г);;100 x 3 x 110 мм;Вага брутто;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;
63705;Micro SD (TF) карта HS-TF-L2/128G/P;Форм-фактор;;MicroSDXC (TF) TLC（Teiple-Level Cell）;Ємність;;128 Гб;Макс. швидкість тривалої передачі;;95 Мб/с;Розмір упаковки (Ш х В х Г);;100 x 5 x 130 мм;Вага брутто;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;
63705;Карта памяти MicroSD Imou ST2-128-S1;Форм-фактор;;microSD 3D TLC NAND C10/U3/V30;Ємність;;128 Гб;Макс. швидкість тривалої передачі;;85/40 Мб/с;Кількість в ящику;;240 шт;Розмір упаковки (Ш х В х Г);;80 x 10 x 120 мм;Вага брутто;;10;;;;;;;;;;;;;;;;;;;;;;;;
63705;Карта памяти MicroSD Imou ST2-256-S1 256Гб;Форм-фактор;;Micro SD;Ємність;;256 Гб;Кількість в ящику;;240 шт;Розмір упаковки (Ш х В х Г);;80 x 50 x 120 мм;Вага брутто;;50;;;;;;;;;;;;;;;;;;;;;;;;;;;
63705;Карта памяти microSD Dahua DHI-TF-C100/128GB;Форм-фактор;;microSD;Ємність;;128 Гб;Макс. швидкість тривалої передачі;;95/30 Мб/с;Кількість в ящику;;250 шт;Розмір упаковки (Ш х В х Г);;80 x 5 x 120 мм;Вага брутто;;1;;;;;;;;;;;;;;;;;;;;;;;;
63705;Карта памяти MicroSD Imou ST2-64-S1 64Гб;Форм-фактор;;Micro SD;Ємність;;64 Гб;Кількість в ящику;;240 шт;Розмір упаковки (Ш х В х Г);;100 x 5 x 130 мм;Вага брутто;;15;Строк гарантії;;12 міс.;;;;;;;;;;;;;;;;;;;;;;;;
