Ідентифікатор_підрозділу;supplier_attribute;supplier_value_substring;prom_attribute;prom_value
301305;;;Інтерфейс;Бездротовий
301305;;;Інтерфейс;Провідний
301305;;;Інтерфейс;Провідний/Бездротовий
301305;;;Матеріал;ABS-пластик
301305;;;Матеріал;Комбінований
301305;;;Матеріал;Метал
301305;;;Матеріал;Пластик
301305;;;Матеріал;Ударостійкий пластик
301305;;;Колір;Білий
301305;;;Колір;Бежевий
301305;;;Колір;Бірюзовий
301305;;;Колір;Бордовий
301305;;;Колір;Блакитний
301305;;;Колір;Жовтий
301305;;;Колір;Зелений
301305;;;Колір;Золотистий
301305;;;Колір;Коричневий
301305;;;Колір;Червоний
301305;;;Колір;Помаранчевий
301305;;;Колір;Різні кольори
301305;;;Колір;Рожевий
301305;;;Колір;Салатний
301305;;;Колір;Сірий
301305;;;Колір;Синій
301305;;;Колір;Теракотовий
301305;;;Колір;Фіолетовий
301305;;;Колір;Фуксія
301305;;;Колір;Хакі
301305;;;Колір;Чорний
301305;;;Протокол зв'язку;Wi-Fi
301305;;;Протокол зв'язку;Закритий протокол
301305;;;Протокол зв'язку;RS-232
301305;;;Протокол зв'язку;RS-422
301305;;;Протокол зв'язку;RS-485
301305;;;Протокол зв'язку;USB 2.0
301305;;;Протокол зв'язку;USB 3.0
301305;;;Протокол зв'язку;ІК-порт
301305;;;Протокол зв'язку;PCI
301305;;;Протокол зв'язку;PCI 2.2
301305;;;Протокол зв'язку;PCI-E x1
301305;;;Протокол зв'язку;FC
301305;;;Протокол зв'язку;SC
301305;;;Протокол зв'язку;RJ-45
301305;;;Протокол зв'язку;RJ-25(12)
301305;;;Протокол зв'язку;RJ-14
301305;;;Протокол зв'язку;RJ-11
301305;;;Протокол зв'язку;USB 2.0 Type A Plug
301305;;;Протокол зв'язку;USB 2.0 Type A Jack
301305;;;Протокол зв'язку;USB 2.0 Type B Plug
301305;;;Протокол зв'язку;USB 2.0 Type B Jack
301305;;;Протокол зв'язку;USB 2.0 Mini Type B 4 Position Plug
301305;;;Протокол зв'язку;USB 2.0 Mini Type B 4 Position Jack
301305;;;Протокол зв'язку;USB 2.0 Mini Type B 5 Position Plug
301305;;;Протокол зв'язку;USB 2.0 Mini Type B 5 Position Jack
301305;;;Протокол зв'язку;USB 2.0 Micro Type B Plug
301305;;;Протокол зв'язку;USB 2.0 Micro Type B Jack
301305;;;Протокол зв'язку;USB 3.0 Type A Plug
301305;;;Протокол зв'язку;USB 3.0 Type A Jack
301305;;;Протокол зв'язку;USB 3.0 Type B Plug
301305;;;Протокол зв'язку;USB 3.0 Type B Jack
301305;;;Протокол зв'язку;USB 3.0 Micro Type B Plug
301305;;;Протокол зв'язку;USB 3.0 Micro Type B Jack
301305;;;Протокол зв'язку;TCP
301305;;;Протокол зв'язку;IP
301305;;;Протокол зв'язку;GPRS
301305;;;Протокол зв'язку;GSM
301305;;;Протокол зв'язку;RCA
301305;;;Протокол зв'язку;Dallas Touch Memory
301305;;;Протокол зв'язку;Wiegand
301305;;;Протокол зв'язку;Wiegand 26
301305;;;Кількість кнопок (шт.);Введіть число. Число повинно бути від 1 до 100
301305;;;Мінімальна довжина коду;Введіть число. Число повинно бути від 1 до 12
301305;;;Максимальна довжина коду;Введіть число. Число повинно бути від 1 до 100
301305;;;Тип клавіатури;Механічна
301305;;;Тип клавіатури;Сенсорна
301305;;;Спосіб монтажу;Врізний
301305;;;Спосіб монтажу;Накладний
301305;;;Монітор;CRT
301305;;;Монітор;LCD
301305;;;Монітор;LCD TFT
301305;;;Монітор;LED
301305;;;Монітор;OLED
301305;;;Монітор;TFT
301305;;;Монітор;РК
301305;;;Монітор;Немає
301305;;;Кольоровість монітора;Кольоровий
301305;;;Кольоровість монітора;Чорно-білий
301305;;;Розмір монітора (дюйм);Введіть число. Число повинно бути від 0 до 30
301305;;;Вбудований зчитувач;ІЧ-зчитувач
301305;;;Вбудований зчитувач;Немає
301305;;;Вбудований зчитувач;Зчитувач акустичний
301305;;;Вбудований зчитувач;Зчитувач ємнісний
301305;;;Вбудований зчитувач;Зчитувач магнітний
301305;;;Вбудований зчитувач;Зчитувач механічний
301305;;;Вбудований зчитувач;Зчитувач оптичний
301305;;;Вбудований зчитувач;Зчитувач радіохвильовий
301305;;;Вбудований зчитувач;Зчитувач термічний
301305;;;Вбудований зчитувач;Зчитувач електронний безконтактний
301305;;;Вбудований зчитувач;Зчитувач електронний контактний
301305;;;Вбудовані динаміки;1
301305;;;Вбудовані динаміки;2
301305;;;Вбудовані динаміки;Немає
