category_id;supplier_name;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики
301305;Беспроводная клавиатура Dahua DHI-ARK30T-W2(868);Метод роботи;;кнопки;Частотна характеристика;;"868,0-868,6 МГц";Відстань передачі;;до 1600 м;Кількість кнопок;;15;Індикація станів;;Підтримує;Живлення;;4 × AA;Робоча температура;;–10 °C - +55 °C;Антісаботаж;;Підтримує;Розміри;;146 × 82 × 22.6 мм;Вага;;145 г;Розмір упаковки (Ш х В х Г);;100 x 60 x 175 мм;Вага брутто;;0.38 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301305;Беспроводная тревожная кнопка Dahua DHI-ARD821-W2(868);Метод роботи;;кнопки;Частотна характеристика;;"868,0-868,6 МГц";Відстань передачі;;до 1400 м;Кількість кнопок;;1;Живлення;;CR2032;Робоча температура;;–10 °C - +55 °C;Антісаботаж;;Підтримує;Розміри;;55  × 36  × 14.2 мм;Вага;;18 г;Розмір упаковки (Ш х В х Г);;100 x 30 x 60 мм;Вага брутто;;0.6 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301305;Брелок сближения DS-PTS-MF;Частотна характеристика;;13.56 МГц;Відстань передачі;;Спрацьовування на відстані до 50 мм;Робоча температура;;-10 ° С - + 50 ° С;Розміри;;40 x 20 x 5мм;Кількість в ящику;;100 шт;Розмір упаковки (Ш х В х Г);;50 x 5 x 30 мм;Вага брутто;;0.01 кг;Строк гарантії;;24 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301305;Беспроводной брелок Hikvision DS-PKF1-WE;Метод роботи;;Бездротовий брелок;Частотна характеристика;;868 МГц;Відстань передачі;;900 м на відкритому просторі;Кількість кнопок;;4;Індикація станів;;LED-індикатор (три кольори);Живлення;;CR2032 x 1;Робоча температура;;Від -10 до +55 ° C;Вологість;;Від 10 до 90% (без конденсату);Розміри;;35 x 63 x 11 мм;Вага;;16 г;Колір;;білий;Кількість в ящику;;40 шт;Розмір упаковки (Ш х В х Г);;55 x 30 x 70 мм;Вага брутто;;0.04 кг;Строк гарантії;;24 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301305;Беспроводная портативная тревожная кнопка Hikvision DS-PDEBP1-EG2-WE;Метод роботи;;Бездротова портативна тривожна кнопка;Частотна характеристика;;868 МГц;Відстань передачі;;1000 м (відкритий простір);Кількість кнопок;;1;Індикація станів;;підтримується;Живлення;;CR2032 x 1;Робоча температура;;Від -10 до +55 ° C;Вологість;;Від 10 до 90%;Розміри;;Ф 38 × 12 мм;Вага;;14 г;Колір;;білий;Кількість в ящику;;20 шт;Розмір упаковки (Ш х В х Г);;12 x 12 x 38 мм;Вага брутто;;0.014 кг;Строк гарантії;;24 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301305;Беспроводная LED-клавиатура Hikvision DS-PK1-E-WE;Метод роботи;;Бездротова LED-клавіатура;Частотна характеристика;;868 МГц;Відстань передачі;;1200 м (відкрита область);Монтаж;;Установка на гвинти;Кількість кнопок;;"Номери клавіш: від 0 до 9 Функціональні клавіші: *, #, охорона з обходом зон, повна охорона, зняття з охорони і контроль вихідного";Індикація станів;;"4: несправність (помаранчевий), реєстрація / сигнал (червоний / зелений), постановка на охорону (червоний / зелений / синій) і сигналізація (червоний)";Живлення;;Чотири батареї АА;Робоча температура;;Від -10 до +55 ° C;Вологість;;Від 10 до 90%;Розміри;;140 x 86 x 22 мм;Вага;;151 г;Колір;;білий;Кількість в ящику;;40 шт;Розмір упаковки (Ш х В х Г);;120 x 35 x 185 мм;Вага брутто;;0.32 кг;Строк гарантії;;24 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301305;Проводная LED клавиатура Hikvision DS-PKG-H8L;Метод роботи;;клавіатура;Сумісність;;Сумісність з охороною централями;Кількість кнопок;;16;Індикація станів;;"Робота, зняття / становлення на охорону (червоний / зелений)";Робоча температура;;-10 ° C - +55 ° C;Вологість;;від 10% до 90%;Антісаботаж;;підтримує;Розміри;;134х75х28 мм;Вага;;149 г;Колір;;білий;Розмір упаковки (Ш х В х Г);;50 x 150 x 90 мм;Вага брутто;;0.2 кг;Строк гарантії;;24 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301305;Мобильный аварийный терминал DS-1530HMI;Метод роботи;;Мобільний аварійний термінал;Індикація станів;;"Три індикатора вказують на стан живлення, записи і помилки";Живлення;;DC 5В / 30мА;Розміри;;80 х 30 х 19 мм;Кількість в ящику;;30 шт;Розмір упаковки (Ш х В х Г);;110 x 100 x 170 мм;Вага брутто;;0.38 кг;Строк гарантії;;24 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301305;Беспроводная клавиатура с LCD экраном (868MHz) DS-PK-LRT;Метод роботи;;Бездротова клавіатура з LCD екраном;Частотна характеристика;;868MHz;Кількість кнопок;;20 кнопок;Індикація станів;;підтримує;Живлення;;12V DC;Робоча температура;;-10 ° C ~ 50 ° C;Вологість;;До 90%;Вага;;272г;Колір;;білий;Кількість в ящику;;8 шт;Розмір упаковки (Ш х В х Г);;170 x 50 x 220 мм;Вага брутто;;0.46 кг;Строк гарантії;;24 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301305;Беспроводная тревожная кнопка DS-PDEB2-EG2-WE;Метод роботи;;"Увімкнення живлення, віддалений ID, QR-код";Частотна характеристика;;Tri-X 868 МГц;Відстань передачі;;1200 м;Кількість кнопок;;2;Захист від підбору пароля;;Підтримує;Індикація станів;;Підтримує;Живлення;;3В CR2450 x 1;Температурний сенсор;;Підтримує;Робоча температура;;-20 °C - 60 °C;Віддалене налаштування і тестування;;Підтримує;Розміри;;63.8 × 63.8 × 17.9 мм;Вага;;45 г;Розмір упаковки (Ш х В х Г);;80 x 65 x 30 мм;Вага брутто;;0.08 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
