category_id;supplier_name;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;;;;;
302308;Безконтактна кнопка виходу VIA Security VB8686M (комбінована метал/пластик);Розмір упаковки (Ш х В х Г);;95 x 40 x 105 мм;Вага брутто;;80;Розміри;;86 х 86 х 24 мм;Номінал струму;;"12-24В, 3A";Рабочая температура;;-20℃~+55℃;Монтаж;;Врезной;Контакти;;NO/NC/COM;Кількість в ящику;;100 шт;;;;;;;;;;;;;;;;;
302308;Безконтактна кнопка виходу VIA Security VB3280P (пластик);Розмір упаковки (Ш х В х Г);;35 x 35 x 95 мм;Вага брутто;;40;Розміри;;80 х 32 х 23 мм;Номінал струму;;DC12/24В;Материал;;корпус PC + лицьова панель з ABS-пластику;Рабочая температура;;-20℃~+55℃;Монтаж;;накладний;Контакти;;NO/NC/COM;Кількість в ящику;;100 шт;;;;;;;;;;;;;;
302308;Контактна кнопка виходу VIA Security VB2276P (пластик);Розмір упаковки (Ш х В х Г);;25 x 15 x 80 мм;Вага брутто;;10;Розміри;;76x23x14 мм;Номінал струму;;3A/12-24В;Рабочая температура;;-20℃~+55℃;Монтаж;;накладний;Контакти;;NC/NO/COM;Кількість в ящику;;500 шт;;;;;;;;;;;;;;;;;
302308;Безконтактна кнопка виходу VIA Security VB3280M (метал);Розмір упаковки (Ш х В х Г);;40 x 40 x 95 мм;Вага брутто;;120;Розміри;;80 х 32 х 23 мм;Номінал струму;;DC12/24В;Материал;;Цинковый сплав;Рабочая температура;;-20℃~+55℃;Монтаж;;накладний;Контакти;;NO/NC/COM;Кількість в ящику;;100 шт;;;;;;;;;;;;;;
302308;Контактна кнопка виходу VIA Security VB3080M (метал);Розмір упаковки (Ш х В х Г);;37 x 35 x 100 мм;Вага брутто;;120;Розміри;;80x30x25 мм;Номінал струму;;0.5A/12-24В;Материал;;цинковий метал;Рабочая температура;;-20℃~+55℃;Монтаж;;накладний з коробом;Контакти;;NO/COM;Кількість в ящику;;200 шт;;;;;;;;;;;;;;
302308;Безконтактна кнопка виходу Via Security VB-2NM (метал);Розмір упаковки (Ш х В х Г);;50 x 90 x 85 мм;Вага брутто;;200;Розміри;;Ф73 х 20 мм;Рабочая температура;;-40°С - +60°С;Монтаж;;накладний;Вага;г;145;Класс защиты;;IP66;Матеріал;;Метал;;;;;;;;;;;;;;;;;
302308;Безконтактна кнопка виходу VIA Security VB3280MW (метал);Розмір упаковки (Ш х В х Г);;40 x 40 x 95 мм;Вага брутто;;140;Розміри;;80 х 32 х 23 мм;Номінал струму;;DC12/24В;Материал;;Цинковый сплав;Рабочая температура;;-20℃~+55℃;Монтаж;;накладний;Контакти;;NO/NC/COM;Класс защиты;;IP68;;;;;;;;;;;;;;
302308;Контактна кнопка виходу ATIS Exit-805L (метал);Розмір упаковки (Ш х В х Г);;33 x 25 x 83 мм;Вага брутто;;130;Розміри;;83x32x25мм;Номінал струму;;DC12V;Материал;;Нержавеющая сталь;Строк гарантії;;12 міс.;Тип устройства;;кнопка виходу;Інтерфейси виходу;;NO / COM;;;;;;;;;;;;;;;;;
302308;Контактна кнопка виходу Atis Exit-805D;Розмір упаковки (Ш х В х Г);;32 x 25 x 83 мм;Вага брутто;;120;Розміри;;90 х 34 х 28 мм;Номінал струму;;3 А;Рабочая температура;;-10 ~ +50;Строк гарантії;;12 міс.;Монтаж;;накладний;Тип устройства;;механічна кнопка;Интерфейсы;;NO/NC/COM;;;;;;;;;;;;;;
302308;Безконтактна кнопка виходу Yli Electronic ISK-841A (метал);Розмір упаковки (Ш х В х Г);;86 x 26 x 86 мм;Вага брутто;;200;Розміри;;90x35x37.7 мм;Номінал струму;;1 А 30 В;Рабочая температура;;-20 ℃ + 50 ℃;Строк гарантії;;12 міс.;Інтерфейси виходу;;NO / NC / COM;Вага;г;180;Матеріал;;Метал;;;;;;;;;;;;;;
