category_id;supplier_name;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики
71903;Коммутатор 8 портов управляемый Dahua DH-CS4010-8ET2GT-60;Порти (Uplink);;2x RJ45 (10/100/1000M);Порти (DownLink);;8x RJ45 (10/100M);Терморегулятори контактів PoE;;"1,2, (V+), 3 ,6, (V-)";Мережеві стандарти;;"IEEE 802.3, IEEE 802.3u, IEEE 802.3x, IEEE 802.3ab, IEEE 802.3az";VLAN;;32;Керування;;Layer 2;Споживана потужність PoE;;"1 порт 60Вт, 2-8 порти 30Вт (бюджет 60 Вт)";Протоколи PoE;;"IEEE802.3af, IEEE802.3at, Hi-PoE";Макс. пропускна спроможність;;5.6 Гбіт/с;Швидкість пересилання пакетів;;4.17 мп/с;Буферна пам'ять;;4 Мбіт;Розмір таблиці MAC;;8K;Живлення;;"53В DC, 1.22 A";Потужність споживання;;4-63 Вт;Робоча температура;;–10 °C - +55 °C;Блискавкозахист;;"Повітряний розряд: 8 кВ, Контактний розряд: 6 кВ";Розміри;;184.6×103.3×27 мм;Вага;;360 г;Кількість в ящику;;20 шт;Розмір упаковки (Ш х В х Г);;140 x 120 x 250 мм;Вага брутто;;0.9 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71903;Коммутатор 6 портов управляемый Dahua DH-CS4006-4ET2GT-60 PoE;Порти (Uplink);;2x RJ45 (10/100/1000M);Порти (DownLink);;4x RJ45 (10/100M);Терморегулятори контактів PoE;;"1, 2, 4, 5（V+）, 3, 6, 7, 8（V-）";Мережеві стандарти;;"IEEE 802.3, IEEE 802.3u, IEEE 802.3x, IEEE 802.3ab, IEEE 802.3az";VLAN;;32;Керування;;Layer 2;Споживана потужність PoE;;"2-4 порти 30Вт, порт 1 60Вт (бюджет 60 Вт)";Протоколи PoE;;"IEEE802.3af , IEEE802.3at , Hi-PoE";Макс. пропускна спроможність;;4.8 Гбіт/с;Швидкість пересилання пакетів;;3.57 мп/с;Буферна пам'ять;;4 Мбіт;Розмір таблиці MAC;;2K;Живлення;;"53В DC, 1.22 A";Потужність споживання;;3-65 Вт;Робоча температура;;–10 °C - +55 °C;Блискавкозахист;;"Повітряний розряд: 8 кВ, Контактний розряд: 6 кВ";Розміри;;115 × 84 × 27 мм;Вага;;200 г;Кількість в ящику;;12 шт;Розмір упаковки (Ш х В х Г);;200 x 90 x 120 мм;Вага брутто;;0.72 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71903;Коммутатор 8 портов управляемый Dahua DH-CS4010-8ET2GT-110;Порти (Uplink);;2x RJ45 (10/100/1000M);Порти (DownLink);;8x RJ45 (10/100M);Терморегулятори контактів PoE;;"порт 1-2: 1,2,4,5 (V+),3,6,7,8 (V-), порт 3-8: 1,2, (V+),3,6, (V-)";Мережеві стандарти;;"IEEE 802.3, IEEE 802.3u, IEEE 802.3x, IEEE 802.3ab, IEEE 802.3az";VLAN;;32;Керування;;Layer 2;Споживана потужність PoE;;"1-2 порт 90Вт, 3-8 порти 30Вт (бюджет 110 Вт)";Протоколи PoE;;"IEEE 802.3af, IEEE 802.3at, Hi-PoE, IEEE 802.3bt";Макс. пропускна спроможність;;5.6 Гбіт/с;Швидкість пересилання пакетів;;4.17 мп/с;Буферна пам'ять;;4 Мбіт;Розмір таблиці MAC;;8K;Живлення;;"54В DC, 2.22 A";Потужність споживання;;6-115 Вт;Робоча температура;;–10 °C - +55 °C;Блискавкозахист;;"Повітряний розряд: 8 кВ, Контактний розряд: 6 кВ";Розміри;;184.6×103.3×27 мм;Вага;;360 г;Кількість в ящику;;20 шт;Розмір упаковки (Ш х В х Г);;140 x 110 x 250 мм;Вага брутто;;1.1 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71903;Коммутатор 5 портов неуправляемый Ruijie Reyee RG-ES05G-L 1000M;Порти (DownLink);;5x RJ45 (10/100/1000M);Макс. пропускна спроможність;;10 Гбіт/с;Швидкість пересилання пакетів;;7.44 мп/с;Розмір таблиці MAC;;2К;Живлення;;"5В DC, 1А";Потужність споживання;;2.1 Вт;Робоча температура;;0°C - +40°C;Блискавкозахист;;4 kV;Розміри;;85x52х23.5мм;Вага;;220 г;Розмір упаковки (Ш х В х Г);;80 x 55 x 170 мм;Вага брутто;;0.22 кг;Строк гарантії;;36 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71903;Коммутатор 8 портов неуправляемый Dahua DH-SF1008L;Порти (DownLink);;8x RJ45 (10/100M);Макс. пропускна спроможність;;1.6 Гбіт/с;Швидкість пересилання пакетів;;1.19 мп/сс;Буферна пам'ять;;768 кБіт/с;Розмір таблиці MAC;;2K;Живлення;;DC 5В / 1A;Робоча температура;;0 °C - +45 °C;Розміри;;133x62x24 мм;Вага;;160 г;Кількість в ящику;;60 шт;Розмір упаковки (Ш х В х Г);;85 x 60 x 135 мм;Вага брутто;;0.2 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71903;Коммутатор 5 портов неуправляемый Hikvision DS-3E0105P-E/M(C) POE;Порти (Uplink);;1х RJ45 (100M);Порти (DownLink);;4x RJ45 (100M);Споживана потужність PoE;;"Порти: 1-4 ≤30Вт, Загальна: 45Вт";Терморегулятори контактів PoE;;"1/2(-), 3/6(+)";Протоколи PoE;;"IEEE802.3af, IEEE802.3at";Макс. пропускна спроможність;;1 Гбіт/с;Швидкість пересилання пакетів;;0.744 Mpps;Буферна пам'ять;;768 Кбит;Розмір таблиці MAC;;2К;Живлення;;"54В DC, 0.92 A";Потужність споживання;;50 Вт;Робоча температура;;0°C ~ 40°C;Розміри;;121.1 × 27.6 × 83.1 мм;Вага;;200 г;Кількість в ящику;;12 шт;Розмір упаковки (Ш х В х Г);;120 x 90 x 200 мм;Вага брутто;;0.65 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71903;Коммутатор 9 портов неуправляемый Hikvision DS-3E0109P-E/M(C) POE;Порти (Uplink);;1х RJ45 (100M);Порти (DownLink);;8x RJ45 (100M);Споживана потужність PoE;;"Порти: 1-8 ≤30Вт, Загальна: 80 Вт";Протоколи PoE;;"IEEE802.3af, IEEE802.3at";Терморегулятори контактів PoE;;"1/2(-), 3/6(+), 4/5(+), 7/8(-)";Макс. пропускна спроможність;;1.8 Гб / с;Швидкість пересилання пакетів;;1.34 мп/с;Буферна пам'ять;;1 Мбіт/с;Розмір таблиці MAC;;2К;Живлення;;"54В DC, 1.6 A";Потужність споживання;;6-86 Вт;Робоча температура;;0°C ~ 40°C;Блискавкозахист;;6 кВ;Розміри;;170 × 27.6 × 93.1 мм;Вага;;350г;Кількість в ящику;;12 шт;Розмір упаковки (Ш х В х Г);;130 x 85 x 210 мм;Вага брутто;;0.9 кг;Строк гарантії;;24 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71903;Коммутатор 10 портов неуправляемый Ewind EW-S1910G-AP PoE;Порти (Uplink);;2x RJ45 (10/100/1000M);Порти (DownLink);;8x RJ45 (10/100M);Мережеві стандарти;;"IEEE802.3 10BASE-T, IEEE802.3i 10Base-T, IEEE802.3u 100Base-TX, IEEE802.3ab 1000Base-T, IEEE802.3x";Споживана потужність PoE;;1-8 порт 30Вт (бюджет 120 Вт);Розпінування PoE контактів;;"1/2(+), 3/6(-)";Протоколи PoE;;IEEE802.3af/at;Макс. пропускна спроможність;;20 Гбит/с;Буферна пам'ять;;4M;Розмір таблиці MAC;;4K;Живлення;;Вбудований адаптер живлення AC100 ~ 240 В;Потужність споживання;;4-120 Вт;Робоча температура;;-20 - +55°C;Блискавкозахист;;"IEC61000-4-2(ESD): контактний розряд ±8 кВ, повітряний розряд ±15 кВ";Розміри;;195x130x40 мм;Вага;;1 кг;Розмір упаковки (Ш х В х Г);;205 x 45 x 250 мм;Вага брутто;;1.04 кг;Строк гарантії;;24 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71903;Коммутатор 5 портов неуправляемый Dahua DH-SF1005L;Порти (DownLink);;5x RJ45 (10/100M);Макс. пропускна спроможність;;1 Гбіт;Швидкість пересилання пакетів;;0.744 мп/с;Буферна пам'ять;;768 кБіт/с;Розмір таблиці MAC;;2K;Живлення;;DC 5В / 1A;Робоча температура;;0 °C - +45 °C;Розміри;;86.4 × 52 × 23 мм;Вага;;120 г;Кількість в ящику;;30 шт;Розмір упаковки (Ш х В х Г);;90 x 60 x 110 мм;Вага брутто;;0.14 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71903;Коммутатор 4 порта управляемый Dahua DH-CHS4106-4ET-60 PoE;Порти (Uplink);;"1x RJ45 (10/100/1000M), 1x SFP 1000M";Порти (DownLink);;4x RJ45 (10/100M);Терморегулятори контактів PoE;;"1,2,4,5 (V+),3,6,7,8 (V-)";Мережеві стандарти;;"IEEE 802.3, IEEE 802.3u, IEEE 802.3x, IEEE 802.3ab, IEEE 802.3z";VLAN;;32;Керування;;Layer 2;Споживана потужність PoE;;"1 порт 60Вт, 2-4 порти 30Вт (бюджет 60 Вт)";Протоколи PoE;;"IEEE802.3af, IEEE802.3at, Hi-PoE";Макс. пропускна спроможність;;4.8 Гбіт/с;Швидкість пересилання пакетів;;3.57 мп/с;Буферна пам'ять;;4 Мбіт;Розмір таблиці MAC;;8K;Живлення;;"53В DC, 1.3 A";Потужність споживання;;2-65 Вт;Робоча температура;;–30 °C - +65 °C;Додатково;;"IP30,IK06";Блискавкозахист;;"Повітряний розряд: 8 кВ, Контактний розряд: 6 кВ";Розміри;;154.3 × 110.4 × 30 мм;Вага;;320 г;Кількість в ящику;;8 шт;Розмір упаковки (Ш х В х Г);;240 x 80 x 270 мм;Вага брутто;;1 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
