category_id;supplier_name;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики
301312;Контроллер для двух дверей U-Prox IP400H IP универсальный;У комплекті;;Корпус + плата;Інтерфейс підключення;;"Ethernet 100 мбіт/с (RJ45), USB для мережевих налаштувань, 2 реле (NO, NC, COM), 2 реле (NO, COM), 8 програмованих шлейфів з контролем по струму";Пам'ять;;"31768 постійних ідентифікаторів +1000 тимчасових,  47000 подій, 250 тижневих розкладів, 250 тайм-зон, 250 вихідних, «плаваючі» розкладу, годинник реального часу";Інтерфейси введення;;"8 з контролем по струму для підключення датчиків, кнопок";Інтерфейси виходу;;"4 («сухий контакт»). Два реле (C NO NC) 24В 5А, два реле (C NO) 24В 1А";Живлення;;12В;Розмір упаковки (Ш х В х Г);;245 x 100 x 295 мм;Вага брутто;;2.26 кг;Строк гарантії;;24 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301312;Контроллер для одной двери Via Security VC-01P;Кількість дверей;;1;Інтерфейс зв'язку;;"Wiegand 26-44, 56, 58";Пам'ять;;1000 користувачів;Інтерфейси введення;;"Wiegand, кнопка виходу";Інтерфейси виходу;;"релейний (NO, NC, COM)";Живлення;;"12V DC, 20mA";Робоча температура;;-40°С - +60°С;Розміри;;65х54х19 мм;Розмір упаковки (Ш х В х Г);;105 x 25 x 115 мм;Вага брутто;;0.12 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301312;Контроллер для одной двери Via Security VSA-21FM/E автономный со считывателем;Кількість дверей;;1;Інтерфейс зв'язку;;Wiegand 26/34;Пам'ять;;1000 користувачів;Індикація станів;;Триколірний світлодіодний індикатор стану;Вбудований зчитувач;;"125 кГц EM, відбиток пальця";Інтерфейси введення;;"Wiegand 26/34, кнопка виходу";Інтерфейси виходу;;"Wiegand 26, релейний";Клас захисту;;IP66;Живлення;;"12V DC, 60-150mA";Робоча температура;;-40°С - +60°С;Розміри;;Ф73х20 мм;Розмір упаковки (Ш х В х Г);;50 x 90 x 85 мм;Вага брутто;;0.24 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301312;Контроллер для одной двери Via Security VSA-21M/E автономный со считывателем;Кількість дверей;;1;Інтерфейс зв'язку;;Wiegand 26/34;Пам'ять;;2000 користувачів;Індикація станів;;Триколірний світлодіодний індикатор стану;Вбудований зчитувач;;125 кГц EM;Інтерфейси введення;;"Wiegand 26/34, кнопка виходу";Інтерфейси виходу;;"Wiegand 26, релейний";Клас захисту;;IP66;Живлення;;"12V DC, 60-150mA";Робоча температура;;-40°С - +60°С;Розміри;;Ф73х20 мм;Розмір упаковки (Ш х В х Г);;85 x 50 x 95 мм;Вага брутто;;0.24 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301312;Контроллер для одной двери Via Security VSA-11M/E+M автономный со считывателем;Кількість дверей;;1;Інтерфейс зв'язку;;Wiegand 26~44;Пам'ять;;1000 користувачів;Індикація станів;;Триколірний світлодіодний індикатор стану;Вбудований зчитувач;;"125 кГц EM та 13,56 МГц Mifare (NXP Mifare, Mifare Plus, DesFire, Mifare Pro, Mifare UltraLight, Mifare Class 4K, NFC + CPU)";Інтерфейси введення;;"Wiegand, кнопка виходу, тривога, дверний контакт";Інтерфейси виходу;;"Wiegand, релейний";Клас захисту;;IP66;Живлення;;"12V DC, 35mA";Робоча температура;;-40°С - +60°С;Розміри;;103х48х20 мм;Розмір упаковки (Ш х В х Г);;50 x 70 x 110 мм;Вага брутто;;0.34 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301312;Контроллер для одной двери Via Security VTA-12KFM/E+M WF автономный со считывателем;Кількість дверей;;1;Інтерфейс зв'язку;;Wi-Fi;Пам'ять;;1000 користувачів;Індикація станів;;світлодіодний індикатор стану;Вбудований зчитувач;;"EM-Marin + MIFARE, відбиток пальця";Інтерфейси введення;;"Wiegand, кнопка виходу, дверний контакт";Інтерфейси виходу;;"Wiegand, релейний, тривога";Клас захисту;;IP66;Живлення;;"12V DC, 60-150mA";Робоча температура;;-30°С - +60°С;Розміри;;148х44х22 мм;Розмір упаковки (Ш х В х Г);;50 x 65 x 170 мм;Вага брутто;;0.48 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301312;Контроллер для одной двери Via Security VSA-11P/M Black автономный со считывателем;Кількість дверей;;1;Пам'ять;;2000 користувачів;Індикація станів;;Триколірний світлодіодний індикатор стану;Вбудований зчитувач;;13.56 МГц Mifare;Інтерфейси введення;;кнопка виходу;Інтерфейси виходу;;релейний;Клас захисту;;IP66;Живлення;;"12V DC, 40mA";Робоча температура;;-40°С - +60°С;Розміри;;103х48х20 мм;Розмір упаковки (Ш х В х Г);;50 x 70 x 110 мм;Вага брутто;;0.2 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301312;Контроллер для одной двери Via Security VSA-11P/M White автономный со считывателем;Кількість дверей;;1;Пам'ять;;2000 користувачів;Індикація станів;;Триколірний світлодіодний індикатор стану;Вбудований зчитувач;;13.56 МГц Mifare;Інтерфейси введення;;кнопка виходу;Інтерфейси виходу;;релейний;Клас захисту;;IP66;Живлення;;"12V DC, 40mA";Робоча температура;;-40°С - +60°С;Розміри;;103х48х20 мм;Розмір упаковки (Ш х В х Г);;50 x 75 x 110 мм;Вага брутто;;0.2 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301312;Контроллер для одной двери Via Security VTA-22KFP/E+M WF автономный со считывателем;Кількість дверей;;1;Інтерфейс зв'язку;;Wi-Fi;Пам'ять;;1000 користувачів;Індикація станів;;світлодіодний індикатор стану;Вбудований зчитувач;;"EM-Marin + MIFARE, відбиток пальця";Інтерфейси введення;;"Wiegand, кнопка виходу, дверний контакт";Інтерфейси виходу;;"Wiegand, релейний, тривога";Клас захисту;;IP66;Живлення;;"12V DC, 60-150mA";Робоча температура;;-30°С - +60°С;Розміри;;150х45х22 мм;Розмір упаковки (Ш х В х Г);;70 x 60 x 155 мм;Вага брутто;;0.26 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301312;Контроллер для одной двери Via Security VSA-21M/M автономный со считывателем;Кількість дверей;;1;Інтерфейс зв'язку;;Wiegand 26/34;Пам'ять;;2000 користувачів;Індикація станів;;Триколірний світлодіодний індикатор стану;Вбудований зчитувач;;13.56 МГц Mifare;Інтерфейси введення;;"Wiegand 26/34, кнопка виходу";Інтерфейси виходу;;"Wiegand 26, релейний";Клас захисту;;IP66;Живлення;;"12V DC, 60-150mA";Робоча температура;;-40°С - +60°С;Розміри;;Ф73х20 мм;Розмір упаковки (Ш х В х Г);;50 x 90 x 85 мм;Вага брутто;;0.24 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
