category_id;supplier_name;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики
71902;Точка доступа Ruijie Reyee RG-RAP2200(E);Особливості;;"Кількість клієнтів, що рекомендується: 80 (16 на 2,4 ГГц, 64 на 5 ГГц)";Інтерфейси;;"2x 10/100/1000Base-T,  PoE/LAN1 PoE";Wi-Fi;;802.11b/g/n/ac;Антена;;2.4G: 2dBi，5G: 2dBi;Живлення;;"DC 12В/1.5A, 802.3af/802.3at";Потужність споживання;;13 Вт;Розмір упаковки (Ш х В х Г);;194 x 35 x 194 мм;Вага брутто;;0.5 кг;Строк гарантії;;36 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71902;Точка доступа Ruijie Reyee RG-RAP2200(F);Особливості;;"Кількість клієнтів, що рекомендується: 48 (16 на 2,4 ГГц, 32 на 5 ГГц)";Інтерфейси;;"2x 10/100Base-T,  PoE/LAN1 PoE";Wi-Fi;;802.11b/g/n/ac;Антена;;2.4G: 2dBi，5G: 2dBi;Живлення;;"DC 12В/1.5A, 802.3af/802.3at";Потужність споживання;;13 Вт;Розмір упаковки (Ш х В х Г);;194 x 35 x 194 мм;Вага брутто;;0.5 кг;Строк гарантії;;36 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71902;Точка доступа MikroTik RBD52G-5HacD2HnD-TC (hAP ac²);Операційна система;;RouterOS L4;CPU;;IPQ-4018 716 MHz (4 ядерний);ROM/RAM;;128Мб;Локальна пам'ять;;"16Мб, Flash";Ethernet порти (Uplink);;5x RJ45 (10/100 / 1000M);PoE;;"5й порт, passive PoE";Wi-Fi;;2.4GHz (802.11b / g / n) і 5GHz (802.11a / n / ac);Антена;;2.5 dBi (двохдіапазонний режим) / 2.0dBi (однодіапазонні режим);USB;;Є (для 4G / LTE модемів);Живлення;;DC 12-30В / passive PoE (по порту №1);Потужність споживання;;15Вт;Розміри;;34х119х98 мм;Кількість в ящику;;20 шт;Розмір упаковки (Ш х В х Г);;25 x 250 x 215 мм;Вага брутто;;0.26 кг;Строк гарантії;;12 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71902;Точка доступа Ruijie Reyee RG-RAP62 Wi-Fi 6 AX1800 двухдиапазонная;Особливості;;IP41;Ethernet порти (Uplink);;1 x 10/100/1000 Base-T;PoE;;802.3at/af;Wi-Fi;;"Wi-Fi 4: IEEE 802.11a/n, Wi-Fi 5: IEEE 802.11ac Wave2, Wi-Fi 6: IEEE 802.11ax";Антена;;"5 GHz 4.58dBi, 2.4 GHz 3.13dBi";Живлення;;"2 В/1.5 A, PoE 802.3af|802.3at";Потужність споживання;;13 Вт;Розміри;;175 x 39 мм;Кількість в ящику;;10 шт;Розмір упаковки (Ш х В х Г);;185 x 65 x 210 мм;Вага брутто;;0.58 кг;Строк гарантії;;36 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71902;Точка доступа Ruijie Reyee RG-RAP2260(G) Wi-Fi 6;Особливості;;Рекомендована кількість клієнтів: 100;Інтерфейси;;"2 10/100/1000M Base-T , PoE/LAN1";PoE;;802.3at;Wi-Fi;;"802.11ax, 802.11ac wave2/wave1, 802.11a/b/g/n";Антена;;"2.4G 2x2MIMO,  5G 2x2MIMO";Продуктивність;;"До 574 Мбіт/с при 2,4G,  До 1201 Мбіт/с у 5G,  1,775 Gbp на точку доступу";Живлення;;DC 12В/1.5A;Потужність споживання;;15 Вт;Кількість в ящику;;10 шт;Розмір упаковки (Ш х В х Г);;220 x 68 x 222 мм;Вага брутто;;0.91 кг;Строк гарантії;;36 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71902;Точка доступа MikroTik cAP ac (RBcAPGi-5acD2nD);Операційна система;;RouterOS L4;CPU;;716 MHz;ROM/RAM;;128Мб;Локальна пам'ять;;"16МБ, Flash";Ethernet порти (Uplink);;2x RJ45 (1000M);PoE;;"1 порт, passive PoE";Wi-Fi;;2.4 GHz і 5GHz (5 генерація);Антена;;"вбудована, 2.5 dBi";Живлення;;DC 17-57В / PoE (802.3 af / at);Потужність споживання;;13Вт;Розміри;;Ф136х30 мм;Кількість в ящику;;20 шт;Розмір упаковки (Ш х В х Г);;60 x 180 x 270 мм;Вага брутто;;0.68 кг;Строк гарантії;;12 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71902;Точка доступа MikroTik RB952Ui-5ac2nD-TC;Операційна система;;RouterOS L4;CPU;;QCA9531 650 MHz;ROM/RAM;;64Мб;Локальна пам'ять;;"16Мб, Flash";Ethernet порти (Uplink);;5x RJ45 (10 / 100M);PoE;;"5й порт, passive PoE";Wi-Fi;;2.4GHz (802.11b / g / n) і 5GHz (802.11a / n / ac);Антена;;2 dBi (двохдіапазонний режим) / 1.5dBi (однодіапазонні режим);USB;;Є (для 3G / 4G модемів);Живлення;;DC 10-28В / passive PoE (по порту №1);Потужність споживання;;7Вт;Розміри;;34х119х98 мм;Кількість в ящику;;20 шт;Розмір упаковки (Ш х В х Г);;25 x 265 x 210 мм;Вага брутто;;0.32 кг;Строк гарантії;;12 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71902;Точка доступа Ruijie Reyee RG-RAP52-OD Wi-Fi 5 AC1300 двухдиапазонная наружная;Особливості;;"IP65 (–30°C - +70°C ), Reyee Mesh";Інтерфейси;;1 × 10/100/1000 Base-T port;PoE;;IEEE 802.3af;Wi-Fi;;"802.11ac Wave 2, 1267 Мбіт/с";Антена;;"2.4 ГГц, 2×2 MIMO, 5 ГГц, 2×2 MIMO";Живлення;;"IEEE 802.3af/802.3at пасивне живлення PoE, 24 В";Потужність споживання;;14 Вт;Розміри;;220 × 50 × 35.7 мм;Кількість в ящику;;16 шт;Розмір упаковки (Ш х В х Г);;70 x 120 x 250 мм;Вага брутто;;0.4 кг;Строк гарантії;;36 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71902;Точка доступа MikroTik wAP ax (wAPG-5HaxD2HaxD);CPU;;Dual-Core IPQ-5010 800 MHz ARM 64bit (RouterOS 32bit);ROM/RAM;;128|256 Мб;Локальна пам'ять;;NAND;Ethernet порти (Uplink);;(2) 10/100/1000 Ethernet порта;PoE;;802.3af/at;Wi-Fi;;802.11a/n/ac/ax;Антена;;2.5 dBi;Операційна система;;"RouterOS v7, License level 4";Живлення;;"адаптер 24В 0.8A, PoE in 802.3af/at";Потужність споживання;;9 Вт;Розміри;;185 x 85 x 30 мм;Розмір упаковки (Ш х В х Г);;115 x 80 x 280 мм;Вага брутто;;0.78 кг;Строк гарантії;;12 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71902;Маршрутизатор MikroTik hAP liteTC (RB941-2nD-TC);Операційна система;;RouterOS L4;CPU;;QCA9533 650 MHz;ROM/RAM;;32Мб;Локальна пам'ять;;"16МБ, Flash";Ethernet порти (Uplink);;4x RJ45 (100M);Wi-Fi;;2.4 Ghz;Антена;;"Вбудована, 1.5 dBi";Живлення;;DC 5В;Потужність споживання;;3Вт;Розміри;;124x100x54 мм;Кількість в ящику;;20 шт;Розмір упаковки (Ш х В х Г);;190 x 125 x 60 мм;Вага брутто;;0.26 кг;Строк гарантії;;12 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
