category_id;supplier_name;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики
5092913;Водонепроницаемая распределительная коробка Dahua DH-PFA124;Матеріал;;алюмінієвий сплав;Розміри;;"134 × 133,4 × 52 мм";Робоча температура;;"IP66, –40 °C - +60 °C";Розмір упаковки (Ш х В х Г);;60 x 145 x 145 мм;Вага брутто;;0.62 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5092913;Водонепроницаемая распределительная коробка Dahua DH-PFA124-B;Матеріал;;алюмінієвий сплав;Розміри;;"134 × 133,4 × 52 мм";Робоча температура;;"IP66, –40 °C - +60 °C";Розмір упаковки (Ш х В х Г);;60 x 145 x 145 мм;Вага брутто;;0.62 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5092913;Водонепроницаемая распределительная коробка DH-PFA13A-E;Сумісний з серіями камер;;"HDW2: HDW1000, HDW1100 HDW1200, HDW1220, HDW1230, HDW1400, HDW1500, HDW2241, HDW2401, HDW2501M, HDW4231, HDW4431M, T2A21";Матеріал;;алюміній;Розміри;;Ф96.7x37 мм;Кріплення;;G3 / 4 "";Навантаження;;3 Кг;Вага;;170 г;Колір;;білий;Робоча температура;;-40 ℃ ~ 60 ℃;Вологість;;0 ~ 90% RH;Кількість в ящику;;40 шт;Розмір упаковки (Ш х В х Г);;50 x 120 x 120 мм;Вага брутто;;0.236 кг;Строк гарантії;;12 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5092913;Водонепроницаемый Power Box DH-PFA6400S;Сумісний з серіями камер;;PFH6хх;Матеріал;;алюміній;Розміри;;297.2 × 248 × 130 мм;Кріплення;;"Настінне кріплення, кріплення на стовп, кутове кріплення";Навантаження;;8 кг;Вага;;3.38 кг;Робоча температура;;"–40 °C - +60 °C, IP66";Розмір упаковки (Ш х В х Г);;300 x 180 x 370 мм;Вага брутто;;3.88 кг;Строк гарантії;;12 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5092913;Водонепроницаемый коммутационный бокс DH-PFA130-E;Сумісний з серіями камер;;"HFW1100 / 1220 / 1400R-VF (-IRE6), HFW1200 / 1230/2401 / 1500R-Z-IRE6, HFW2231R-Z-IRE6-POC, HFW2231 / 2431R-ZS / VFS-IRE6, TPC-BF2120 (-T) і інші (дивіться в файлі """"сумісність"""")";Матеріал;;алюміній;Розміри;;Ф124x41 мм;Кріплення;;Ж з / 4 "";Навантаження;;3 Кг;Вага;;350г;Колір;;білий;Кількість в ящику;;20 шт;Розмір упаковки (Ш х В х Г);;150 x 150 x 65 мм;Вага брутто;;0.445 кг;Строк гарантії;;12 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5092913;Герметичная распределительная коробка DH-PFA120;Сумісний з серіями камер;;Дивіться в файлі ""сумісність"";Матеріал;;алюміній;Розміри;;115.0мм60.0ммx38.8мм;Кріплення;;M20 (G1 / 2 "");Навантаження;;7.0кг;Вага;;0.53кг;Колір;;білий;Робоча температура;;-40ºC ~ + 60ºC;Вологість;;<90%;Кількість в ящику;;10 шт;Розмір упаковки (Ш х В х Г);;175 x 60 x 175 мм;Вага брутто;;0.62 кг;Строк гарантії;;12 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5092913;Коммутационная коробка DH-PFA130-E-B;Сумісний з серіями камер;;Дивитися список сумісних;Матеріал;;алюміній;Розміри;;Φ124 x 41 мм;Навантаження;;3000 г;Вага;;350 г;Колір;;чорний;Робоча температура;;-40ºC ~ 60ºC;Вологість;;<90% RH;Кількість в ящику;;20 шт;Розмір упаковки (Ш х В х Г);;150 x 65 x 150 мм;Вага брутто;;0.442 кг;Строк гарантії;;12 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5092913;Коммутационная коробка DH-PFA130-E-BL;Сумісний з серіями камер;;Дивитися список сумісних;Матеріал;;алюміній;Розміри;;Φ124 x 41 мм;Навантаження;;3000 г;Вага;;350 г;Колір;;чорний;Робоча температура;;-40ºC ~ 60ºC;Вологість;;<90% RH;Розмір упаковки (Ш х В х Г);;60 x 145 x 145 мм;Вага брутто;;0.4 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5092913;Коммутационная коробка DH-PFA13G;Матеріал;;Алюмінієвий сплав;Розміри;;Ф 112 × 36 мм;Навантаження;;2000 р;Вага;;330 г;Колір;;білий;Робоча температура;;-40 ° C to + 60 ° C;Вологість;;<90%;Кількість в ящику;;20 шт;Розмір упаковки (Ш х В х Г);;150 x 60 x 145 мм;Вага брутто;;0.4 кг;Строк гарантії;;12 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5092913;Коммутационная коробка DS-1280ZJ-DM45;Матеріал;;Алюмінієвий сплав;Розміри;;Ф 140 х 40 мм;Вага;;237 г;Колір;;білий;Кількість в ящику;;20 шт;Розмір упаковки (Ш х В х Г);;165 x 85 x 165 мм;Вага брутто;;0.34 кг;Строк гарантії;;12 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
