Посилання_підрозділу;Ідентифікатор_підрозділу;supplier_attribute;supplier_value_substring;prom_attribute;prom_value
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Тип пристрою;Кожух
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Тип пристрою;Кронштейн
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Застосування;У приміщенні
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Застосування;В приміщенні/Уличне
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Застосування;Вуличне
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Тип кріплення кронштейна;Настінне кріплення
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Тип кріплення кронштейна;Стельове кріплення
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Тип кріплення кронштейна;Кріплення для монтажу на стовп/балку
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Тип кріплення кронштейна;Кріплення для монтажу камери відеоспостереження на кут
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Тип кріплення кронштейна;Стельове кріплення для купольних камер відеоспостереження
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Тип кріплення кронштейна;Настінне кріплення для камер відеоспостереження в стандартному корпусі
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Маx нагрузка на кронштейн (кг);Введіть число. Число повинно бути від 0 до 100
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Матеріал;АБС-пластик
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Матеріал;Алюмінієвий сплав
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Матеріал;Алюміній
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Матеріал;Карбон
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Матеріал;Метал
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Матеріал;"Нержавіюча сталь, що містить нікель"
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Матеріал;Нержавіюча сталь
