category_id;supplier_name;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;;;
301112;Dahua Lechange FRS10-C Skin for LOOC camera FRS10-C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301112;Вертикальное крепление на столбе DS-1475ZJ-SUS(BLACK);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301112;Дождевик Hikvision DS-1250ZJ-DM65;Розміри;;φ174 х 209 мм;Вага;;185.3 г;Кількість в ящику;;9 шт;Розмір упаковки (Ш х В х Г);;190 x 240 x 190 мм;Вага брутто;;0.3 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;
301112;Защитная решетка для камер (белая) DS 102/66w;Сумісний з серіями камер;;"DS-2CE56D0T-IRMF, DS-2CE56D8T-ITME, DS-2CE56D8T-ITMF, DS-2CE56F7T-IT3Z, DS-2CE56D8T-IT3ZE";Розмір упаковки (Ш х В х Г);;110 x 110 x 70 мм;Вага брутто;;0.15 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301112;Защитный козырек с кронштейном DH-PFA200W;Сумісний з серіями камер;;"D3A21-VF, HDBW2831R-ZS, HDBW5231 / 5431/5631 / 5831R-ZE, HDBW2231 / 2 421/2431 / 2531R-ZS / VFS, HDBW2831R-ZS, HDBW1831R";Матеріал;;Алюміній і SGCC;Розміри;;130x127x147 мм;Вага;;250г;Колір;;білий;Кількість в ящику;;40 шт;Розмір упаковки (Ш х В х Г);;16 x 407 x 315 мм;Вага брутто;;0.361 кг;Строк гарантії;;12 міс.;;;;;;;;;;;;;;;
301112;Кожух для установки на улице DS-1331HZ-B;Матеріал;;алюміній;Клас захисту;;IP66;Робоча температура;;-20° C - 60° C;Розміри;;465.4 × 169.2 × 160 мм;Вага;;2 кг;Кількість в ящику;;1 шт;Розмір упаковки (Ш х В х Г);;450 x 300 x 620 мм;Вага брутто;;6.7 кг;Строк гарантії;;12 міс.;;;;;;;;;;;;;;;
301112;Козырек для купольных камер DS-1250ZJ;Матеріал;;Композитний волокно;Розміри;;264x152x190 мм;Вага;;200г;Колір;;білий;Кількість в ящику;;4 шт;Розмір упаковки (Ш х В х Г);;170 x 270 x 190 мм;Вага брутто;;0.35 кг;Строк гарантії;;12 міс.;;;;;;;;;;;;;;;;;;
301112;Кронштейн (Украина) DS-1275ZJ-S-SUS black;Розміри;;144×131.6×44.3 мм;Розмір упаковки (Ш х В х Г);;140 x 65 x 120 мм;Вага брутто;;0.3 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301112;Кронштейн Dahua PFA106;Матеріал;;алюміній;Розміри;;Φ134.1x83.5 мм;Робоча температура;;-40ºC - +60ºC;Навантаження;;1 кг;Розмір упаковки (Ш х В х Г);;160 x 110 x 160 мм;Вага брутто;;0.35 кг;;;;;;;;;;;;;;;;;;;;;;;;
301112;Кронштейн DH-PFA134-B;Матеріал;;алюміній;Розміри;;Φ90x35 мм;Навантаження;;1 кг;Робоча температура;;-40ºC~+60ºC;Розмір упаковки (Ш х В х Г);;115 x 40 x 115 мм;Вага брутто;;0.28 кг;Строк гарантії;;12 міс.;;;;;;;;;;;;;;;;;;;;;
