Ідентифікатор_підрозділу;supplier_attribute;supplier_value_substring;prom_attribute;prom_value
6371204;;;Тип;Динамічний
6371204;;;Тип;Конденсаторний
6371204;;;Тип;П'єзомікрофон
6371204;;;Тип;Вугільний мікрофон
6371204;;;Тип;Електретний
6371204;;;Спосіб установки/кріплення;Вмонтований
6371204;;;Спосіб установки/кріплення;Головний
6371204;;;Спосіб установки/кріплення;Підлоговий
6371204;;;Спосіб установки/кріплення;Настільний
6371204;;;Спосіб установки/кріплення;Петличний
6371204;;;Спосіб установки/кріплення;Підвісний
6371204;;;Спосіб установки/кріплення;Ручний
6371204;;;Спрямованість;Всеспрямований
6371204;;;Спрямованість;Гіперкардіоїдна
6371204;;;Спрямованість;Двонаправлений
6371204;;;Спрямованість;Кардіоїдна
6371204;;;Спрямованість;Ненаправлений
6371204;;;Спрямованість;Односпрямований
6371204;;;Спрямованість;Суперкардіоїдна
6371204;;;Підключення пристрою;Бездротове
6371204;;;Підключення пристрою;Дротове
6371204;;;Тип роз'єму;3.5 мм
6371204;;;Тип роз'єму;jack 6.3 мм
6371204;;;Тип роз'єму;LEMO
6371204;;;Тип роз'єму;Lightning
6371204;;;Тип роз'єму;micro jack 2.5 мм
6371204;;;Тип роз'єму;mini jack 3.5 мм
6371204;;;Тип роз'єму;TA4F
6371204;;;Тип роз'єму;Type-C
6371204;;;Тип роз'єму;USB
6371204;;;Тип роз'єму;USB Type-C
6371204;;;Тип роз'єму;XLR
6371204;;;Тип роз'єму;XLRF
6371204;;;Тип роз'єму;XLRM
6371204;;;Колір;Сріблястий
6371204;;;Колір;Бежевий
6371204;;;Колір;Білий
6371204;;;Колір;Бірюзовий
6371204;;;Колір;Бордовий
6371204;;;Колір;Блакитний
6371204;;;Колір;Жовтий
6371204;;;Колір;Зелений
6371204;;;Колір;Золотистий
6371204;;;Колір;Коричневий
6371204;;;Колір;Червоний
6371204;;;Колір;Помаранчевий
6371204;;;Колір;Різні кольори
6371204;;;Колір;Рожевий
6371204;;;Колір;Салатний
6371204;;;Колір;Сірий
6371204;;;Колір;Синій
6371204;;;Колір;Теракотовий
6371204;;;Колір;Фіолетовий
6371204;;;Колір;Фуксія
6371204;;;Колір;Хакі
6371204;;;Колір;Чорний
6371204;;;Гарантійний термін (міс);Введіть число. Число повинно бути від 0 до 120
6371204;;;Чутливість (дБ);Введіть число. Число повинно бути від -100 до 0
6371204;;;Частота (Гц);Введіть число. Число повинно бути від 0 до 20000
6371204;;;Опір (Ом);Введіть число. Число повинно бути від 0 до 3000
6371204;;;Споживаний струм (А);Введіть число. Число повинно бути від 100 до 500
6371204;;;Довжина (мм);Введіть число. Число повинно бути від 0 до 500
6371204;;;Ширина (мм);Введіть число. Число повинно бути від 0 до 500
6371204;;;Діаметр (мм);Введіть число. Число повинно бути від 0 до 500
6371204;;;Довжина шнура (м);Введіть число. Число повинно бути від 0 до 100
6371204;;;Вага (г);Введіть число. Число повинно бути від 0 до 1000
