Ідентифікатор_підрозділу;supplier_attribute;supplier_value_substring;prom_attribute;prom_value
302306;;;Управління;Локальне
302306;;;Управління;Локальне/Мережеве
302306;;;Управління;Мережне
302306;;;Інтерфейс;Бездротовий
302306;;;Інтерфейс;Провідний
302306;;;Інтерфейс;Провідний/Бездротовий
302306;;;Протокол зв'язку;Wi-Fi
302306;;;Протокол зв'язку;Закритий протокол
302306;;;Протокол зв'язку;RS-232
302306;;;Протокол зв'язку;RS-422
302306;;;Протокол зв'язку;RS-485
302306;;;Протокол зв'язку;USB 2.0
302306;;;Протокол зв'язку;USB 3.0
302306;;;Протокол зв'язку;ІК-порт
302306;;;Протокол зв'язку;PCI
302306;;;Протокол зв'язку;PCI 2.2
302306;;;Протокол зв'язку;PCI-E x1
302306;;;Тип системи/сигналізації;Адресна
302306;;;Тип системи/сигналізації;Адресно-аналогова
302306;;;Тип системи/сигналізації;Адресно-цифрова
302306;;;Тип системи/сигналізації;Неадресна
302306;;;Протяжність (м);Введіть число. Число повинно бути від 1 до 10000
302306;;;Кількість шлейфів;Введіть число. Число повинно бути від 1 до 1000
302306;;;Кількість ліній;Введіть число. Число повинно бути від 1 до 1000
302306;;;Max довжина лінії (м);Введіть число. Число повинно бути від 0 до 10000
302306;;;Кількість підтримуваних пристроїв;Введіть число. Число повинно бути від 1 до 1000
302306;;;"Кількість зон, що захищаються";Введіть число. Число повинно бути від 1 до 1000
302306;;;Кількість видів видаваних повідомлень;Введіть число. Число повинно бути від 1 до 1000
302306;;;Індикація режиму роботи;Так
302306;;;Індикація режиму роботи;Ні
302306;;;Обсяг журналу реєстрацій (подій);Введіть число. Число повинно бути від 0 до 1000000
302306;;;Можливість розширення;Так
302306;;;Можливість розширення;Ні
302306;;;Можливість для інтеграції;Так
302306;;;Можливість для інтеграції;Ні
302306;;;Робоча частота (МГц);Введіть число. Число повинно бути від 0 до 10000
