category_id;supplier_name;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;;;;;
14191103;Перфорований блок живлення Full Energy BGM-125Pro 12В 5А;Вага брутто;;0.25 кг;Розмір упаковки (Ш х В х Г);;90 x 40 x 60 мм;Входное напряжение;;AC176-245V;Выходное напряжение;В;DC 12В;Сила струму на виході;;5А;Строк гарантії;;12 міс.;Розміри;;78x110x37мм;Тип устройства;;Перфорований блок живлення;Материал;;Металл;Індикація станів;;світлова індикація;;;;;;;;;;;;;;
14191103;Мережевий фільтр Utepo USP201EP;Вага брутто;;0.25 кг;Розмір упаковки (Ш х В х Г);;17 x 310 x 220 мм;Строк гарантії;;12 міс.;Розміри;;108х66х28 мм;Тип устройства;;Мережевий фільтр;Рабочая температура;;0 ℃ ~ 55 ℃;Кількість в ящику;;40 шт;Материал;;Алюминий;;;;;;;;;;;;;;;;;;;;
14191103;Імпульсне джерело живлення Mean Well LPV-20-24 Rohs AC/DC 24В 0.84А;Вага брутто;;0.22 кг;Розмір упаковки (Ш х В х Г);;70 x 30 x 150 мм;Входное напряжение;;90-264 В;Выходное напряжение;В;24 В;Сила струму на виході;;не більше 0.84 А;Строк гарантії;;24 міс.;Мощность;;20 Вт;Особенности;;Кількість фаз 1;;;;;;;;;;;;;;;;;;;;
14191103;Імпульсне джерело живлення LRS-200-24 Rohs;Вага брутто;;0.64 кг;Розмір упаковки (Ш х В х Г);;120 x 35 x 240 мм;Входное напряжение;;264 В;Выходное напряжение;В;24 В;Сила струму на виході;;не більше 8.8 А;Строк гарантії;;24 міс.;Особенности;;Кількість фаз 1;;;;;;;;;;;;;;;;;;;;;;;
14191103;Блок живлення Сommax RF-1A 12В 1А;Вага брутто;;1.02 кг;Розмір упаковки (Ш х В х Г);;105 x 75 x 150 мм;Входное напряжение;;220В AC 50Гц;Выходное напряжение;В;12В;Сила струму на виході;;1A;Строк гарантії;;12 міс.;Тип устройства;;Блок живлення 12В;;;;;;;;;;;;;;;;;;;;;;;
14191103;Блок живлення імпульсний Full Energy BGP-125Pro 12В 5А;Вага брутто;;0.25 кг;Розмір упаковки (Ш х В х Г);;140 x 100 x 50 мм;Входное напряжение;;220В;Выходное напряжение;В;12В;Сила струму на виході;;5А;Строк гарантії;;24 міс.;Розміри;;118x53x33 мм;Тип устройства;;Імпульсний блок живлення;Рабочая температура;;-10 ° C - + 50 ° C;Кількість каналів навантаження;;1;Кількість в ящику;;50 шт;Материал;;Пластик;;;;;;;;
14191103;Блок живлення імпульсний Full Energy BGP-123Pro 12В 3А;Вага брутто;;0.22 кг;Розмір упаковки (Ш х В х Г);;100 x 45 x 140 мм;Входное напряжение;;220В;Выходное напряжение;В;12В;Сила струму на виході;;3А;Строк гарантії;;24 міс.;Розміри;;118x53x33 мм;Тип устройства;;Імпульсний блок живлення;Рабочая температура;;-10 ° C - + 50 ° C;Кількість каналів навантаження;;1;Материал;;Пластик;;;;;;;;;;;
14191103;Блок живлення U-PROX PSU60W 14В 2.8А M0 kit з функцією UPS;Вага брутто;;0.38 кг;Розмір упаковки (Ш х В х Г);;120 x 45 x 175 мм;Входное напряжение;;100-260В;Выходное напряжение;В;13.8 В;Сила струму на виході;;2.8 А;Строк гарантії;;24 міс.;Розміри;;"103,4 х 62 x 37 мм";Тип устройства;;імпульсний блок живлення з функцією UPS;Рабочая температура;;-20°C - +70°C;Особенности;;Блок живлення може працювати тільки зі свинцево-кислотними AGM акумуляторами 4 - 7 А•г;Додаткові характеристики;;Переключення на АКБ 50 мс / 220 В;Підтримка АКБ;;4 - 7 А•г;;;;;;;;
14191103;Блок живлення TIRAS Technologies 1215 12В 1.5А;Вага брутто;;1.04 кг;Розмір упаковки (Ш х В х Г);;235 x 90 x 300 мм;Входное напряжение;;220 В;Выходное напряжение;В;12 В;Сила струму на виході;;1.5 А;Строк гарантії;;12 міс.;Тип устройства;;Блок безперебійного живлення;Особенности;;Кількість каналів навантаження 1;Підтримка АКБ;;7-9 Ач;;;;;;;;;;;;;;;;;
14191103;Блок живлення Ruijie RG-NIS-PA240-54 AC/DC 54В 4.4А 240 Вт на DIN-рейку;Вага брутто;;0.9 кг;Розмір упаковки (Ш х В х Г);;80 x 160 x 170 мм;Входное напряжение;;100–240 В;Выходное напряжение;В;54В;Сила струму на виході;;4.4А;Строк гарантії;;36 міс.;Мощность;;240 Вт;Защита от короткого замыкания;;Підтримує;;;;;;;;;;;;;;;;;;;;
14191103;Блок живлення Ruijie RG-NIS-PA120-54 AC/DC 54В 2.2А 120 Вт на DIN-рейку;Вага брутто;;0.6 кг;Розмір упаковки (Ш х В х Г);;60 x 150 x 170 мм;Входное напряжение;;100–240 В;Выходное напряжение;В;54В;Сила струму на виході;;2.2А;Строк гарантії;;36 міс.;Мощность;;120 Вт;Защита от короткого замыкания;;Підтримує;;;;;;;;;;;;;;;;;;;;
14191103;Блок живлення Mustang Energy PS-1210PB;Вага брутто;;0.5 кг;Розмір упаковки (Ш х В х Г);;100 x 50 x 200 мм;Входное напряжение;;AC 155-265 В;Выходное напряжение;В;12В;Сила струму на виході;;10 А;Розміри;;200 х 100 х 43 мм;Тип устройства;;Імпульсний;Мощность;;60 Вт;Защита от короткого замыкания;;Підтримує;Кількість каналів навантаження;;2;;;;;;;;;;;;;;
14191103;Блок живлення Mustang Energy PS-1205PBS;Вага брутто;;0.2 кг;Розмір упаковки (Ш х В х Г);;80 x 40 x 115 мм;Входное напряжение;;AC 155-265 В;Выходное напряжение;В;12В;Сила струму на виході;;5 А;Розміри;;110 х 77 х 35 мм;Тип устройства;;Імпульсний;Мощность;;60 Вт;Защита от короткого замыкания;;Підтримує;Кількість каналів навантаження;;1;;;;;;;;;;;;;;
