Ідентифікатор_підрозділу;supplier_attribute;supplier_value_substring;prom_attribute;prom_value
301110;;;Тип керованих пристроїв;Камери відеоспостереження
301110;;;Тип керованих пристроїв;Поворотні камери відеоспостереження
301110;;;Тип керованих пристроїв;DVR відеореєстратори
301110;;;Тип керованих пристроїв;NVR відеореєстратори
301110;;;Тип керованих пристроїв;HDVR відеореєстратори
301110;;;Тип керованих пристроїв;Монітори
301110;;;Тип керованих пристроїв;СКУД
301110;;;Тип керованих пристроїв;ОПВ
301110;;;Мах кількість керованих пристроїв;Введіть число. Число повинно бути від 1 до 1000
301110;;;Інтерфейс;Бездротовий
301110;;;Інтерфейс;Провідний
301110;;;Інтерфейс;Провідний/Бездротовий
301110;;;Протокол зв'язку;Wi-Fi
301110;;;Протокол зв'язку;Закритий протокол
301110;;;Протокол зв'язку;RS-232
301110;;;Протокол зв'язку;RS-422
301110;;;Протокол зв'язку;RS-485
301110;;;Протокол зв'язку;USB 2.0
301110;;;Протокол зв'язку;USB 3.0
301110;;;Протокол зв'язку;ІК-порт
301110;;;Протокол управління;Alect Yaan
301110;;;Протокол управління;DSCP
301110;;;Протокол управління;EverFocus
301110;;;Протокол управління;Hacni
301110;;;Протокол управління;Pelco ASCII
301110;;;Протокол управління;Pelco Coaxitron
301110;;;Протокол управління;Pelco-D
301110;;;Протокол управління;Pelco-P
301110;;;Протокол управління;Samsung
301110;;;Протокол управління;SSP
301110;;;Протокол управління;Wonwoo
301110;;;Протокол управління;Lilin
301110;;;Протокол управління;TCP
301110;;;Протокол управління;Panasonic
301110;;;Протокол управління;Yaan
301110;;;Протокол управління;AD2150
301110;;;Протокол управління;Ademco/Honeywell
301110;;;Протокол управління;Bosch
301110;;;Протокол управління;CNB
301110;;;Протокол управління;DONGYANG (TEV-PTZ340/440)
301110;;;Протокол управління;Dynacolor
301110;;;Протокол управління;Elbex
301110;;;Протокол управління;Eneo
301110;;;Протокол управління;Ernitec
301110;;;Протокол управління;GANG SZ
301110;;;Протокол управління;Honeywell/VCL
301110;;;Протокол управління;ITS-GMBH
301110;;;Протокол управління;JVC
301110;;;Протокол управління;Kalatel
301110;;;Протокол управління;KOCOM
301110;;;Протокол управління;Mark&Mercer
301110;;;Протокол управління;MINTRON
301110;;;Протокол управління;Nevis
301110;;;Протокол управління;OKO
301110;;;Протокол управління;Pelco
301110;;;Протокол управління;Pelco P Spectra II
301110;;;Протокол управління;Pelco P Spectra III
301110;;;Протокол управління;Sanyo
301110;;;Протокол управління;Sensormatic
301110;;;Протокол управління;Sony
301110;;;Протокол управління;SunkWang
301110;;;Протокол управління;TC404
301110;;;Протокол управління;Tedd
301110;;;Протокол управління;TED
301110;;;Протокол управління;VCL Microsphere
301110;;;Протокол управління;Videotec
301110;;;Протокол управління;Vortex
301110;;;Протокол управління;YOKO
301110;;;Протокол управління;ТКУ3/ТКУ3-З
301110;;;Протокол управління;360° Vision
301110;;;Max відстань лінії зв'язку (м);Введіть число. Число повинно бути від 1 до 10000
301110;;;Швидкість передачі даних (Біт/сек);Введіть число. Число повинно бути від 1000 до 100000
301110;;;Ключові опції;Управління поворотними камерами без участі оператора
301110;;;Ключові опції;Відеоаналітіка
301110;;;Ключові опції;Централізований моніторинг обладнання
301110;;;Ключові опції;Завдання протоколів управління
301110;;;Ключові опції;Завдання номерів пристроїв
301110;;;Ключові опції;Об'єднання пристроїв у групи
301110;;;Ключові опції;Завдання послідовності виконання операцій
301110;;;Ключові опції;Управління вгору/вниз
301110;;;Ключові опції;Управління вправо/вліво
301110;;;Ключові опції;Завдання маршрутів патрулювання
301110;;;Ключові опції;Завдання швидкості руху пристроїв
301110;;;Ключові опції;Переміщення на позицію за замовчуванням
301110;;;Ключові опції;Круїз-контроль
301110;;;Ключові опції;Авто панорамування
301110;;;Ключові опції;Оптичний зум
301110;;;Ключові опції;Цифровий зум
301110;;;Ключові опції;Управління яскравістю
301110;;;Ключові опції;Автофокус
301110;;;Ключові опції;Сканування
301110;;;Ключові опції;Попередні встановлення
301110;;;Ключові опції;Тур
301110;;;Ключові опції;Шаблон
301110;;;Ключові опції;Спільна робота з клавіатурою ПК
301110;;;Ключові опції;Тривожна сигналізація
