category_id;supplier_name;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики
71902;Wi-Fi роутер Ruijie Reyee RG-EW1200G Pro Wi-Fi 5;Ethernet порти (Uplink);;1 10/100/1000M WAN;Ethernet порти (DownLink);;3 10/100/1000M LAN;Wi-Fi;;"802.11a/b/g/n/ac/ac Wave2, MU-MIMO";Живлення;;DC12В 1.5A;Потужність споживання;;14 Вт;Розміри;;220x140x36 мм;Кількість в ящику;;10 шт;Розмір упаковки (Ш х В х Г);;300 x 90 x 340 мм;Вага брутто;;1.02 кг;Строк гарантії;;36 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71902;Wi-Fi роутер Ruijie Reyee RG-EW300 PRO Wi-Fi 4;Ethernet порти (Uplink);;1 x 10/100 Base-T WAN;Ethernet порти (DownLink);;3 x 10/100 Base-T LAN;Wi-Fi;;802.11a/b/g/n: 2.412 -2.472 ГГц;Антена;;"2.4 GHz: 5 dBi, 2×2, MIMO";Потужність споживання;;12 Вт;Живлення;;DC 12В/1A;Розміри;;329 × 230 × 55 мм;Кількість в ящику;;10 шт;Розмір упаковки (Ш х В х Г);;320 x 60 x 330 мм;Вага брутто;;0.82 кг;Строк гарантії;;36 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71902;Комплект Ezviz CS-H1C (1080P) + Reyee RG-EW300 PRO;Ethernet порти (Uplink);;1 x 10/100 Base-T WAN;Ethernet порти (DownLink);;3 x 10/100 Base-T LAN;Wi-Fi;;802.11a/b/g/n: 2.412 -2.472 ГГц;Антена;;"2.4 GHz: 5 dBi, 2×2, MIMO";Потужність споживання;;12 Вт;Живлення;;DC 12В/1A;Розміри;;329 × 230 × 55 мм;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71902;Двухдиапазонный расширитель Mesh Wi-Fi Ruijie RG-EW1200R;Ethernet порти (DownLink);;1×10/100 Base-T WAN/LAN;Особливості;;"Репітер, маршрутизатор, точка доступу, WISP, WPS";Wi-Fi;;"Wi-Fi 5 (802.11ac) 2.4 GHz: 300 Mbps, 5 GHz: 867 Mbps";Антена;;"2.4/5 GHz, 2×2, MU-MIMO, 2.4/5 GHz: 4 dBi";Розмір упаковки (Ш х В х Г);;135 x 100 x 165 мм;Вага брутто;;0.4 кг;Строк гарантії;;36 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71902;Wi-Fi роутер Ruijie Reyee RG-EW6000GX Wi-Fi 6 2.5G 2xWAN;ROM/RAM;;512 Мб RAM;Ethernet порти (Uplink);;"1x 10/100/1000/2500BASE-T, 1x 10/100/1000BASE-T WAN";Ethernet порти (DownLink);;4x 10/100/1000BASE-T LAN;Wi-Fi;;"Стандарт Wi-Fi 6 (IEEE 802.11ax), сумісний зі стандартами IEEE 802.11a/b/g/n/ac";Антена;;"2.4 GHz：5.85 dBi, 5 GHz：5.66 dBi";Живлення;;DC 12 В 2.5 A;Розміри;;200 x 200 x 43.8 мм;Кількість в ящику;;10 шт;Розмір упаковки (Ш х В х Г);;80 x 300 x 425 мм;Вага брутто;;1.5 кг;Строк гарантії;;36 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71902;Wi-Fi роутер Ruijie Reyee RG-EW1200 Wi-Fi 5;Ethernet порти (Uplink);;1 10/100M WAN;Ethernet порти (DownLink);;3 10/100M LAN;Wi-Fi;;"802.11b/g/n, 802.11a/n/ac: 5.150 - 5.350 ГГц, 5.47 - 5.725 Ггц";Антена;;"2.4GHz, 2×2, MU-MIMO, 5GHz, 2×2, MU-MIMO";Живлення;;DC12В 0.6A;Потужність споживання;;7 Вт;Розміри;;182 x 120 x 32 мм;Кількість в ящику;;10 шт;Розмір упаковки (Ш х В х Г);;182 x 32 x 121 мм;Вага брутто;;0.5 кг;Строк гарантії;;36 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71902;Комплект DS-2CV2Q21G1-IDW(W)/EU 2МП + Reyee RG-EW1200;Ethernet порти (Uplink);;1 10/100M WAN;Ethernet порти (DownLink);;3 10/100M LAN;Wi-Fi;;"802.11b/g/n, 802.11a/n/ac: 5.150 - 5.350 ГГц, 5.47 - 5.725 Ггц";Антена;;"2.4GHz, 2×2, MU-MIMO, 5GHz, 2×2, MU-MIMO";Живлення;;DC12В 0.6A;Потужність споживання;;7 Вт;Розміри;;182 x 120 x 32 мм;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71902;Маршрутизатор MikroTik hEX (RB750Gr3) 5-портовый;Операційна система;;RouterOS;CPU;;880 MHz;ROM/RAM;;256Мб;Локальна пам'ять;;"16МБ, Flash";Ethernet порти (Uplink);;1x RJ45 (1000M);Ethernet порти (DownLink);;4x RJ45 (1000M);Моніторинг напруги;;є;Монітор температури на платі;;є;USB;;є;Живлення від PoE-in;;є;Живлення;;DC 8-30В;Потужність споживання;;5Вт;Розміри;;113х89х28 мм;Кількість в ящику;;60 шт;Розмір упаковки (Ш х В х Г);;95 x 65 x 130 мм;Вага брутто;;0.3 кг;Строк гарантії;;12 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71902;Маршрутизатор MikroTik RB4011iGS+RM 10-портовый;Операційна система;;RouterOS;CPU;;4 ядерний AL21400 1.4 GHz;ROM/RAM;;1Гб / 512Мб;Ethernet порти (Uplink);;1x SFP +;Ethernet порти (DownLink);;10x RJ45 (10/100 / 1000M);Модель чіпа комутатора;;RTL8367SB;Моніторинг напруги;;є;Керування;;є;Монітор температури на платі;;є;Живлення від PoE-in;;"1й порт, passive PoE (18-57В)";Споживана потужність PoE;;33Вт;Живлення;;DC 12-57В;Потужність споживання;;18Вт;Робоча температура;;-30ºC ~ + 70ºC;Вологість;;10% ~ 90% RH;Розміри;;228х120х30 мм;Кількість в ящику;;10 шт;Розмір упаковки (Ш х В х Г);;36 x 266 x 300 мм;Вага брутто;;0.9 кг;Строк гарантії;;12 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71902;Wi-Fi точка доступа MikroTik RB951Ui-2HnD 2.4GHz;Операційна система;;RouterOS L4;CPU;;Atheros AR9344 600MHz;ROM/RAM;;128Мб;Локальна пам'ять;;"128Мб, NAND";Ethernet порти (Uplink);;"4x RJ45 (100M), 1x RJ45 (100M) passive PoE";Wi-Fi;;2.4 Ghz;Антена;;"2 вбудовані, 2.5dBi";USB;;є;Живлення від PoE-in;;є;Живлення;;DC 8-30В;Потужність споживання;;6.5 Вт;Розміри;;113х138х29 мм;Кількість в ящику;;20 шт;Розмір упаковки (Ш х В х Г);;200 x 140 x 55 мм;Вага брутто;;0.42 кг;Строк гарантії;;12 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
