Ідентифікатор_підрозділу;prom_attribute;prom_value
301311;Тип пристрою;ІЧ-зчитувач
301311;Тип пристрою;Комплектуюче для зчитувача
301311;Тип пристрою;Зчитувач акустичний
301311;Тип пристрою;Зчитувач ємнісний
301311;Тип пристрою;Зчитувач магнітний
301311;Тип пристрою;Зчитувач механічний
301311;Тип пристрою;Зчитувач оптичний
301311;Тип пристрою;Зчитувач радіохвильовий
301311;Тип пристрою;Зчитувач термічний
301311;Тип пристрою;Зчитувач електронний безконтактний
301311;Тип пристрою;Зчитувач електронний контактний
301311;Форм-фактор;Портативний (переносний)
301311;Форм-фактор;Стаціонарний
301311;Матеріал;ABS-пластик
301311;Матеріал;Алюмінієвий сплав
301311;Матеріал;Алюміній
301311;Матеріал;Алюміній/пластик
301311;Матеріал;Дюралюміній
301311;Матеріал;Карбон/алюміній
301311;Матеріал;Метал
301311;Матеріал;Металопластик
301311;Матеріал;Нержавіючий метал
301311;Матеріал;Пофарбований метал
301311;Матеріал;Оцинкована сталь
301311;Матеріал;Оцинкований метал
301311;Матеріал;ПВХ
301311;Матеріал;Пластик
301311;Матеріал;Сталь
301311;Матеріал;Сталь покрита порошковою фарбою
301311;Матеріал;Склопластик
301311;Матеріал;Термостійкий пластик
301311;Колір;Бежевий
301311;Колір;Білий
301311;Колір;Бірюзовий
301311;Колір;Бордовий
301311;Колір;Блакитний
301311;Колір;Жовтий
301311;Колір;Зелений
301311;Колір;Золотистий
301311;Колір;Коричневий
301311;Колір;Червоний
301311;Колір;Помаранчевий
301311;Колір;Різні кольори
301311;Колір;Рожевий
301311;Колір;Салатний
301311;Колір;Сірий
301311;Колір;Синій
301311;Колір;Теракотовий
301311;Колір;Фіолетовий
301311;Колір;Фуксія
301311;Колір;Хакі
301311;Колір;Чорний
301311;Застосування;У приміщенні
301311;Застосування;В приміщенні/Уличне
301311;Застосування;Вуличне
301311;Тип встановлення;Прихований монтаж
301311;Тип встановлення;Накладної
301311;Тип встановлення;Врізний
301311;Тип встановлення;Напівврізний
301311;Тип встановлення;Накладної на кронштейн
301311;Режим роботи;Верифікація
301311;Режим роботи;Ідентифікація
301311;Підтримка стандартів;Немає
301311;Підтримка стандартів;ATMEL (T5557)
301311;Підтримка стандартів;EM Marine
301311;Підтримка стандартів;EM Marine (EM4100)
301311;Підтримка стандартів;EM Marine (EM4102)
301311;Підтримка стандартів;EM Marine (EM4100/EM4102)
301311;Підтримка стандартів;EM Marine (Long distance)
301311;Підтримка стандартів;EM Marine + Mifare (EM4100 + S50 1k)
301311;Підтримка стандартів;EPC
301311;Підтримка стандартів;EPC Type I
301311;Підтримка стандартів;HID
301311;Підтримка стандартів;Hitag1
301311;Підтримка стандартів;Hitag2
301311;Підтримка стандартів;I-Code I
301311;Підтримка стандартів;I-Code II
301311;Підтримка стандартів;ISO11784
301311;Підтримка стандартів;ISO14443
301311;Підтримка стандартів;ІЅО14443А
301311;Підтримка стандартів;ISO/IEC 18000
301311;Підтримка стандартів;ISO/IEC 18000-6
301311;Підтримка стандартів;ISO/IEC 18046
301311;Підтримка стандартів;ISO/IEC JTC1 SC31
301311;Підтримка стандартів;Keeloq (HCS-301)
301311;Підтримка стандартів;MicroChip (HCS300)
301311;Підтримка стандартів;Mifare
301311;Підтримка стандартів;Mifare DESFire EV1
301311;Підтримка стандартів;Mifare Classic 1k
301311;Підтримка стандартів;Mifare 4k Classic
301311;Підтримка стандартів;Mifare Plus
301311;Підтримка стандартів;Mifare Standars 1k (S50)
301311;Підтримка стандартів;Mifare Standars 4k (S70)
301311;Підтримка стандартів;Mifare Ultralight (U1X)
301311;Підтримка стандартів;Mifare Ultralight C
301311;Підтримка стандартів;MF1S50
301311;Підтримка стандартів;Ultralight
301311;Підтримка стандартів;Prox
301311;Підтримка стандартів;HID Prox
301311;Підтримка стандартів;iCLASS
301311;Підтримка стандартів;Indala
301311;Підтримка стандартів;NEDAP
301311;Підтримка стандартів;USB HID
301311;Підтримка стандартів;RFID
301311;Підтримка стандартів;TEMIC
301311;Підтримка стандартів;Cotag
301311;Підтримка стандартів;Proximity
301311;Підтримка стандартів;HID Proximity
301311;Підтримка стандартів;USB
301311;Протокол зв'язку;Wi-Fi
301311;Протокол зв'язку;Закритий протокол
301311;Протокол зв'язку;RS-232
301311;Протокол зв'язку;RS-422
301311;Протокол зв'язку;RS-485
301311;Протокол зв'язку;USB 2.0
301311;Протокол зв'язку;USB 3.0
301311;Протокол зв'язку;ІК-порт
301311;Протокол зв'язку;PCI
301311;Протокол зв'язку;PCI 2.2
301311;Протокол зв'язку;PCI-E x1
301311;Протокол зв'язку;FC
301311;Протокол зв'язку;SC
301311;Протокол зв'язку;RJ-45
301311;Протокол зв'язку;RJ-25(12)
301311;Протокол зв'язку;RJ-14
301311;Протокол зв'язку;RJ-11
301311;Протокол зв'язку;USB 2.0 Type A Plug
301311;Протокол зв'язку;USB 2.0 Type A Jack
301311;Протокол зв'язку;USB 2.0 Type B Plug
301311;Протокол зв'язку;USB 2.0 Type B Jack
301311;Протокол зв'язку;USB 2.0 Mini Type B 4 Position Plug
