category_id;supplier_name;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики
301311;Считыватель U-Prox SL mini мультиформат IP65;Метод роботи;;RFID зчитувач;Живлення;;DC 9 - 16В;Тип карт;;"Wiegand, RS, TouchMemory";Частотна характеристика;;"U-Prox ID по радіо 2.4 ГГц, Mifare®, 13.56 МГц, U-Prox ID по NFC, 13.56 МГц, Ідентифікатори 125 кГц";Відстань зчитування;;"NFC, ідентифікатори Mifare і 125 кГц - до 4 см, 2,4 ГГц радіо - регулюється від 10 см до 15 м";Робоча температура;;-40 ° С - + 60 ° С;Ступінь захисту;;IP65;Розміри;;"80 x 45 x 12,5 мм";Вага;;70 г;Розмір упаковки (Ш х В х Г);;70 x 20 x 110 мм;Вага брутто;;0.1 кг;Строк гарантії;;24 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301311;Считыватель U-Prox SE mini мультиформат IP65;Живлення;;"+9. . . +15 В постійного струму, максимальний струм - до 80 мА, Пульсації напруги - до 500 мВп-п";Інтерфейс підключення;;"OSDP, Wiegand 26, 32, 34, 37, 40, 42, 56, 58, 64, 80 біт, Wiegand Auto, RS232 і TouchMemory";Тип карт;;"Mifare®, 13.56 MHz, ISO14443A, UID 4, 7, 10 байт, NFC, 13.56 МГц, ISO 14443/15693,Платіжні картки: PayPass (Contactless), PayWave, RFID, 125 кГц : ASK та FSK, 2.4 ГГц mobile ID, U-Prox Tag, U-Prox Auto Tag";Частотна характеристика;;"NFC, Mifare та RFID 125 кГц - до 5 см, радіо 2,4 ГГц - регульоване 10 см - 15 м";Робоча температура;;-40°С  -  +60°С;Ступінь захисту;;IP65;Розміри;;45 х 80 х 12.5 мм;Монтаж;;"8-жильний кабель, максимальна відстань до панелі - до 150 м для інтерфейсу Wiegand, до 30 м для інтерфейсу TouchMemory, до 1000 м для інтерфейсу OSDP";Розмір упаковки (Ш х В х Г);;50 x 40 x 170 мм;Вага брутто;;0.12 кг;Строк гарантії;;24 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301311;Считыватель Dahua DHI-ASR1200E Mifare IP66;Процесор;;8 Bit;Живлення;;DC 9-15В;Потужність споживання;;100mA;Інтерфейс підключення;;"RS-485, Wiegand 34";Тип карт;;Mifare;Частотна характеристика;;13.56MГц;Відстань зчитування;;3-6 см;Аудіо індикація;;присутній;Індикація станів;;присутній;Робоча температура;;-30 ° С - + 60 ° С;Ступінь захисту;;IP66;Розміри;;96 x 43 x 17 мм;Вага;;100г;Монтаж;;накладний;Кількість в ящику;;20 шт;Розмір упаковки (Ш х В х Г);;16 x 262 x 218 мм;Вага брутто;;0.136 кг;Строк гарантії;;24 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301311;Считыватель Dahua DHI-ASR2101A-ME Mifare/Marine IP66;Метод роботи;;карта + клавіатура;Тип карт;;Mifare/ID;Живлення;;12В 0.5A DC;Потужність споживання;;1.7 Вт;Інтерфейс підключення;;"1 RS-485, 1 Wiegand";Відстань зчитування;;0 - 5 см;Клавіатура;;Підтримує;Антісаботаж;;Підтримує;Робоча температура;;–30°C - +70°C;Ступінь захисту;;IP66;Розміри;;123 × 86 × 15 мм;Вага;;350 г;Монтаж;;накладний;Розмір упаковки (Ш х В х Г);;86 x 15 x 123 мм;Вага брутто;;0.35 кг;Строк гарантії;;24 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301311;Считыватель U-Prox SL steel мультиформат IP65;Метод роботи;;"8-жильний кольоровий кабель, Wiegand - до 150 м, TouchMemory - до 30 m";Живлення;;+9-+15 В (DC);Потужність споживання;;< 80 мА;Інтерфейс підключення;;"Wiegand Auto, 26, 32, 34, 37, 40, 42, 56, 58, 64, 80 бітів, RS-232, TouchMemory";Тип карт;;"Mifare, NFC, PayPass, PayWave, Банківські картки в Apple Wallet, Банківські картки в Google Wallet, RFID, U-PROX ID";Частотна характеристика;;"U-Prox ID по радіо 2.4 ГГц, Mifare®, 13.56 МГц, U-Prox ID по NFC, 13.56 МГц, Ідентифікатори 125 кГц";Відстань зчитування;;"NFC, ідентифікатори Mifare і 125 кГц - до 4 см, 2,4 ГГц радіо - регулюється від 10 см до 12 м";Робоча температура;;-40°С - +60°С;Ступінь захисту;;IP65;Розміри;;106.3 x 74.3 x 14 мм;Вага;;210 г;Розмір упаковки (Ш х В х Г);;80 x 35 x 110 мм;Вага брутто;;0.28 кг;Строк гарантії;;24 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301311;Считыватель Dahua DHI-ASR2100A Mifare IP66;Метод роботи;;карта;Тип карт;;Mifare;Живлення;;12В 0.5A DC;Потужність споживання;;1.7 Вт;Інтерфейс підключення;;"1 RS-485, 1 Wiegand";Відстань зчитування;;0 - 5 см;Антісаботаж;;Підтримує;Робоча температура;;–30°C - +70°C;Ступінь захисту;;IP66;Розміри;;123 × 86 × 15 мм;Вага;;350 г;Монтаж;;накладний;Кількість в ящику;;30 шт;Розмір упаковки (Ш х В х Г);;190 x 165 x 73 мм;Вага брутто;;0.35 кг;Строк гарантії;;24 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301311;Считыватель Hikvision DS-K1102AEM EM/Mifare IP64;Метод роботи;;карта;Живлення;;"12 В DC, 500 mA";Потужність споживання;;2 Вт;Інтерфейс підключення;;"RS-485, Wiegand (W26/ W34)";Тип карт;;EM/Mifare;Частотна характеристика;;125/13.56 мГц;Відстань зчитування;;50 мм;Робоча температура;;-20°C - +65°C;Ступінь захисту;;IP64;Розміри;;121 × 86.5 × 14 мм;Вага;;140 г;Розмір упаковки (Ш х В х Г);;95 x 50 x 150 мм;Вага брутто;;0.32 кг;Строк гарантії;;24 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301311;Считыватель Hikvision DS-K1101M Mifare IP64;Метод роботи;;RFID зчитувач;Процесор;;32-bit;Живлення;;12V DC;Потужність споживання;;≤500mA;Інтерфейс підключення;;RS485 або Wiegand (W26 / W34);Тип карт;;Mifare;Частотна характеристика;;13.56MHz;Відстань зчитування;;≤50мм;Налаштування ID;;Через DIP-перемикачі;Аудіо індикація;;присутній;Індикація станів;;присутній;Антісаботаж;;тампер;Робоча температура;;-20°C - +65°C;Ступінь захисту;;IP 64;Розміри;;132 x 92.3 x 20.5 мм;Вага;;140 г;Монтаж;;накладний;Кількість в ящику;;24 шт;Розмір упаковки (Ш х В х Г);;110 x 50 x 160 мм;Вага брутто;;0.22 кг;Строк гарантії;;24 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301311;Считыватель U-Prox SE slim мультиформат OSDP IP65;Живлення;;"+9. . . +15 В постійного струму, максимальний струм - до 80 мА, Пульсації напруги - до 500 мВп-п";Інтерфейс підключення;;"Wiegand Auto, 26, 32, 34, 37, 40, 42, 56, 58, 64, 80 біт, RS-232, TouchMemory та OSDP (v2.1.7)";Тип карт;;"Mifare®, 13.56 MHz, ISO14443A, UID 4, 7, 10 байт, NFC, 13.56 МГц, ISO 14443/15693,Платіжні картки: PayPass (Contactless), PayWave, RFID, 125 кГц : ASK та FSK, 2.4 ГГц mobile ID, U-Prox Tag, U-Prox Auto Tag";Частотна характеристика;;"NFC, Mifare та RFID 125 кГц - до 5 см, радіо 2,4 ГГц - регульоване 10 см - 15 м";Робоча температура;;-40°С  -  +60°С;Ступінь захисту;;IP65;Розміри;;47.5 x 123.4 x 13.3 мм;Монтаж;;"8-жильний кабель, максимальна відстань до панелі - до 150 м для інтерфейсу Wiegand, до 30 м для інтерфейсу TouchMemory, до 1000 м для інтерфейсу OSDP";Розмір упаковки (Ш х В х Г);;60 x 40 x 140 мм;Вага брутто;;0.14 кг;Строк гарантії;;24 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301311;Считыватель Hikvision DS-K1103M Mifare IP64;Живлення;;"12В DC, ≤ 500 mA";Потужність споживання;;2 Вт;Інтерфейс підключення;;"RS-485, Wiegand";Тип карт;;Mifare 13.56 МГц;Робоча температура;;-20 °C - +65 °C;Розміри;;129 × 76 × 14.7 мм;Розмір упаковки (Ш х В х Г);;95 x 48 x 155 мм;Вага брутто;;0.24 кг;Строк гарантії;;24 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
