Ідентифікатор_підрозділу;prom_attribute;prom_value
3030;Тип системи;Локальна
3030;Тип системи;Локальна/Мережна
3030;Тип системи;Мережева
3030;Інтерфейс;Бездротовий
3030;Інтерфейс;Провідний
3030;Інтерфейс;Провідний/Бездротовий
3030;Протокол зв'язку;Wi-Fi
3030;Протокол зв'язку;Закритий протокол
3030;Протокол зв'язку;RS-232
3030;Протокол зв'язку;RS-422
3030;Протокол зв'язку;RS-485
3030;Протокол зв'язку;USB 2.0
3030;Протокол зв'язку;USB 3.0
3030;Протокол зв'язку;ІК-порт
3030;Протокол зв'язку;PCI
3030;Протокол зв'язку;PCI 2.2
3030;Протокол зв'язку;PCI-E x1
3030;Протокол зв'язку;FC
3030;Протокол зв'язку;SC
3030;Протокол зв'язку;RJ-45
3030;Протокол зв'язку;RJ-25(12)
3030;Протокол зв'язку;RJ-14
3030;Протокол зв'язку;RJ-11
3030;Протокол зв'язку;USB 2.0 Type A Plug
3030;Протокол зв'язку;USB 2.0 Type A Jack
3030;Протокол зв'язку;USB 2.0 Type B Plug
3030;Протокол зв'язку;USB 2.0 Type B Jack
3030;Протокол зв'язку;USB 2.0 Mini Type B 4 Position Plug
3030;Протокол зв'язку;USB 2.0 Mini Type B 4 Position Jack
3030;Протокол зв'язку;USB 2.0 Mini Type B 5 Position Plug
3030;Протокол зв'язку;USB 2.0 Mini Type B 5 Position Jack
3030;Протокол зв'язку;USB 2.0 Micro Type B Plug
3030;Протокол зв'язку;USB 2.0 Micro Type B Jack
3030;Протокол зв'язку;USB 3.0 Type A Plug
3030;Протокол зв'язку;USB 3.0 Type A Jack
3030;Протокол зв'язку;USB 3.0 Type B Plug
3030;Протокол зв'язку;USB 3.0 Type B Jack
3030;Протокол зв'язку;USB 3.0 Micro Type B Plug
3030;Протокол зв'язку;USB 3.0 Micro Type B Jack
3030;Протокол зв'язку;TCP
3030;Протокол зв'язку;IP
3030;Протокол зв'язку;GPRS
3030;Протокол зв'язку;GSM
3030;Протокол зв'язку;RCA
3030;Протокол зв'язку;Dallas Touch Memory
3030;Протокол зв'язку;Wiegand
3030;Протокол зв'язку;Wiegand 26
3030;Підтримка стандартів;Немає
3030;Підтримка стандартів;ATMEL (T5557)
3030;Підтримка стандартів;EM Marine
3030;Підтримка стандартів;EM Marine (EM4100)
3030;Підтримка стандартів;EM Marine (EM4102)
3030;Підтримка стандартів;EM Marine (EM4100/EM4102)
3030;Підтримка стандартів;EM Marine (Long distance)
3030;Підтримка стандартів;EM Marine + Mifare (EM4100 + S50 1k)
3030;Підтримка стандартів;EPC
3030;Підтримка стандартів;EPC Type I
3030;Підтримка стандартів;HID
3030;Підтримка стандартів;Hitag1
3030;Підтримка стандартів;Hitag2
3030;Підтримка стандартів;I-Code I
3030;Підтримка стандартів;I-Code II
3030;Підтримка стандартів;ISO11784
3030;Підтримка стандартів;ISO14443
3030;Підтримка стандартів;ІЅО14443А
3030;Підтримка стандартів;ISO/IEC 18000
3030;Підтримка стандартів;ISO/IEC 18000-6
3030;Підтримка стандартів;ISO/IEC 18047
3030;Підтримка стандартів;ISO/IEC 18046
3030;Підтримка стандартів;ISO/IEC JTC1 SC31
3030;Підтримка стандартів;Keeloq (HCS-301)
3030;Підтримка стандартів;MicroChip (HCS300)
3030;Підтримка стандартів;Mifare
3030;Підтримка стандартів;Mifare DESFire EV1
3030;Підтримка стандартів;Mifare Classic 1k
3030;Підтримка стандартів;Mifare 4k Classic
3030;Підтримка стандартів;Mifare Plus
3030;Підтримка стандартів;Mifare Standars 1k (S50)
3030;Підтримка стандартів;Mifare Standars 4k (S70)
3030;Підтримка стандартів;Mifare Ultralight (U1X)
3030;Підтримка стандартів;Mifare Ultralight C
3030;Підтримка стандартів;MF1S50
3030;Підтримка стандартів;Ultralight
3030;Підтримка стандартів;Prox
3030;Підтримка стандартів;HID Prox
3030;Підтримка стандартів;iCLASS
3030;Підтримка стандартів;Indala
3030;Підтримка стандартів;NEDAP
3030;Підтримка стандартів;USB HID
3030;Підтримка стандартів;RFID
3030;Підтримка стандартів;TEMIC
3030;Підтримка стандартів;Cotag
3030;Підтримка стандартів;Proximity
3030;Підтримка стандартів;HID Proximity
3030;Підтримка стандартів;USB
3030;Об'єм пам'яті (Мб);Введіть число. Число повинно бути від 0 до 1024
3030;Тип підтримуваних зчитувачів;Акустичні
3030;Тип підтримуваних зчитувачів;Магнітні
3030;Тип підтримуваних зчитувачів;Механічні
3030;Тип підтримуваних зчитувачів;ІЧ-зчитувачі (ІЧ-сканери)
3030;Тип підтримуваних зчитувачів;Оптичні
3030;Тип підтримуваних зчитувачів;Радіохвильові
3030;Тип підтримуваних зчитувачів;Ємнісні
3030;Тип підтримуваних зчитувачів;Термічні
3030;Тип підтримуваних зчитувачів;Електронні контактні
3030;Тип підтримуваних зчитувачів;Електронні безконтактні
3030;Тип підтримуваних зчитувачів;Біометричні
3030;"Мах кількість зчитувачів, що підключаються";Введіть число. Число повинно бути від 0 до 1000000
3030;Кількість точок проходу;Введіть число. Число повинно бути від 0 до 100000
3030;Кількість тимчасових зон;Введіть число. Число повинно бути від 0 до 100000
3030;Тип ідентифікатора;Акустичний
3030;Тип ідентифікатора;Візуальний
3030;Тип ідентифікатора;Механічний
3030;Тип ідентифікатора;Магнітний
3030;Тип ідентифікатора;Оптичний
3030;Тип ідентифікатора;Електронний контактний
3030;Тип ідентифікатора;Електронний радіочастотний
3030;Тип ідентифікатора;Відбиток пальця
3030;Тип ідентифікатора;Сітківка ока
3030;Тип ідентифікатора;Геометрія особи
3030;Тип ідентифікатора;Малюнок вен долоні
3030;Тип ідентифікатора;Малюнок вен пальця
3030;Кількість шаблонів карт/ключів;Введіть число. Число повинно бути від 0 до 100000
3030;Кількість шаблонів відбитка пальця;Введіть число. Число повинно бути від 0 до 100000
3030;Кількість шаблонів особи;Введіть число. Число повинно бути від 0 до 100000
3030;Кількість шаблонів малюнка вен долоні;Введіть число. Число повинно бути від 0 до 100000
3030;Кількість шаблонів малюнка вен пальця;Введіть число. Число повинно бути від 0 до 100000
3030;Шифрування даних;Немає
3030;Шифрування даних;A3
3030;Шифрування даних;A5
3030;Шифрування даних;A8
3030;Шифрування даних;ABC
3030;Шифрування даних;AES
3030;Шифрування даних;AES (Rijndael)
3030;Шифрування даних;Akelarre
3030;Шифрування даних;Anubis
3030;Шифрування даних;ARIA
3030;Шифрування даних;BaseKing
3030;Шифрування даних;BassOmatic
3030;Шифрування даних;Blowfish
3030;Шифрування даних;Camellia
3030;Шифрування даних;CAST-128
3030;Шифрування даних;CAST-256
3030;Шифрування даних;CIPHERUNICORN-A
3030;Шифрування даних;CIPHERUNICORN-E
3030;Шифрування даних;CLEFIA
3030;Шифрування даних;Cobra
3030;Шифрування даних;CRYPTON
3030;Шифрування даних;DFC
3030;Шифрування даних;DEAL
3030;Шифрування даних;DES
3030;Шифрування даних;3DES
3030;Шифрування даних;DESX
3030;Шифрування даних;Decim
3030;Шифрування даних;Diamond2
3030;Шифрування даних;EnRUPT
3030;Шифрування даних;FEAL
3030;Шифрування даних;FNAm2
3030;Шифрування даних;FROG
3030;Шифрування даних;Grand Cru
3030;Шифрування даних;Hierocrypt-L1
3030;Шифрування даних;Hierocrypt-3
3030;Шифрування даних;HPC
3030;Шифрування даних;KHAZAD
3030;Шифрування даних;IDEA
3030;Шифрування даних;KASUMI
