category_id;supplier_name;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики
3030;Терминал Dahua DHI-ASI1201E-V1 автономный Mifare;Кількість дверей;;1 двері;Тип карт;;Mifare;Інтерфейс зв'язку;;RJ45(10/100M);Інтерфейс підключення;;Wiegand/RS485;Пам'ять;;"користувачі 30000, паролі 30 000";Пам'ять карт і подій;;"картки: 30 000, події: 60 000";Підключення зчитувачів;;Підтримує;Антісаботаж;;Підтримує;Інтерфейси введення;;"Датчик двері х 1, кнопка виходу х 1";Інтерфейси виходу;;Реле х 1 (Дверний замок);Живлення;;12В DC;Потужність споживання;;1-2А;Ступінь захисту;;IP66;Робоча температура;;-30 - +60°C;Розміри;;142 × 62 × 23 мм;Розмір упаковки (Ш х В х Г);;130 x 55 x 195 мм;Вага брутто;;0.28 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3030;Терминал Dahua DHI-ASI1201E автономный Mifare;Процесор;;32-бітний;ROM/RAM;;16M;Кількість дверей;;1 двері;Інтерфейс зв'язку;;RJ45 (10 / 100M);Інтерфейс підключення;;Wiegand / RS485;Пам'ять;;Карти: 30.000. Події: 150.000;Індикація станів;;присутній;Формат вбудованого зчитувача;;Mifare;Підключення зчитувачів;;підтримує;Інтерфейси введення;;"Датчик двері х 1, кнопка виходу х 1";Інтерфейси виходу;;Реле х 1 (Дверний замок);Живлення;;9-15DC;Потужність споживання;;200mA;Робоча температура;;-30 ~ + 60 ° C;Розміри;;62 x 23 x 142мм;Кількість в ящику;;30 шт;Розмір упаковки (Ш х В х Г);;195 x 130 x 55 мм;Вага брутто;;0.262 кг;Строк гарантії;;24 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3030;Терминал распознавания лица Hikvision DS-K1T343MWX;Метод роботи;;Розблокування по розпізнаванню обличчя і по картці доступу;Операційна система;;Linux;Камера;;2х 2МП;Пам'ять карт і подій;;3 000;Пам'ять облич;;1 500;Тип карт;;Mifare;Інтерфейс зв'язку;;"Ethernet 10 M/100 M, RS-485, Wiegand";Wi-Fi;;Підтримує;Інтерфейси введення;;кнопка виходу;Інтерфейси виходу;;"замок, дверний контакт";Дисплей;;4.3"" 480 × 272;Живлення;;12 В DC/1 A;Робоча температура;;-10 °C - +40 °C;Розміри;;118.4 × 118.4 × 21 мм;Розмір упаковки (Ш х В х Г);;160 x 125 x 160 мм;Вага брутто;;0.66 кг;Строк гарантії;;24 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3030;Терминал распознавания лица Dahua DHI-ASI3203E;Дисплей;;2.4"" 320 х 240;Метод роботи;;"карта, пароль, обличчя, віддалено та комбінація";Камера;;2МП CMOS HD Dual;Пам'ять карт і подій;;3000 карток/100 000 подій;Пам'ять облич;;1 000;Затримка читання облич;;0.2 с;Тип карт;;Mifare;Інтерфейс зв'язку;;1 × RJ-45 10/100 M;Інтерфейси введення;;"кнопка виходу, дверний контакт, RS-485, Wiegand, дзвінок";Інтерфейси виходу;;замок;USB;;USB 2.0;Живлення;;"12В DC, 2 A";Робоча температура;;–10 °C - +45 °C;Ступінь захисту;;для приміщення;Розміри;;184.9 × 76.2 × 20.5 мм;Монтаж;;накладний на стіну;Розмір упаковки (Ш х В х Г);;120 x 60 x 220 мм;Вага брутто;;0.36 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3030;Терминал распознавания лиц Hikvision DS-K1T344MX-E1;Метод роботи;;"Розблокування по обличчю, карті, PIN-коду та QR-коду";Операційна система;;Linux;Камера;;2х 2МП;Пам'ять карт і подій;;3 000 карток/150 000 подій;Пам'ять облич;;3 000;Тип карт;;Mifare;Інтерфейс зв'язку;;"Ethernet 10 M/100 M, RS-485, Wiegand";Інтерфейси введення;;"кнопка виходу, дверний контакт, 2х тривога";Інтерфейси виходу;;"замок, 1х тривога";Дисплей;;4.5"" 480 × 854;Живлення;;"12 VDC, 1 A, PoE";Вихід живлення;;підтримує живлення пристрою та дверного замку;Ступінь захисту;;IP65;Робоча температура;;-30 °C - +60 °C;Вага;;600 г;Розміри;;165.2 × 75.7 × 25 мм;Кількість в ящику;;16 шт;Розмір упаковки (Ш х В х Г);;130 x 70 x 300 мм;Вага брутто;;0.75 кг;Строк гарантії;;24 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3030;Терминал Hikvision DS-K1T805MBFWX;Метод роботи;;"картка, відбиток пальця, PIN-код і bluetooth";Пам'ять карт і подій;;10 000/ 100 000;Пам'ять відбитків пальця;;3 000;Тип карт;;Mifare;Інтерфейс зв'язку;;10/100 Мбіт/с;Wi-Fi;;"2.4 GHz, IEEE802.11b, 802.11g, 802.11n, 802.11d, 802.11e, 802.11h, 802.11i";Інтерфейси введення;;"2х тривога, RS-485, Wiegand, кнопка виходу, дверний контакт";Живлення;;12 В DC/1 A;Ступінь захисту;;"IP65, IK08";Робоча температура;;-30 - +60 °C;Розміри;;57.7 × 177 × 34.6 мм;Розмір упаковки (Ш х В х Г);;100 x 80 x 300 мм;Вага брутто;;0.72 кг;Строк гарантії;;24 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3030;Терминал Hikvision DS-K1T805MX Mifare;Пам'ять карт і подій;;10 000/ 100 000;Тип карт;;Mifare;Інтерфейс зв'язку;;Ethernet 10/100M;Інтерфейси введення;;"2х тривога, RS-485, Wiegand, кнопка виходу,  дверний контакт";Інтерфейси виходу;;"тривога, замок";Аудіо;;зумер;Живлення;;12 В DC/1 A;Робоча температура;;-30 °C - +60 °C;Антісаботаж;;Підтримує;Розміри;;57.7 × 177 × 34.6 мм;Розмір упаковки (Ш х В х Г);;95 x 75 x 295 мм;Вага брутто;;0.68 кг;Строк гарантії;;24 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3030;Терминал распознавания лица Hikvision DS-K1T642M;Камера;;2Мп х 2;Дисплей;;4.3 IPS сенсорний;Пам'ять карт і подій;;10 000/ 150 000;Пам'ять облич;;6 000;Затримка читання облич;;< 0.2 с;Тип карт;;Mifare;Режими роботи;;"Розпізнавання осіб, доступ по карті";Відстань зчитування;;0.3 - 3 м;Інтерфейс зв'язку;;1х RJ45;Інтерфейси виходу;;"1x замок, 1х дверний датчик, 1х кнопка виходу, 1х тривожний";Живлення;;DC 12В/2А;Робоча температура;;-10 - + 50 °C;Розміри;;118 × 118 × 20 мм;Розмір упаковки (Ш х В х Г);;165 x 95 x 270 мм;Вага брутто;;0.5 кг;Строк гарантії;;24 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3030;Терминал распознавания лица Dahua DHI-ASI3213A-W;Метод роботи;;"Розблокування паролем, дистанційне розблокування, розблокування картою, обличчям і комбінацією";Камера;;2-MP CMOS;Пам'ять карт і подій;;5 000/300 000;Пам'ять облич;;3 000;Підключення зовнішнього зчитувача;;"1 × зчитувач карт RS–485, 1 × зчитування карт Wiegand";Інтерфейс зв'язку;;1 × RJ-45 10/100;Wi-Fi;;IEEE802.11b/802.11g/802.11n;Інтерфейси виходу;;"кнопка виходу, замок, двері";USB;;1 × USB 2.0;Дисплей;;4.3"" LCD 480 × 272;Живлення;;"12 В DC, 1.5 A";Робоча температура;;–10 °C - +40 °;Антісаботаж;;Підтримує;Розміри;;115 × 118 × 27 мм;Вага;;250 г;Монтаж;;накладний;Розмір упаковки (Ш х В х Г);;180 x 130 x 190 мм;Вага брутто;;0.52 кг;Строк гарантії;;24 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3030;Терминал Dahua DHI-ASI2201H-W автономный;Інтерфейс зв'язку;;RJ-45 100 Мбіт/с;Пам'ять;;"30 000 користувачів/карток/паролів, 150 000 подій";Вбудований зчитувач;;"IC|ID карти, NFC";Підключення зчитувачів;;"1 × RS-485, 1 × Wiegand";Інтерфейси введення;;"вхід тривоги, дверний дзвінок, кнопка виходу, статус двері, замок";Інтерфейси виходу;;тривожний вихід;Клас захисту;;IP65;Живлення;;"12 В DC, 1 A";Потужність споживання;;12 Вт;Робоча температура;;–30 °C - +65 °C;Розміри;;183 × 80 × 25.5 мм;Розмір упаковки (Ш х В х Г);;145 x 65 x 250 мм;Вага брутто;;0.5 кг;Строк гарантії;;24 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
