Ідентифікатор_підрозділу;supplier_attribute;supplier_value_substring;prom_attribute;prom_value
300402;;;Тип;Проблисковий маячок
300402;;;Тип;Світлова панель
300402;;;Колір ковпака;Жовтий
300402;;;Колір ковпака;Червоний
300402;;;Колір ковпака;Помаранчевий
300402;;;Колір ковпака;Прозрачный
300402;;;Колір ковпака;Синій
300402;;;Колір ковпака;Синій/червоний
300402;;;Джерело світла;Галогенна лампа
300402;;;Джерело світла;Діоди
300402;;;Колір діодів;Білий
300402;;;Колір діодів;Жовтий
300402;;;Колір діодів;Червоний
300402;;;Колір діодів;Синій
300402;;;Кількість діодів (шт.);Введіть число. Число повинно бути від 0 до 100
300402;;;Кріплення;Магнітне
300402;;;Кріплення;Стаціонарне
300402;;;Живлення;PoE
300402;;;Живлення;USB
300402;;;Живлення;Акумулятор
300402;;;Живлення;Батарейки акумуляторного типу
300402;;;Живлення;Батарейки одноразові
300402;;;Живлення;Мережа 12В
300402;;;Живлення;Мережа 24В
300402;;;Живлення;Сонячні батареї
300402;;;Напруга (В);Введіть число. Число повинно бути від 0 до 380
