category_id;supplier_name;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;;
14191106;Блок бесперебойного питания Full Energy BBGP-125 12В 5А;Вага брутто;;0.8 кг;Розмір упаковки (Ш х В х Г);;185 x 105 x 230 мм;Выходное напряжение;В;DC 12-14В;Строк гарантії;;12 міс.;Входное напряжение;;220В АС;Підтримка АКБ;;"1,2 Ач, 2.2 Ач, 4 Ач, 7 Ач";Сила струму на виході;;5 А;Тип устройства;;Блок безперебійного живлення;Розміри;;210 х 155 х 90 мм;Рабочая температура;;-20 ~ +45;Додаткові характеристики;;"захист від перенавантаження, розрядки";Кількість в ящику;;10 шт;Защита от короткого замыкания;;Підтримує;;
14191106;Блок бесперебойного питания Full Energy BBGP-1210 12В 10А;Вага брутто;;1.84 кг;Розмір упаковки (Ш х В х Г);;320 x 115 x 330 мм;Выходное напряжение;В;DC 12-14В;Строк гарантії;;12 міс.;Входное напряжение;;220В АС;Підтримка АКБ;;"12 Аг, 18 Аг";Сила струму на виході;;10 А;Тип устройства;;Блок безперебійного живлення;Розміри;;300 х 380 х 110 мм;Рабочая температура;;-20 ~ +45;Додаткові характеристики;;"захист від перенавантаження, розрядки";Кількість в ящику;;5 шт;Защита от короткого замыкания;;Підтримує;;
14191106;Блок бесперебойного питания Full Energy BBGP-123 12В 3А;Вага брутто;;0.68 кг;Розмір упаковки (Ш х В х Г);;230 x 190 x 100 мм;Выходное напряжение;В;DC 12-14В;Строк гарантії;;12 міс.;Входное напряжение;;220В АС;Підтримка АКБ;;"1,2 Аг, 2.2 Аг, 4 Аг, 7 Аг";Сила струму на виході;;3 А;Тип устройства;;Блок безперебійного живлення;Розміри;;210 х 155 х 90 мм;Рабочая температура;;-20 ~ +45;Додаткові характеристики;;"захист від перенавантаження, розрядки";Кількість в ящику;;10 шт;Защита от короткого замыкания;;Підтримує;;
14191106;Блок бесперебойного питания Full Energy BBG-1210/8 12В 10А;Вага брутто;;1.78 кг;Розмір упаковки (Ш х В х Г);;200 x 95 x 310 мм;Выходное напряжение;В;12В;Строк гарантії;;12 міс.;Входное напряжение;;220В;Підтримка АКБ;;"Можлива установка акумулятора ємністю 1,2Аг, 2.2Аг, 4Aг або 7Aч, 18 Аг";Сила струму на виході;;10А;Тип устройства;;Блок безперервного живлення;Кількість каналів навантаження;;8;Кількість в ящику;;10 шт;Індикація станів;;Індикація режимів роботи;Материал;;Металл;;;;;
14191106;Бесперебойный блок питания Faraday Electronics UPS ASCH PL 14В 3А;Вага брутто;;240;Розмір упаковки (Ш х В х Г);;80 x 45 x 145 мм;Выходное напряжение;В;"(від мережі): 14.1В, (від АКБ): 10.5-13.8В";Строк гарантії;;60 міс.;Выходная мощность;;55 Вт;"Номинальный ток, А";;3;Тип аккумулятора;;9-12Аг;;;;;;;;;;;;;;;;;;;;
14191106;Блок бесперебойного питания Full Energy BBGP-1210 PoE 12В 10А;Вага брутто;;1.94 кг;Розмір упаковки (Ш х В х Г);;320 x 115 x 320 мм;Выходное напряжение;В;12В;Строк гарантії;;12 міс.;Підтримка АКБ;;18 А·год;Сила струму на виході;;10А;Кількість каналів навантаження;;2;Кількість в ящику;;5 шт;;;;;;;;;;;;;;;;;
14191106;Блок бесперебойного питания Full Energy BBG-125 12В 5А;Вага брутто;;1.4 кг;Розмір упаковки (Ш х В х Г);;245 x 200 x 90 мм;Выходное напряжение;В;+12 - 14.2В/5A;Строк гарантії;;12 міс.;Входное напряжение;;~100 - 240В;Підтримка АКБ;;"1.2 Аг, 2.2 Аг, 4 Аг, 7 Аг";Тип устройства;;Безперебійний блок живлення імпульсний одноканальний;Розміри;;225 х 195 х 80 мм;Кількість в ящику;;10 шт;;;;;;;;;;;;;;
14191106;Блок бесперебойного питания Full Energy BBG-125-L 12В 5А;Вага брутто;;1.98 кг;Розмір упаковки (Ш х В х Г);;200 x 90 x 315 мм;Выходное напряжение;В;DC 12-14В;Строк гарантії;;12 міс.;Входное напряжение;;AC 100-240В;Підтримка АКБ;;"12В, 18Аг";Сила струму на виході;;5А;Тип устройства;;Блок безперебійного живлення;Розміри;;300х195х80 мм;Рабочая температура;;-20°C – +45°C;Кількість в ящику;;10 шт;;;;;;;;
14191106;Блок бесперебойного питания Full Energy BBG-124/1 12В 4А;Вага брутто;;0.7 кг;Розмір упаковки (Ш х В х Г);;160 x 70 x 200 мм;Выходное напряжение;В;12В;Строк гарантії;;12 міс.;Входное напряжение;;220В;Підтримка АКБ;;"Можлива установка акумулятора ємністю 1,2Ач, 2.2Ач, 4Aч або 7Aч";Сила струму на виході;;4А;Тип устройства;;Блок безперервного живлення;Кількість каналів навантаження;;1;Індикація станів;;Індикація режимів роботи;Материал;;Металл;;;;;;;;
14191106;Блок бесперебойного питания Full Energy BBG-124/4 12В 4А;Вага брутто;;700;Розмір упаковки (Ш х В х Г);;160 x 70 x 200 мм;Выходное напряжение;В;12В;Строк гарантії;;12 міс.;Входное напряжение;;220В;Підтримка АКБ;;"Можлива установка акумулятора ємністю 1,2Ач, 2.2Ач, 4Aч або 7Aч";Сила струму на виході;;4А;Тип устройства;;Блок безперервного живлення;Кількість каналів навантаження;;4;Індикація станів;;Індикація режимів роботи;Материал;;Металл;;;;;;;;
14191106;ИБП под акб 12В/7A EuroPower EP-UPS-1205(P) 13.8В/0.65А;Вага брутто;;1 кг;Розмір упаковки (Ш х В х Г);;200 x 90 x 250 мм;Выходное напряжение;В;13.8 В;Выходной ток;;5 А;Аккумулятор;;12В GEL/AGM до 7А•г;;;;;;;;;;;;;;;;;;;;;;;;;;
14191106;Блок бесперебойного питания Full Energy BBGP-125DIN 12В 5А;Вага брутто;;0.8 кг;Розмір упаковки (Ш х В х Г);;185 x 105 x 230 мм;Выходное напряжение;В;DC 12-14 В/5A;Строк гарантії;;12 міс.;Кількість в ящику;;10 шт;Батареї;;АКБ ємністю: 7-9 А•г;Діапазон вхідної напруги;;AC 100-240В;Особенности;;"Захист від: перенапруження, КЗ, перевантаження по струму, заряду / розряду акумулятора";;;;;;;;;;;;;;;;;
14191106;Блок бесперебойного питания Full Energy BBGW-123 12В 3А;Вага брутто;;2 кг;Розмір упаковки (Ш х В х Г);;195 x 265 x 75 мм;Выходное напряжение;В;DC12В;Строк гарантії;;12 міс.;Входное напряжение;;AC190-240В;Підтримка АКБ;;7 Аг;Сила струму на виході;;3A;Тип устройства;;Блок безперебійного живлення;Розміри;;265 х 195 х 75 мм;Кількість каналів навантаження;;1;Рабочая температура;;-20 ~ +60;Класс защиты;;IP66;;;;;
14191106;Бесперебойный блок питания под аккумулятор Faraday Electronics UPS ASCH PL 14В 2А 7А•ч;Вага брутто;;140;Розмір упаковки (Ш х В х Г);;70 x 40 x 130 мм;Выходное напряжение;В;14.1 В;Строк гарантії;;60 міс.;Входное напряжение;;"AC 86-264, DC 110-380 В";Тип устройства;;Імпульсний;Номінал струму;;2А;Размер;;101 x 59 x 29 мм;;;;;;;;;;;;;;;;;
14191106;Бесперебойный блок питания под аккумулятор Faraday Electronics ASCH ALU 14В 3А 9-12А•ч;Вага брутто;;240;Розмір упаковки (Ш х В х Г);;80 x 50 x 130 мм;Выходное напряжение;В;14.1 В;Строк гарантії;;60 міс.;Входное напряжение;;"AC 86-264, DC 110-380 В";Тип устройства;;Імпульсний;Номінал струму;;3А;Особенности;;Можливе кріплення на DIN рейку;Размер;;113 х 68 х 36 мм;;;;;;;;;;;;;;
