Посилання_підрозділу;Ідентифікатор_підрозділу;supplier_attribute;supplier_value_substring;prom_attribute;prom_value
https://prom.ua/Videoregistratory;301101;;;Тип відеореєстратора;AHD
https://prom.ua/Videoregistratory;301101;;;Тип відеореєстратора;CVBS
https://prom.ua/Videoregistratory;301101;;;Тип відеореєстратора;DVR
https://prom.ua/Videoregistratory;301101;;;Тип відеореєстратора;HD-CVI
https://prom.ua/Videoregistratory;301101;;;Тип відеореєстратора;HD-SDI
https://prom.ua/Videoregistratory;301101;;;Тип відеореєстратора;HD-TVI
https://prom.ua/Videoregistratory;301101;;;Тип відеореєстратора;HDVR
https://prom.ua/Videoregistratory;301101;;;Тип відеореєстратора;IP
https://prom.ua/Videoregistratory;301101;;;Тип відеореєстратора;NVR
https://prom.ua/Videoregistratory;301101;;;Тип відеореєстратора;PC-based
https://prom.ua/Videoregistratory;301101;;;Тип відеореєстратора;Standalone
https://prom.ua/Videoregistratory;301101;;;Кількість каналів;
https://prom.ua/Videoregistratory;301101;;;Кількість каналів;1
https://prom.ua/Videoregistratory;301101;;;Кількість каналів;10
https://prom.ua/Videoregistratory;301101;;;Кількість каналів;12
https://prom.ua/Videoregistratory;301101;;;Кількість каналів;128
https://prom.ua/Videoregistratory;301101;;;Кількість каналів;14
https://prom.ua/Videoregistratory;301101;;;Кількість каналів;16
https://prom.ua/Videoregistratory;301101;;;Кількість каналів;2
https://prom.ua/Videoregistratory;301101;;;Кількість каналів;24
https://prom.ua/Videoregistratory;301101;;;Кількість каналів;25
https://prom.ua/Videoregistratory;301101;;;Кількість каналів;32
https://prom.ua/Videoregistratory;301101;;;Кількість каналів;36
https://prom.ua/Videoregistratory;301101;;;Кількість каналів;4
https://prom.ua/Videoregistratory;301101;;;Кількість каналів;6
https://prom.ua/Videoregistratory;301101;;;Кількість каналів;64
https://prom.ua/Videoregistratory;301101;;;Кількість каналів;8
https://prom.ua/Videoregistratory;301101;;;Кількість каналів;9
https://prom.ua/Videoregistratory;301101;;;Тип корпусу;Вертикальний
https://prom.ua/Videoregistratory;301101;;;Тип корпусу;Горизонтальний
https://prom.ua/Videoregistratory;301101;;;Операційна система;Linux
https://prom.ua/Videoregistratory;301101;;;Операційна система;Mac OS X
https://prom.ua/Videoregistratory;301101;;;Операційна система;Windows
https://prom.ua/Videoregistratory;301101;;;Операційна система;Windows 7
https://prom.ua/Videoregistratory;301101;;;Операційна система;Windows 8
https://prom.ua/Videoregistratory;301101;;;Операційна система;Windows CE
https://prom.ua/Videoregistratory;301101;;;Операційна система;Windows Embedded
https://prom.ua/Videoregistratory;301101;;;Операційна система;Windows RT
https://prom.ua/Videoregistratory;301101;;;Функціональність;Duplex
https://prom.ua/Videoregistratory;301101;;;Функціональність;Hexaplex
https://prom.ua/Videoregistratory;301101;;;Функціональність;Multiplex
https://prom.ua/Videoregistratory;301101;;;Функціональність;Pentaplex
https://prom.ua/Videoregistratory;301101;;;Функціональність;Simplex
https://prom.ua/Videoregistratory;301101;;;Функціональність;Triplex
https://prom.ua/Videoregistratory;301101;;;Формат стиснення;H. 264
https://prom.ua/Videoregistratory;301101;;;Формат стиснення;MJPEG
https://prom.ua/Videoregistratory;301101;;;Формат стиснення;MPEG-4
https://prom.ua/Videoregistratory;301101;;;Формат стиснення;H. 265
https://prom.ua/Videoregistratory;301101;;;Формат стиснення;H. 264+
https://prom.ua/Videoregistratory;301101;;;Формат стиснення;H. 265+
https://prom.ua/Videoregistratory;301101;;;Дозвіл запису;1280x1024
https://prom.ua/Videoregistratory;301101;;;Дозвіл запису;1280x1440
https://prom.ua/Videoregistratory;301101;;;Дозвіл запису;1280х720
https://prom.ua/Videoregistratory;301101;;;Дозвіл запису;1280х960
https://prom.ua/Videoregistratory;301101;;;Дозвіл запису;1296х1944
https://prom.ua/Videoregistratory;301101;;;Дозвіл запису;1600x1200
https://prom.ua/Videoregistratory;301101;;;Дозвіл запису;176х288
