category_id;supplier_name;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики
301101;Видеорегистратор VIA SECURITY VS-N1104 PoE;IP камери;;4;Вхідний потік;;60\40 Мб/сек;Інтерфейси відео виходу;;1 HDMI;Роздільна здатність відеовиходу;;HDMI: 1920×1080;Відео компресія;;"S+265, H.265, S+264, H.264";Підтримка роздільної здатності;;5 Мп/4 Мп/3 Мп/1080P/UXGA/720P/VGA/4CIF/DCIF/2CIF/CIF/QCIF;Частота кадрів (головний потік);;"5 Мп (30 кадрів/с) × 1, 4 Мп (30 кадрів/с) × 1, 3 Мп (30 кадрів/с) × 1, 1080P (30 кадрів/с) × 2, 720P (30 кадрів/с) × 4, 4CIF (30 кадрів/с) × 4";Ethernet;;1х RJ-45 10/100 Мб/сек;HDD режими;;1 SATA до 6 Тб;USB;;2 х USB 2.0;Живлення;;DC48В 1A;PoE порти;;4 × IEEE 802.3 af/at (бюджет 28 Вт);Потужність споживання;;10 Вт;Робоча температура;;-10°C - +55°C;Сумісність;;"CGI, SDK";Розміри;;200 х 200 х 43 мм;Вага;;400 г;Розмір упаковки (Ш х В х Г);;230 x 70 x 315 мм;Вага брутто;;0.82 кг;Строк гарантії;;12 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;
301101;Видеорегистратор Dahua DH-XVR5104C-I3 4-канальный 5M-N/1080p 1U 1HDD WizSense;Аналітика реєстратора;;"захист периметра 1 канал (аналог), розпізнавання обличчя 1 канал (аналог), SMD plus 4 канали (аналог), IoT & POS";HDCVI камери;;"5MP, 4MP, 1080p 25 к/с, 720p 50 к/с, 720p 25 к/с";AHD камери;;"5MP, 4MP, 1080p  25 к/с, 720p 25 к/с";TVI камери;;"5MP, 4MP, 1080p 25 к/с, 720p 25 к/с";Аналогові входи;;4 BNC;IP камери;;4+2 канала до 6 МП;Вхідний потік;;32 Мбіт/с;Інтерфейси відео виходу;;"1 HDMI, 1 VGA";Роздільна здатність відеовиходу;;"1920 × 1080, 1280 × 1024, 1280 × 720";Відео компресія;;AI Coding/H.265+/H.265/H.264+/H.264;Частота кадрів (головний потік);;"5M-N (1 –10 к/с), 4M-N/1080p (1 –15 к/с), 1080N/720p/960H/ D1/CIF (1 –25 к/с)";Частота кадрів (доп. потік);;D1/CIF (1 –15 к/с);Ethernet;;1 RJ-45 (100М);Сумісність;;"ONVIF 16.12, CGI Conformant";Макс. кількість користувачів;;128;Внутрішні HDD;;1 SATA до 6 Тб;USB;;2 x USB 2.0;Живлення;;DC 12В/1.5A;Потужність споживання;;4 Вт;Робоча температура;;10°C -+45°C;Розміри;;205 × 211 × 46 мм;Вага;;490 г;Кількість в ящику;;10 шт;Розмір упаковки (Ш х В х Г);;365 x 95 x 260 мм;Вага брутто;;1.02 кг;Строк гарантії;;24 міс.;;;;;;;;;
301101;Видеорегистратор Dahua DH-XVR5104C-4KL-I3 4-канальный WizSense;Аналогові входи;;4 BNC;IP камери;;"4+4 канала, кожний до 8 Мп";Вхідний потік;;64 Мбіт/с;HDCVI камери;;"4K, 6MP, 5MP, 4MP, 1080p 25 к/с, 720p  50 к/с, 720p  25 к/с";AHD камери;;"4K, 5MP, 4MP, 3MP, 1080p 25 к/с, 720p 25 к/с";TVI камери;;"4K, 5MP, 4MP, 3MP, 1080p 25к/с, 720p 25к/с";Аналітика реєстратора;;"захист периметра 1 канал (аналог), розпізнавання обличчя 1 канал (аналог), SMD plus 4 канали (аналог), IoT & POS";Інтерфейси відео виходу;;"1 HDMI, 1 VGA";Роздільна здатність відеовиходу;;"HDMI: 3840 × 2160, 1920 × 1080, 1280 × 1024, 1280 × 720 VGA: 1920 × 1080, 1280 × 1024, 1280 × 720";Відео компресія;;AI Coding/H.265+/H.265/H.264+/H.264;Частота кадрів (головний потік);;"4K (1-7 к/с), 6Мп (1-10 к/с), 5 Мп (1-12 к/с), 4Мп / 3Мп (1-15 к/с)";Частота кадрів (доп. потік);;"960H (1 –15 к/с), D1/CIF (25 к/с)";Ethernet;;1 RJ-45 (100М);Сумісність;;"ONVIF 16.12, CGI Conformant";Макс. кількість користувачів;;128;Внутрішні HDD;;1 SATA порт до 10 Тб;USB;;2 x USB 2.0;RS485;;1;Живлення;;DC 12В/2A;Потужність споживання;;7 Вт;Робоча температура;;-10°C - +55°C;Розміри;;205 × 211 × 46 мм;Вага;;530 г;Кількість в ящику;;10 шт;Розмір упаковки (Ш х В х Г);;260 x 95 x 365 мм;Вага брутто;;1.172 кг;Строк гарантії;;24 міс.;;;;;;
301101;Видеорегистратор Hikvision DS-7616NXI-K2(D) 16-канальный AcuSense 4K 1U;IP камери;;16;Аналітика реєстратора;;"розпізнавання облич, захист периметра (2 канали 4МП), виявлення руху 2.0 (усі канали 4МП)";Аналітика з камерою;;"розпізнавання облич, захист периметра (всі канали), викидання предметів із будівлі, виявлення руху 2.0 (всі канали), ANPR, VCA";Вхідний потік;;160 Мбіт/с;Інтерфейси відео виходу;;"1 × VGA, 1 × HDMI";Роздільна здатність відеовиходу;;"4K (3840 × 2160), 2K (2560 × 1440), 1920 × 1080, 1600 × 1200, 1280 × 1024";Відео компресія;;H.265/H.265+/H.264+/H.264;Частота кадрів (головний потік);;"2-канал 12МП 25 к/с, 3-канал 8MP 25 к/с, 6-канал 4MP 25 к/с, 12-канал 1080p 25 к/с";Тривожні входи;;4;Релейні виходи;;1;Ethernet;;1 (10/100/1000 Мбіт/с RJ-45);Макс. кількість користувачів;;128;Внутрішні HDD;;2 SATA до 16 Тб;USB;;2 × USB 2.0;Живлення;;"12 В DC, 3.3 A";Потужність споживання;;15 Вт;Робоча температура;;-10 °C - 55 °C;Розміри;;385 × 315 × 52 мм;Вага;;1 кг;Кількість в ящику;;4 шт;Розмір упаковки (Ш х В х Г);;390 x 130 x 440 мм;Вага брутто;;2.78 кг;Строк гарантії;;24 міс.;;;;;;;;;;;;;;;;;;
301101;Видеорегистратор Hikvision DS-7732NXI-K4(D) 32-канальный 1.5U AcuSense 4K;IP камери;;32;Аналітика з камерою;;"розпізнавання облич, захист периметра (всі канали), структуризація відео, кидання предметів із будівлі, детектор руху 2.0 (всі канали), VCA";Аналітика реєстратора;;"розпізнавання облич, захист периметра (2 канали 4МП), виявлення руху 2.0 (всі канали)";Вхідний потік;;256 Мбіт/с;Інтерфейси відео виходу;;"1 HDMI, 1 VGA";Роздільна здатність відеовиходу;;"HDMI 1-канал, 4K (3840 × 2160), 2K (2560 × 1440), 1920 × 1080, 1280 × 1024,HDMI 1-канал, 4K (3840 × 2160), 2K (2560 × 1440), 1920 × 1080, 1280 × 1024, 1280 × 720, VGA  1920 × 1080, 1280 × 1024, 1280 × 720 1280 × 720, VGA  1920 × 1080, 1280 × 1024, 1280 ×";Відео компресія;;H.265/H.265+/H.264+/H.264;Підтримка роздільної здатності;;12 MP/8 MP/6 MP/5 MP/4 MP/3 MP/1080p/UXGA/720p/VGA/4CIF/DCIF/2CIF/CIF/QCIF;Частота кадрів (головний потік);;"2-канал 12МП 25 к/с, 3-канал 8MP 25 к/с, 6-канал 4MP 25 к/с, 12-канал 1080p 25 к/с";Ethernet;;2х RJ-45 10/100/1000 Мбіт/с;Сумісність;;"ONVIF (profile S/G), SDK, ISAPI";Макс. кількість користувачів;;128;Внутрішні HDD;;4 SATA до 16 Тб;USB;;"2 × USB 2.0, 1 × USB 3.0";RS232;;1;RS485;;2;Живлення;;220 В АС;Потужність споживання;;20 Вт;Робоча температура;;-10 °C - +55 °C;Розміри;;445 × 400 × 75 мм;Вага;;5 кг;Кількість в ящику;;2 шт;Розмір упаковки (Ш х В х Г);;500 x 160 x 510 мм;Вага брутто;;5.58 кг;;;;;;;;;;;;;;;
301101;Видеорегистратор Dahua DHI-NVR2108HS-I2 8-канальный 1U 1HDD WizSense;IP камери;;8;Аналітика реєстратора;;"виявлення облич (1кан), розпізнавання облич (1кан), охорона периметра (1кан), SMD Plus (4кан)";Аналітика з камерою;;"виявлення облич (5кан), розпізнавання облич (5кан), охорона периметра (4кан), SMD Plus (6кан)";Вхідний потік;;80 Мбіт/с;Інтерфейси відео виходу;;"1 × VGA, 1 × HDMI";Роздільна здатність відеовиходу;;HDMI 4К;Відео компресія;;"Smart H.265+, H.265, Smart H.264+, H.264, MJPEG";Підтримка роздільної здатності;;"12MP, 8MP, 5MP, 4MP, 3MP, 2MP, 720p, D1";Частота кадрів (головний потік);;"1-канал12МП 25 к/с, 1-канал 8MP 25 к/с, 2-канал 5MP 25 к/с, 3-канал 4MP 25 к/с, 6-канал 1080p 25 к/с";Ethernet;;1 × RJ-45 10/100 Мбіт/с;Внутрішні HDD;;1 SATA до 10 Тб;USB;;2 × USB 2.0;Живлення;;"12 В DC, 1.5 A";Потужність споживання;;10 Вт;Робоча температура;;–10 °C - +55 °C;Розміри;;260 × 232.7 × 47.6 мм;Вага;;810 г;Кількість в ящику;;10 шт;Розмір упаковки (Ш х В х Г);;90 x 310 x 300 мм;Вага брутто;;1.4 кг;Строк гарантії;;24 міс.;;;;;;;;;;;;;;;;;;;;;;;;
301101;Видеорегистратор Hikvision DS-7604NXI-K1(D) 4-канальный 1U K AcuSense 4K NVR;IP камери;;4;Аналітика з камерою;;"розпізнавання облич, захист периметра (всі канали), викидання предметів із будівлі, виявлення руху 2.0 (всі канали), ANPR, VCA";Аналітика реєстратора;;"розпізнавання облич, захист периметра (1 канал 4 МП), виявлення руху 2.0 (усі канали 4МП)";Вхідний потік;;40 Мбіт/с;Інтерфейси відео виходу;;"1 HDMI, 1 VGA";Роздільна здатність відеовиходу;;"HDMI 1-канал, 4K (3840 × 2160), 2K (2560 × 1440), VGA  1920 × 1080";Відео компресія;;H.265/H.265+/H.264+/H.264;Частота кадрів (головний потік);;"2-канал 12МП 25 к/с, 3-канал 8MP 25 к/с, 6-канал 4MP 25 к/с, 12-канал 1080p 25 к/с";Ethernet;;1х RJ-45 10/100/1000 Мбіт/с;Внутрішні HDD;;1 SATA до 16 Тб;Макс. кількість користувачів;;128;USB;;2 × USB 2.0;Живлення;;"12 В DC, 1.5 A";Потужність споживання;;10 Вт;Робоча температура;;-10 °C - +55 °C;Розміри;;320 × 240 × 48 мм;Вага;;1 кг;Розмір упаковки (Ш х В х Г);;300 x 90 x 420 мм;Вага брутто;;1.66 кг;Строк гарантії;;24 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;
301101;Видеорегистратор Dahua DHI-NVR5216-EI 16-канальный 1U 2HDD WizSense;IP камери;;16;Аналітика реєстратора;;"виявлення облич (2кан), розпізнавання облич (2кан), охорона периметра (4кан), SMD Plus (8кан)";Аналітика з камерою;;"виявлення облич (16кан), розпізнавання облич (16кан), охорона периметра (16кан), SMD Plus (16кан)";Вхідний потік;;"384 Мбіт/с без ШІ, 200 з ШІ";Інтерфейси відео виходу;;"1 HDMI, 1 VGA";Роздільна здатність відеовиходу;;HDMI 4К;Відео компресія;;"Smart H.265+, H.265, Smart H.264+, H.264, MJPEG";Підтримка роздільної здатності;;"32 MP, 24 MP, 16 MP, 12 MP, 8 MP, 5 MP, 4 MP, 1080p, 720p, D1, CIF, QCIF";Частота кадрів (головний потік);;"1-канальний 32 Мп 20 к/с, 1-канальний 24 Мп 20 к/с, 2-канальний 16 Мп 25 к/с, 4-канальний 12 Мп 25 к/с, 4-канальний 8 Мп 25 к/с, 12-канальний 5 МП 25 к/с, 16-канальний 4 МП 25 к/с";Тривожні входи;;4;Релейні виходи;;2;Ethernet;;1х (10/100/1000 Mбіт/с);Внутрішні HDD;;2 SATA до 16Тб;USB;;"1х USB 2.0, 1х USB 3.0";RS232;;1;RS485;;1;Живлення;;"12 В DC, 4 A";Потужність споживання;;10 Вт;Робоча температура;;–10 °C - +55 °C;Розміри;;375 × 285 x 56 мм;Вага;;1.57 кг;Кількість в ящику;;5 шт;Розмір упаковки (Ш х В х Г);;360 x 140 x 430 мм;Вага брутто;;2.86 кг;Строк гарантії;;24 міс.;;;;;;;;;;;;
301101;Видеорегистратор Dahua DH-XVR4116HS-I 16-канальный 720p 1U 1HDD WizSense;Аналогові входи;;16 BNC;IP камери;;16+2 канала до 6MP;Аналітика реєстратора;;SMD plus 8 каналів (аналог);Вхідний потік;;64 Мбіт/с;HDCVI камери;;"1080p 25 к/с, 720p 50 к/с, 720p 25 к/с";AHD камери;;"1080p  25 к/с, 720p 25 к/с";TVI камери;;"1080p 25 к/с, 720p 25 к/с";Інтерфейси відео виходу;;"1 HDMI, 1 VGA";Роздільна здатність відеовиходу;;"1920 × 1080, 1280 × 1024, 1280 × 720";Відео компресія;;AI Coding/H.265+/H.265/H.264+/H.264;Частота кадрів (головний потік);;"1-й кан 1080N/720p (25 к/с), інші кан 1080N/720p (15 к/с), 960H/D1/CIF (25 к/с)";Частота кадрів (доп. потік);;CIF (1 –7 к/с);Ethernet;;1 RJ-45 (100М);Сумісність;;"ONVIF 16.12, CGI Conformant";Макс. кількість користувачів;;128;Внутрішні HDD;;1 SATA порт до 10 Тб;USB;;2 x USB 2.0;RS485;;1;Живлення;;DC 12В/2A;Потужність споживання;;10 Вт;Робоча температура;;-10°C - +55°C;Розміри;;260 × 238 × 48 мм;Вага;;1 кг;Кількість в ящику;;10 шт;Розмір упаковки (Ш х В х Г);;315 x 90 x 335 мм;Вага брутто;;1.48 кг;Строк гарантії;;24 міс.;;;;;;
301101;Видеорегистратор Dahua DH-XVR5108HE-I3 8-канальный 5M-N/1080p Mini 1U 1HDD WizSense;Аналогові входи;;8 BNC;IP камери;;"8+4 канали, кожен канал до 6 МП";Вхідний потік;;64 Мбіт/с;Аналітика реєстратора;;"захист периметру 1 канал (аналог), розпізнавання обличчя 1 канал (аналог), SMD plus 8 каналів (аналог), IoT & POS";Інтерфейси відео виходу;;"1 HDMI, 1 VGA";Роздільна здатність відеовиходу;;"1920 × 1080, 1280 × 1024, 1280 × 720";Відео компресія;;AI Coding/H.265+/H.265/H.264+/H.264;Частота кадрів (головний потік);;"5M-N 10 к/с, 4M-N/1080p 15 к/с,  1080N/720p/960H/ D1/CIF 25 к/с";TVI камери;;"5MP, 4MP, 1080p, 720p 25 к/с";HDCVI камери;;"5MP, 4MP, 1080p 25 к/с, 720p 50/25 к/с";AHD камери;;"5MP, 4MP, 1080p, 720p 25 к/с";Тривожні входи;;8;Релейні виходи;;3;Ethernet;;1 RJ-45 (100М);Сумісність;;"ONVIF 16.12, CGI Conformant";Макс. кількість користувачів;;128;Внутрішні HDD;;1 SATA до 10 Тб;USB;;2 × USB 2.0;RS485;;1;Живлення;;DC 12В/2A;Потужність споживання;;7 Вт;Робоча температура;;-10°C - +55°C;Розміри;;"Mini 1U, 325 × 257 × 55 мм";Вага;;1.21 кг;Кількість в ящику;;10 шт;Розмір упаковки (Ш х В х Г);;370 x 115 x 300 мм;Вага брутто;;1.88 кг;Строк гарантії;;24 міс.;;;
