Ідентифікатор_підрозділу;supplier_attribute;supplier_value_substring;prom_attribute;prom_value
301010;;;Застосування замку;Металеві двері
301010;;;Застосування замку;Дерев'яні двері
301010;;;Застосування замку;Скляні двері
301010;;;Застосування замку;Ворота
301010;;;Застосування замку;Жалюзі
301010;;;Застосування замку;Ролети
301010;;;Застосування замку;Захисна конструкція
301010;;;Застосування замку;Вікно
301010;;;Застосування замку;Для металлопластиковых дверей
301010;;;Тип встановлення замку;Вкладний
301010;;;Тип встановлення замку;Врізний
301010;;;Тип встановлення замку;Навісний
301010;;;Тип встановлення замку;Накладний
301010;;;Тип встановлення замку;Напівврізний
301010;;;Тип встановлення замку;Прихований монтаж
301010;;;Механізм секретності;Біометричний
301010;;;Механізм секретності;Циліндровий
301010;;;Механізм секретності;Сувальдний
301010;;;Механізм секретності;Помповий
301010;;;Механізм секретності;Хрестовий
301010;;;Механізм секретності;Дисковий
301010;;;Механізм секретності;Кодовий
301010;;;Механізм секретності;Рейковий
301010;;;Механізм секретності;Немає
301010;;;Механізм секретності;Електронний з передачею ІК-сигналу
301010;;;Відкриття блоку;
301010;;;Клас захисту замку;
301010;;;Матеріал замку;
301010;;;Колір замку;
301010;;;Кількість механізмів;Введіть число. Число повинно бути від 1 до 20
301010;;;Можливість заміни механізму;
301010;;;Кількість напрямків замикання;Введіть число. Число повинно бути від 0 до 20
301010;;;Кількість точок замикання;Введіть число. Число повинно бути від 0 до 30
301010;;;Міжосьова відстань (мм);Введіть число. Число повинно бути від 0 до 2000
301010;;;Кількість ригелів;Введіть число. Число повинно бути від 0 до 30
301010;;;Форма ригеля;
301010;;;Діаметр ригеля (мм);Введіть число. Число повинно бути від 0 до 200
301010;;;Вихід ригеля (мм);Введіть число. Число повинно бути від 0 до 200
301010;;;Вихід вертикальних тяг (мм);Введіть число. Число повинно бути від 0 до 200
301010;;;Вихід горизонтальних тяг (мм);Введіть число. Число повинно бути від 0 до 200
301010;;;Стан;
301010;;;Тип замка;
301010;;;Сила утримання (кг);Введіть число. Число повинно бути від 0 до 100000
301010;;;Тип замикання;
301010;;;Розташування;
301010;;;Max кількість комбінацій;Введіть число. Число повинно бути від 1 до 100000000000
301010;;;Реверсивна заскочка;
301010;;;"Механізм, що замикається";
301010;;;Автоматичне замикання;
301010;;;Запобіжник фіксуючий засувку;
301010;;;Відкриття пристрою;
301010;;;Резервна система відкривання;
301010;;;Можливість перекодування;
301010;;;Backset (мм);Введіть число. Число повинно бути від 0 до 100
301010;;;Протокол зв'язку;
301010;;;Можливість підключення GSM модуля;
301010;;;Управління пристроєм;
301010;;;Індикація відкриття/закриття;
