category_id;supplier_name;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики
301010;Электромеханическая защелка DK01BWIT;Метод роботи;;Електромеханічна клямка;Живлення;;12 В;Розміри;;130x24x30.5 мм;Матеріал;;Нержавіюча сталь;Розмір упаковки (Ш х В х Г);;30 x 25 x 140 мм;Вага брутто;;0.26 кг;Строк гарантії;;12 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301010;Замок навесной Via Security VL-1F/TB со считывателем отпечатка пальца;Метод роботи;;"зчитувач відбитка пальця, пам'ять до 10 шт";Живлення;;2 батарейки CR2032 (1 рік в режимі очікування);Особливості;;"Керування з мобільного застосунку TuyaSmart (iOS, Android) Bluetooth, скоба 6 мм в діаметрі";Робоча температура;;"-10°С - +45°С, IP67";Розміри;;76х46х22 мм;Вага;;100 г;Матеріал;;метал;Розмір упаковки (Ш х В х Г);;90 x 20 x 140 мм;Вага брутто;;0.12 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301010;Электромеханическая защелка DK033BWIT;Живлення;;12В DC;Робоча температура;;-10 ° C до 50 ° C;Розміри;;"150 x 25 x 30,5 мм";Матеріал;;Нержавіюча сталь;Розмір упаковки (Ш х В х Г);;35 x 25 x 160 мм;Вага брутто;;0.26 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301010;Накладка на сердцевину для замков CISA 06027.01.0;Розміри;;23 х 54 х 4 мм;Матеріал;;Нейлон;Розмір упаковки (Ш х В х Г);;25 x 3 x 55 мм;Вага брутто;;0.01 кг;Строк гарантії;;12 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301010;Электромеханический замок ATIS Lock SS;Метод роботи;;електромеханічний замок;Живлення;;12V;Робоча температура;;від -30 ° до + 70 ° С;Розміри;;137х105х37 мм;Вага;;905 г;Матеріал;;Нержавіюча сталь;Кількість в ящику;;12 шт;Розмір упаковки (Ш х В х Г);;105 x 75 x 160 мм;Вага брутто;;1.28 кг;Строк гарантії;;12 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301010;Электромагнитной замок YM-280NT(LED);Тип пристрою;;Електромагнітний замок для системи контролю доступу;Сумісність;;"планки кріпильні: MBK-280NL, MBK-280NI, MBK-280NZLC, MBK-280NLC, MBK-280NZL";Матеріал;;анодований алюміній (замок) | цинк (планка);Додатково;;сила утримання 280 кг;Живлення;;DC 12 В / DC 24 В;Розмір;;"замок: 250 х 48.8 х 27.9 мм, відповідна планка: 180 х 38.8 х 13 мм";Кількість в ящику;;12 шт;Розмір упаковки (Ш х В х Г);;270 x 60 x 60 мм;Вага брутто;;2.8 кг;Строк гарантії;;12 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301010;Монтажный уголок MBK-280NZL;Тип пристрою;;ZL-подібний кронштейн;Сумісність;;"YM-280N, YM-280NT(LED), YM-280N(LED)-DS";Сила утримання;;280 кг;Розмір;;"L-кронштейн 250x48.8x30.4мм, Z-кронштейн 180x50x50мм";Розмір упаковки (Ш х В х Г);;60 x 60 x 265 мм;Вага брутто;;0.72 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301010;Ригельный замок врезной для системы контроля доступа YB-500A(LED);Метод роботи;;електрорігельний;Монтаж;;врізний;Датчик;;"стану двері, затримки";Живлення;;DC 12 В 960 мА;Робоча температура;;-40 ~ +60;Розміри;;192 x 25 x 37 мм;Вага;;680 г;Матеріал;;сталь нержавіюча;Кількість в ящику;;24 шт;Розмір упаковки (Ш х В х Г);;80 x 40 x 240 мм;Вага брутто;;0.58 кг;Строк гарантії;;12 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301010;Монтажный уголок Yli Electronic MBK-350LC-W;Особливості;;Сумісність із замком: YM-350W / YM-350W-S;Розмір упаковки (Ш х В х Г);;65 x 60 x 305 мм;Вага брутто;;0.42 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301010;Уголок монтажный для системы контроля доступа MBK-280NI;Тип пристрою;;I-подібний кронштейн;Сумісність;;"YM-280N, YM-280NT(LED),YM-280N(LED)-DS";Розмір;;190x50x17мм;Розмір упаковки (Ш х В х Г);;50 x 50 x 100 мм;Вага брутто;;0.3 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
