category_id;supplier_name;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики
70704;Жесткий диск внутренний Seagate SkyHawk ST1000VX013 1Тб;Форм-фактор;;3.5″;Ємність;;1 Тб;Інтерфейс користувача;;SATA III;Швидкість обертання (об / хв);;5400;Кількість в ящику;;25 шт;Розмір упаковки (Ш х В х Г);;100 x 15 x 145 мм;Вага брутто;;400;;;;;;;;;;;;;;;;;;;;;
70704;Жесткий диск внутренний Western Digital WD10PURU-64;Форм-фактор;;3.5″;Ємність;;1 Тб;Інтерфейс користувача;;SATA-600;Швидкість обертання (об / хв);;5400;Кеш-пам'ять;;64 Мб;Розмір упаковки (Ш х В х Г);;100 x 20 x 150 мм;Вага брутто;;460;Строк гарантії;;36 міс.;;;;;;;;;;;;;;;;;;
70704;Жесткий диск внутренний Seagate SkyHawk ST8000VX010 8Тб;Форм-фактор;;3.5″;Ємність;;8 Тб;Інтерфейс користувача;;SATA III;Швидкість обертання (об / хв);;5400;Кількість в ящику;;20 шт;Розмір упаковки (Ш х В х Г);;100 x 25 x 145 мм;Вага брутто;;620;;;;;;;;;;;;;;;;;;;;;
70704;Жесткий диск внутренний Seagate SkyHawk ST6000VX009 6Тб;Форм-фактор;;3.5″;Ємність;;6 Тб;Інтерфейс користувача;;SATAIII;Швидкість обертання (об / хв);;5400;Кількість в ящику;;20 шт;Розмір упаковки (Ш х В х Г);;100 x 25 x 145 мм;Вага брутто;;620;;;;;;;;;;;;;;;;;;;;;
70704;Жесткий диск Seagate SkyHawk ST1000VE001 Al HDD 10TB 7200rpm 256MB 3.5″ SATAIII;Форм-фактор;;3.5″;Ємність;;10 ТБ;Інтерфейс користувача;;SATAIII;Кеш-пам'ять;;256 МБ;Макс. швидкість тривалої передачі;;245 МБ/c;Кількість в ящику;;20 шт;Розмір упаковки (Ш х В х Г);;105 x 30 x 150 мм;Вага брутто;;720;;;;;;;;;;;;;;;;;;
70704;Жесткий диск внутренний Western Digital WD63PURU-78 6Тб;Ємність;;6 Тб;Інтерфейс користувача;;SATA;Швидкість обертання (об / хв);;5400 об/хв;Кеш-пам'ять;;256 Мб;Макс. швидкість тривалої передачі;;180 Мб/с;Розмір упаковки (Ш х В х Г);;100 x 25 x 145 мм;Вага брутто;;580;Строк гарантії;;36 міс.;;;;;;;;;;;;;;;;;;
70704;Жесткий диск внутренний Hikvision Enterprise DS120HKAI-VX1 12Тб;Форм-фактор;;3.5″ 26.1 мм;Ємність;;12Тб;Інтерфейс користувача;;SATA;Швидкість обертання (об / хв);;7200;Макс. швидкість тривалої передачі;;"6.0 Гб/с, 3.0 Гб/с, 1.5 Гб/с";Розмір упаковки (Ш х В х Г);;130 x 35 x 170 мм;Вага брутто;;680;Строк гарантії;;36 міс.;;;;;;;;;;;;;;;;;;
70704;Жесткий диск внутренний Western Digital Purple WD85PURZ 8Тб;Форм-фактор;;3.5″;Ємність;;8 ТБ;Інтерфейс користувача;;SATAIII;Швидкість обертання (об / хв);;5400;Кеш-пам'ять;;256 МБ;Макс. швидкість тривалої передачі;;210 МБ/с;Кількість в ящику;;20 шт;Розмір упаковки (Ш х В х Г);;100 x 20 x 145 мм;Вага брутто;;700;Строк гарантії;;36 міс.;;;;;;;;;;;;
70704;Жесткий диск внутренний Hikvision DS80HKVS-VX1;Форм-фактор;;3.5″;Ємність;;8 Тб;Інтерфейс користувача;;SATA;Швидкість обертання (об / хв);;7200;Кеш-пам'ять;;256 Мб;Розмір упаковки (Ш х В х Г);;140 x 25 x 100 мм;Вага брутто;;700;Строк гарантії;;36 міс.;;;;;;;;;;;;;;;;;;
70704;Жесткий диск внутренний Western Digital WD85PURU-78 8Тб;Форм-фактор;;3.5″;Ємність;;8 ТБ;Інтерфейс користувача;;SATAIII;Макс. швидкість тривалої передачі;;6 ГБіт/с;Кеш-пам'ять;;256 Мб;Розмір упаковки (Ш х В х Г);;150 x 40 x 100 мм;Вага брутто;;700;Строк гарантії;;36 міс.;;;;;;;;;;;;;;;;;;
