Посилання_підрозділу;Ідентифікатор_підрозділу;supplier_attribute;supplier_value_substring;prom_attribute;prom_value
https://prom.ua/Zhestkie-diski;70704;;;Тип диска;HDD
https://prom.ua/Zhestkie-diski;70704;;;Тип диска;HDD+SSD
https://prom.ua/Zhestkie-diski;70704;;;Тип диска;SSD
https://prom.ua/Zhestkie-diski;70704;;;Призначення;Для відеоспостереження
https://prom.ua/Zhestkie-diski;70704;;;Призначення;Для настільного ПК
https://prom.ua/Zhestkie-diski;70704;;;Призначення;Для ноутбука
https://prom.ua/Zhestkie-diski;70704;;;Призначення;Для ПК та Ноутбука
https://prom.ua/Zhestkie-diski;70704;;;Призначення;Для сервера
https://prom.ua/Zhestkie-diski;70704;;;Призначення;Для мережевих сховищ
https://prom.ua/Zhestkie-diski;70704;;;Вид;Зовнішній
https://prom.ua/Zhestkie-diski;70704;;;Вид;Внутрішній
https://prom.ua/Zhestkie-diski;70704;;;Об'єм накопичувача (GB);Введіть число. Число повинно бути від 0 до 32000
https://prom.ua/Zhestkie-diski;70704;;;Форм-фактор;3.5"
https://prom.ua/Zhestkie-diski;70704;;;Форм-фактор;0.85"
https://prom.ua/Zhestkie-diski;70704;;;Форм-фактор;1"
https://prom.ua/Zhestkie-diski;70704;;;Форм-фактор;1.3"
https://prom.ua/Zhestkie-diski;70704;;;Форм-фактор;1.8"
https://prom.ua/Zhestkie-diski;70704;;;Форм-фактор;2.5"
https://prom.ua/Zhestkie-diski;70704;;;Форм-фактор;M.2 2230
https://prom.ua/Zhestkie-diski;70704;;;Форм-фактор;M.2 25110
https://prom.ua/Zhestkie-diski;70704;;;Форм-фактор;M.2 2520
https://prom.ua/Zhestkie-diski;70704;;;Форм-фактор;M.2 2580
https://prom.ua/Zhestkie-diski;70704;;;Форм-фактор;mSATA
https://prom.ua/Zhestkie-diski;70704;;;Форм-фактор;PCI Exspress (0)
https://prom.ua/Zhestkie-diski;70704;;;Форм-фактор;portable
https://prom.ua/Zhestkie-diski;70704;;;Форм-фактор;М. 2 2242
https://prom.ua/Zhestkie-diski;70704;;;Форм-фактор;М. 2 2280
https://prom.ua/Zhestkie-diski;70704;;;Об`єм буфера (MB);Введіть число. Число повинно бути від 1 до 7200
https://prom.ua/Zhestkie-diski;70704;;;Інтерфейс;ATA100
https://prom.ua/Zhestkie-diski;70704;;;Інтерфейс;ATA133
https://prom.ua/Zhestkie-diski;70704;;;Інтерфейс;"ATA (IDE, PATA)"
https://prom.ua/Zhestkie-diski;70704;;;Інтерфейс;eSATA
https://prom.ua/Zhestkie-diski;70704;;;Інтерфейс;Fibre Channel
https://prom.ua/Zhestkie-diski;70704;;;Інтерфейс;FireWire
https://prom.ua/Zhestkie-diski;70704;;;Інтерфейс;FireWire/400
https://prom.ua/Zhestkie-diski;70704;;;Інтерфейс;FireWire/800
https://prom.ua/Zhestkie-diski;70704;;;Інтерфейс;mini USB
https://prom.ua/Zhestkie-diski;70704;;;Інтерфейс;PCI Express 3.0 x4
