Номер_групи;Посилання_підрозділу;keywords_ru;keywords_ua
8950011;https://prom.ua/Kamery-videonablyudeniya;"камера видеонаблюдения, камера с аккумулятором для наблюдения, камера наблюдения с датчиком движения, камера наблюдения с записью на карту памяти, камера для домашнего наблюдения, камеры наблюдения, камеры видеонаблюдения с семью картой, камеры видеонаблюдения для дома, камеры видеонаблюдения мини";"камера відеоспостереження, камера з акумулятором для спостереження, камера спостереження з датчиком руху, камера спостереження з записом на карту пам'яті, камера для домашнього спостереження, камери спостереження, камери відеоспостереження з сім карткою, камери відеоспостереження для будинку, камери відеоспостереження міні, бездротові камери відеоспостереження"
8950007;https://prom.ua/Videoregistratory;"регистратор видеонаблюдения, видеорегистратор наблюдения, видеорегистратор для видеонаблюдения, видеорегистратор для камер наблюдения, стационарный видеорегистратор, видеорегистратор, регистратор для видеокамер";"реєстратор відеоспостереження, відеореєстратор спостереження, відеореєстратор для відеоспостереження, відеореєстратор для камер спостереження, стаціонарний відеореєстратор, відео реєстратор, реєстратор для відеокамер"
83889367;https://prom.ua/Zhestkie-diski;"жесткий диск для видеонаблюдения, hdd surveillance, hdd для регистратора, hdd для видеорегистратора";"жорсткий диск для відеоспостереження, hdd surveillance, hdd для реєстратора, hdd для відеореєстратора"
4321341;https://prom.ua/Komplektuyuschie-dlya-sistem-videonablyudeniya-obschee;"комплектующие для видеонаблюдения, оборудование для видеонаблюдения, устройства для видеонаблюдения";"комплектуючі для відеоспостереження, обладнання для відеоспостереження, пристрої для відеоспостереження"
4328775;https://prom.ua/Domofony-videodomofony;"видеодомофон, домофон цветной, внутренняя панель, внутренний блок, монитор домофона, панель домофона";"відеодомофон, домофон кольоровий, внутрішня панель, внутрішній блок, монітор домофону, панель домофону"
90718784;https://prom.ua/Domofony-videodomofony;"видеопанель, видеопанель цветная, наружная панель, наружный блок, панель домофона, вызывная панель";"відеопанель, відеопанель кольорова, зовнішня панель, зовнішній блок, панель домофону, панель виклику"
4339717;https://prom.ua/Peregovornye-ustrojstva;"переговорное устройство, аудиопанель, устройство связи";"переговорний пристрій, аудіопанель, пристрій зв'язку"
72575633;https://prom.ua/Aksessuary-dlya-domofonnogo;"комплектующие для видеодомофонов, оборудование для видеодомофонов, устройства для видеодомофона";"комплектуючі для відеодомофонів, обладнання для відеодомофонів, пристрої для відеодомофону"
90906797;https://prom.ua/Takticheskie-teplovizory-;"тепловизор, ручной тепловизор, тепловизор охотничий, тактический тепловизор";"тепловізор, ручний тепловізор, тепловизор мисливський, тактичний тепловізор"
139094704;https://prom.ua/Peregovornye-ustrojstva;"переговорное устройство, устройство связи, оборудование для радиостанции, комплектующие для раций, рация для охраны";"переговорний пристрій, пристрій зв'язку, обладнання для радіостанції, комплектуючі для рацій, рація для охорони"
139094708;https://prom.ua/Kvadrokoptery;"квадрокоптер, дрон, fpv дрон, квадрокоптер с камерой, комплектующие для дронов";"квадрокоптер, дрон, fpv дрон, квадрокоптер з камерою, комплектуючі для дронів"
90945152;https://prom.ua/Ohrannye-sistemy-i-signalizatsii;"охранная сигнализация, датчик движения, датчик открытия, gsm сигнализация, беспроводная сигнализация";"охоронна сигналізація, датчик руху, датчик відкриття, gsm сигналізація, бездротова сигналізація"
90997501;https://prom.ua/Mehanicheskie-zamki;"замок дверной, комплектующие для замков, оборудование для замков, замок для систем доступа";"замок дверний, комплектуючі для замків, обладнання для замків, замок для систем доступу"
127628170;https://prom.ua/Trevozhnye-knopki-i-knopki-vyhoda;"тревожная кнопка, кнопка выхода, кнопка door exit, кнопка аварийного выхода";"кнопка тривожна, кнопка виходу, кнопка door exit, кнопка аварійного виходу"
127628173;https://prom.ua/Schityvateli;"считыватель карт, rfid считыватель, em-marine считыватель, mifare считыватель";"зчитувач карт, rfid зчитувач, em-marine зчитувач, mifare зчитувач"
127628176;https://prom.ua/Kontrollery;"контроллер доступа, контроллер scud, автономный контроллер, сетевой контроллер";"контролер доступу, контролер scud, автономний контролер, мережевий контролер"
16703618;https://prom.ua/Sistemy-kontrolya-dostupa;"комплектующие для систем доступа, оборудование для систем доступа, устройства для систем доступа";"комплектуючі для систем доступу, обладнання для систем доступу, пристрої для систем доступу"
23295147;https://prom.ua/Kommutatory;"сетевой коммутатор, poe коммутатор, гигабитный коммутатор,  коммутатор для видеонаблюдения";"мережевий комутатор, poe комутатор, гігабітний комутатор, комутатор для відеоспостереження"
90997677;https://prom.ua/Routeryi;"роутер wi-fi, маршрутизатор, gigabit router, двухдиапазонный роутер";"роутер wi-fi, маршрутизатор, gigabit router, дводіапазонний роутер"
22818554;https://prom.ua/Sovremennyj-dom-obschee;"умный дом, умная розетка, wi-fi реле, умное управление, умный модуль";"розумний будинок, розумна розетка, wi-fi реле, розумне керування, розумний модуль"
127351912;https://prom.ua/Istochnik-besperebojnogo-pitaniya-ibp;"ибп, источник бесперебойного питания 12-24В, ups для видеонаблюдения, резервное питание, ups онлайн";"ібп, джерело безперебійного живлення 12-24В, ups для відеоспостереження, резервне харчування, ups онлайн"
127351948;https://prom.ua/Istochnik-besperebojnogo-pitaniya-ibp;"ибп, источник бесперебойного питания 220В, ups для видеонаблюдения, резервное питание, ups онлайн";"ібп, джерело безперебійного живлення 220В, ups для відеоспостереження, резервне харчування, ups онлайн"
127351950;https://prom.ua/Promyshlennye-istochniki-pitaniya;"импульсный блок питания, промышленный блок питания, 12в блок питания, блок питания din-рейка";"імпульсний блок живлення, промисловий блок живлення, 12в блок живлення, блок живлення din-рейка"
127351973;https://prom.ua/Akkumulyatornye-bloki;"герметичный аккумулятор, аккумулятор для ибп, аккумулятор для ups, аккумулятор с реальной ёмкостью, долговечный аккумулятор";"герметичний акумулятор, акумулятор для ДБЖ, акумулятор для ups, акумулятор з реальною ємністю, довговічний акумулятор"
144038804;https://prom.ua/Invertory;"силовой инвертор, инвертор 12–220в, инвертор с чистой синусоидой, инвертор чистый синус";"силовий інвертор, інвертор 12–220в, інвертор із чистою синусоїдою, інвертор чистий синус"
144038790;https://prom.ua/Istochnik-besperebojnogo-pitaniya-ibp;"система накопления энергии, аккумуляторная система BESS, энергетическая станция резервная";"система накопичення енергії, акумуляторна система BESS, енергетична станція резервна"
144038805;https://prom.ua/Istochnik-besperebojnogo-pitaniya-ibp;"автономная система питания, резервное электропитание дома, бесперебойное питание объекта";"автономна система живлення, резервне електроживлення будинку, безперебійне живлення об'єкту"
144038807;https://prom.ua/Zaryadnye-stantsii;"зарядная станция, power station, портативная электростанция, аккумуляторная станция";"зарядна станція, power station, портативна електростанція, акумуляторна станція"
17012111;https://prom.ua/Kabel-telefonnyj;"utp кабель, витая пара, кабель для видеонаблюдения, сетевой кабель, кабель lan";"utp кабель, кручена пара, кабель для відеоспостереження, мережевий кабель, кабель lan"
