№;Линк категории поставщика;Категория на моем сайте_RU;Категория на моем сайте_UA;Номер_групи;Ідентифікатор_підрозділу;Посилання_підрозділу
1;"https://viatec.ua/catalog/cameras/0:0;proizvoditel:hikvision";Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;301105;https://prom.ua/Kamery-videonablyudeniya
2;"https://viatec.ua/catalog/ptz/0:0;proizvoditel:hikvision";Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;301105;https://prom.ua/Kamery-videonablyudeniya
3;"https://viatec.ua/catalog/cameras/0:0;proizvoditel:dahua";Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;301105;https://prom.ua/Kamery-videonablyudeniya
4;"https://viatec.ua/catalog/ptz/0:0;proizvoditel:dahua";Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;301105;https://prom.ua/Kamery-videonablyudeniya
5;"https://viatec.ua/catalog/cameras/0:0;proizvoditel:ezviz";Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;301105;https://prom.ua/Kamery-videonablyudeniya
6;"https://viatec.ua/catalog/cameras/0:0;proizvoditel:imou";Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;301105;https://prom.ua/Kamery-videonablyudeniya
7;https://viatec.ua/catalog/solution-traffic/0:0;Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;301105;https://prom.ua/Kamery-videonablyudeniya
8;https://viatec.ua/catalog/solution-mobile/0:0;Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;301105;https://prom.ua/Kamery-videonablyudeniya
9;https://viatec.ua/catalog/termal-cameras/0:0;Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;301105;https://prom.ua/Kamery-videonablyudeniya
10;https://viatec.ua/catalog/termal-ptz/0:0;Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;301105;https://prom.ua/Kamery-videonablyudeniya
11;"https://viatec.ua/catalog/dvr/0:0;proizvoditel:hikvision";Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;301101;https://prom.ua/Videoregistratory
12;"https://viatec.ua/catalog/dvr/0:0;proizvoditel:dahua";Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;301101;https://prom.ua/Videoregistratory
13;https://viatec.ua/catalog/komplekti-videonabludenia/0:0;Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;301101;https://prom.ua/Videoregistratory
14;https://viatec.ua/catalog/hdd/0:0;Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;70704;https://prom.ua/Zhestkie-diski
15;https://viatec.ua/catalog/bracket/0:0;Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;301109;https://prom.ua/Komplektuyuschie-dlya-sistem-videonablyudeniya-obschee
16;https://viatec.ua/catalog/microphone/0:0;Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;301109;https://prom.ua/Komplektuyuschie-dlya-sistem-videonablyudeniya-obschee
17;https://viatec.ua/catalog/keyboard/0:0;Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;301109;https://prom.ua/Komplektuyuschie-dlya-sistem-videonablyudeniya-obschee
18;https://viatec.ua/catalog/CCTV-IR/0:0;Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;301109;https://prom.ua/Komplektuyuschie-dlya-sistem-videonablyudeniya-obschee
19;"https://viatec.ua/catalog/vth/0:0;proizvoditel:hikvision";Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;3029;https://prom.ua/Domofony-videodomofony
20;"https://viatec.ua/catalog/vth/0:0;proizvoditel:dahua";Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;3029;https://prom.ua/Domofony-videodomofony
21;"https://viatec.ua/catalog/vth/0:0;proizvoditel:1199";Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;3029;https://prom.ua/Domofony-videodomofony
22;"https://viatec.ua/catalog/vth/0:0;proizvoditel:neolight";Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;3029;https://prom.ua/Domofony-videodomofony
23;"https://viatec.ua/catalog/intercom-kits/0:0;proizvoditel:hikvision";Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;3029;https://prom.ua/Domofony-videodomofony
24;"https://viatec.ua/catalog/intercom-kits/0:0;proizvoditel:dahua";Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;3029;https://prom.ua/Domofony-videodomofony
25;"https://viatec.ua/catalog/intercom-kits/0:0;proizvoditel:1199";Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;3029;https://prom.ua/Domofony-videodomofony
26;"https://viatec.ua/catalog/intercom-kits/0:0;proizvoditel:neolight";Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;3029;https://prom.ua/Domofony-videodomofony
27;"https://viatec.ua/catalog/vto/0:0;proizvoditel:hikvision";Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;3029;https://prom.ua/Domofony-videodomofony
28;"https://viatec.ua/catalog/vto/0:0;proizvoditel:dahua";Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;3029;https://prom.ua/Domofony-videodomofony
29;"https://viatec.ua/catalog/vto/0:0;proizvoditel:1199";Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;3029;https://prom.ua/Domofony-videodomofony
30;"https://viatec.ua/catalog/vto/0:0;proizvoditel:neolight";Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;3029;https://prom.ua/Domofony-videodomofony
31;https://viatec.ua/catalog/intercom/0:0;Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;50906;https://prom.ua/Peregovornye-ustrojstva
32;https://viatec.ua/catalog/intercom-accessories/0:0;Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;153502;https://prom.ua/Aksessuary-dlya-domofonnogo
33;https://viatec.ua/catalog/termal-handheld/0:0;Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;153729;https://prom.ua/Takticheskie-teplovizory-
34;https://viatec.ua/catalog/pricili/0:0;Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;153729;https://prom.ua/Takticheskie-teplovizory-
35;https://viatec.ua/catalog/aksesuari-dlia-pnb/0:0;Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;153729;https://prom.ua/Takticheskie-teplovizory-
36;https://viatec.ua/catalog/pribori-nichnogo-bachennia/0:0;Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;153729;https://prom.ua/Takticheskie-teplovizory-
37;https://viatec.ua/catalog/radiostancii/0:0;Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;50906;https://prom.ua/Peregovornye-ustrojstva
38;https://viatec.ua/catalog/kvadrokopteri/0:0;Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;2657;https://prom.ua/Kvadrokoptery
39;https://viatec.ua/catalog/akumuliatori-droniv/0:0;Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;2657;https://prom.ua/Kvadrokoptery
40;"https://viatec.ua/catalog/alarm-ppk/0:0;proizvoditel:dahua";Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;302306;https://prom.ua/Ohrannye-sistemy-i-signalizatsii
41;"https://viatec.ua/catalog/alarm-key/0:0;proizvoditel:dahua";Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;302306;https://prom.ua/Ohrannye-sistemy-i-signalizatsii
42;"https://viatec.ua/catalog/alarm-detector/0:0;proizvoditel:dahua";Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;302306;https://prom.ua/Ohrannye-sistemy-i-signalizatsii
43;"https://viatec.ua/catalog/alarm-key/0:0;proizvoditel:dahua";Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;302306;https://prom.ua/Ohrannye-sistemy-i-signalizatsii
44;"https://viatec.ua/catalog/alarm-siren/0:0;proizvoditel:dahua";Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;302306;https://prom.ua/Ohrannye-sistemy-i-signalizatsii
45;"https://viatec.ua/catalog/alarm-ppk/0:0;proizvoditel:hikvision";Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;302306;https://prom.ua/Ohrannye-sistemy-i-signalizatsii
46;"https://viatec.ua/catalog/alarm-key/0:0;proizvoditel:hikvision";Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;302306;https://prom.ua/Ohrannye-sistemy-i-signalizatsii
47;"https://viatec.ua/catalog/alarm-detector/0:0;proizvoditel:hikvision";Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;302306;https://prom.ua/Ohrannye-sistemy-i-signalizatsii
48;"https://viatec.ua/catalog/alarm-siren/0:0;proizvoditel:hikvision";Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;302306;https://prom.ua/Ohrannye-sistemy-i-signalizatsii
49;https://viatec.ua/catalog/access-control-lock/0:0;Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;301010;https://prom.ua/Mehanicheskie-zamki
50;https://viatec.ua/catalog/access-turnstile/0:0;Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;301010;https://prom.ua/Mehanicheskie-zamki
51;https://viatec.ua/catalog/access-terminal/0:0;Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;3030;https://prom.ua/Sistemy-kontrolya-dostupa
52;https://viatec.ua/catalog/access-control-button/0:0;Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;302308;https://prom.ua/Trevozhnye-knopki-i-knopki-vyhoda
53;https://viatec.ua/catalog/access-reader/0:0;Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;301311;https://prom.ua/Schityvateli
54;https://viatec.ua/catalog/access-controller/0:0;Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;301312;https://prom.ua/Kontrollery
55;https://viatec.ua/catalog/access-accessories/0:0;Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;3030;https://prom.ua/Sistemy-kontrolya-dostupa
56;https://viatec.ua/catalog/switches/0:0;Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;71903;https://prom.ua/Kommutatory
57;https://viatec.ua/catalog/network-routers/0:0;Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;71902;https://prom.ua/Routeryi
58;https://viatec.ua/catalog/network-ap/0:0;Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;71902;https://prom.ua/Routeryi
59;"https://viatec.ua/catalog/for-home/0:0;proizvoditel:imou,meross";Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;153501;https://prom.ua/Sovremennyj-dom-obschee
60;https://viatec.ua/catalog/istochniki-bespereboinogo-pitania-12-24v/0:0;Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;14191106;https://prom.ua/Istochnik-besperebojnogo-pitaniya-ibp
61;https://viatec.ua/catalog/istochniki-bespereboinogo-pitania-220v/0:0;Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;14191106;https://prom.ua/Istochnik-besperebojnogo-pitaniya-ibp
62;https://viatec.ua/catalog/equipment-power-supply/0:0;Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;14191103;https://prom.ua/Promyshlennye-istochniki-pitaniya
63;https://viatec.ua/catalog/equipment-batteries/0:0;Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;5280501;https://prom.ua/Akkumulyatornye-bloki
64;https://viatec.ua/catalog/litievi-akumuliatori/0:0;Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;5280501;https://prom.ua/Akkumulyatornye-bloki
65;https://viatec.ua/catalog/invertori/0:0;Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;5140401;https://prom.ua/Invertory
66;https://viatec.ua/catalog/sistemi-nakopichennia-energii/0:0;Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;14191106;https://prom.ua/Istochnik-besperebojnogo-pitaniya-ibp
67;https://viatec.ua/catalog/avtonomni-sistemi-zhivlennia/0:0;Безопасность и Умный дом;Безпека і Розумний Будинок;140905382;14191106;https://prom.ua/Istochnik-besperebojnogo-pitaniya-ibp
