Посилання_підрозділу;Ідентифікатор_підрозділу;supplier_attribute;supplier_value_substring;prom_attribute;prom_value
https://prom.ua/Kabel-telefonnyj;7190605;;;Призначення;Акустичний
https://prom.ua/Kabel-telefonnyj;7190605;;;Призначення;Для авіаційної техніки
https://prom.ua/Kabel-telefonnyj;7190605;;;Призначення;Для побутової техніки
https://prom.ua/Kabel-telefonnyj;7190605;;;Призначення;Для відеоспостереження
https://prom.ua/Kabel-telefonnyj;7190605;;;Призначення;Для комп'ютерних мереж
https://prom.ua/Kabel-telefonnyj;7190605;;;Призначення;Для космічної техніки
https://prom.ua/Kabel-telefonnyj;7190605;;;Призначення;Для охоронних/пожежних систем
https://prom.ua/Kabel-telefonnyj;7190605;;;Призначення;Для систем зв'язку
https://prom.ua/Kabel-telefonnyj;7190605;;;Призначення;Для телебачення
https://prom.ua/Kabel-telefonnyj;7190605;;;Призначення;Для телефонії
https://prom.ua/Kabel-telefonnyj;7190605;;;Тип кабеля;Акустичний
https://prom.ua/Kabel-telefonnyj;7190605;;;Тип кабеля;Безгалогенний
https://prom.ua/Kabel-telefonnyj;7190605;;;Тип кабеля;Кручена пара
https://prom.ua/Kabel-telefonnyj;7190605;;;Тип кабеля;Коаксіальний
https://prom.ua/Kabel-telefonnyj;7190605;;;Тип кабеля;Негорючий
https://prom.ua/Kabel-telefonnyj;7190605;;;Тип кабеля;Оптоволокно
https://prom.ua/Kabel-telefonnyj;7190605;;;Марка кабелю;НГ-FRHF
https://prom.ua/Kabel-telefonnyj;7190605;;;Марка кабелю;НГ-FRLS
https://prom.ua/Kabel-telefonnyj;7190605;;;Марка кабелю;НГ-FRLSLTx
https://prom.ua/Kabel-telefonnyj;7190605;;;Марка кабелю;НГ-HF
https://prom.ua/Kabel-telefonnyj;7190605;;;Марка кабелю;НГ-LS
https://prom.ua/Kabel-telefonnyj;7190605;;;Марка кабелю;НГ-LTx
https://prom.ua/Kabel-telefonnyj;7190605;;;Застосування;Для зовнішніх робіт
https://prom.ua/Kabel-telefonnyj;7190605;;;Застосування;Для внутрішніх робіт
https://prom.ua/Kabel-telefonnyj;7190605;;;Застосування;Універсальне
https://prom.ua/Kabel-telefonnyj;7190605;;;Конструкція кабелю;Гнучка
https://prom.ua/Kabel-telefonnyj;7190605;;;Конструкція кабелю;Жорстка
https://prom.ua/Kabel-telefonnyj;7190605;;;Конструкція кабелю;Моноліт
https://prom.ua/Kabel-telefonnyj;7190605;;;Тип монтажу;Внутрішній
https://prom.ua/Kabel-telefonnyj;7190605;;;Тип монтажу;Зовнішній
https://prom.ua/Kabel-telefonnyj;7190605;;;Упаковка;Барабан
https://prom.ua/Kabel-telefonnyj;7190605;;;Упаковка;Бухта
https://prom.ua/Kabel-telefonnyj;7190605;;;Упаковка;Котушка
https://prom.ua/Kabel-telefonnyj;7190605;;;Упаковка;Коробка
https://prom.ua/Kabel-telefonnyj;7190605;;;Упаковка;Моток
https://prom.ua/Kabel-telefonnyj;7190605;;;Длина в упаковке (м);Введіть число. Число повинно бути від 0 до 1000
https://prom.ua/Kabel-telefonnyj;7190605;;;Маса (кг/м);Введіть число. Число повинно бути від 0 до 100
https://prom.ua/Kabel-telefonnyj;7190605;;;Гарантійний термін (міс);Введіть число. Число повинно бути від 0 до 120
https://prom.ua/Kabel-telefonnyj;7190605;;;Термін служби (років);Введіть число. Число повинно бути від 0 до 60
https://prom.ua/Kabel-telefonnyj;7190605;;;Матеріал жили;CCA
https://prom.ua/Kabel-telefonnyj;7190605;;;Матеріал жили;CCS
https://prom.ua/Kabel-telefonnyj;7190605;;;Матеріал жили;Біметал
https://prom.ua/Kabel-telefonnyj;7190605;;;Матеріал жили;Мідь
https://prom.ua/Kabel-telefonnyj;7190605;;;Матеріал жили;Оміднина сталь
https://prom.ua/Kabel-telefonnyj;7190605;;;Матеріал жили;Оміднений алюміній
https://prom.ua/Kabel-telefonnyj;7190605;;;Матеріал жили;Сталь покрита міддю
https://prom.ua/Kabel-telefonnyj;7190605;;;Матеріал жили;SCCS
https://prom.ua/Kabel-telefonnyj;7190605;;;Тип витої пари;F/FTP
https://prom.ua/Kabel-telefonnyj;7190605;;;Тип витої пари;FTP
https://prom.ua/Kabel-telefonnyj;7190605;;;Тип витої пари;F/UTP
https://prom.ua/Kabel-telefonnyj;7190605;;;Тип витої пари;S/FTP
https://prom.ua/Kabel-telefonnyj;7190605;;;Тип витої пари;SF/UTP
https://prom.ua/Kabel-telefonnyj;7190605;;;Тип витої пари;STP
https://prom.ua/Kabel-telefonnyj;7190605;;;Тип витої пари;U/STP
https://prom.ua/Kabel-telefonnyj;7190605;;;Тип витої пари;UTP
https://prom.ua/Kabel-telefonnyj;7190605;;;Категорія витої пари;CAT1
https://prom.ua/Kabel-telefonnyj;7190605;;;Категорія витої пари;CAT2
https://prom.ua/Kabel-telefonnyj;7190605;;;Категорія витої пари;CAT3
https://prom.ua/Kabel-telefonnyj;7190605;;;Категорія витої пари;CAT4
https://prom.ua/Kabel-telefonnyj;7190605;;;Категорія витої пари;CAT5
https://prom.ua/Kabel-telefonnyj;7190605;;;Категорія витої пари;САТ5е
https://prom.ua/Kabel-telefonnyj;7190605;;;Категорія витої пари;CAT6
https://prom.ua/Kabel-telefonnyj;7190605;;;Категорія витої пари;CAT6a
https://prom.ua/Kabel-telefonnyj;7190605;;;Категорія витої пари;CAT7
https://prom.ua/Kabel-telefonnyj;7190605;;;Категорія витої пари;CAT7a
https://prom.ua/Kabel-telefonnyj;7190605;;;Смуга частот (МГц);Введіть число. Число повинно бути від 0.1 до 700
https://prom.ua/Kabel-telefonnyj;7190605;;;Тип оптоволокна;Багатомодове
https://prom.ua/Kabel-telefonnyj;7190605;;;Тип оптоволокна;Одномодове
https://prom.ua/Kabel-telefonnyj;7190605;;;Кількість пар;Введіть число. Число повинно бути від 1 до 300
https://prom.ua/Kabel-telefonnyj;7190605;;;Кількість волокон;Введіть число. Число повинно бути від 0 до 1000
https://prom.ua/Kabel-telefonnyj;7190605;;;Кількість жил;Введіть число. Число повинно бути від 1 до 300
https://prom.ua/Kabel-telefonnyj;7190605;;;Номінальний діаметр центральної жили (мм);Введіть число. Число повинно бути від 0 до 300
https://prom.ua/Kabel-telefonnyj;7190605;;;Номінальний діаметр з оболонкою (мм);Введіть число. Число повинно бути від 0 до 50
https://prom.ua/Kabel-telefonnyj;7190605;;;Номінальний діаметр з екраном (мм);Введіть число. Число повинно бути від 0 до 50
https://prom.ua/Kabel-telefonnyj;7190605;;;Номінальна товщина стінок оболонки (мм);Введіть число. Число повинно бути від 0 до 20
https://prom.ua/Kabel-telefonnyj;7190605;;;Наявність троса;Так
https://prom.ua/Kabel-telefonnyj;7190605;;;Наявність троса;Ні
https://prom.ua/Kabel-telefonnyj;7190605;;;Тип захисту;Гофрована трубка
https://prom.ua/Kabel-telefonnyj;7190605;;;Тип захисту;Металева стрічка
