supplier_name_substring;supplier_attribute;supplier_value_pattern;pattern_type;prom_attribute;prom_attribute_unit_template;prom_value_template;priority;is_active;category_id;rule_kind;notes
.*\b(AGM)\b.*;;;regex;Тип акумулятора;;AGM;1;TRUE;5280501;extract;AGM from name
.*\b(GEL|GL|гелев)\b.*;;;regex;Тип акумулятора;;GEL;2;TRUE;5280501;extract;GEL / GL / гелевий from name
.*\b(Li\s*Fe\s*PO\s*4|LiFePO4|LFP|Li-?TIME|LiTIME|Li-TIME)\b.*;;;regex;Тип акумулятора;;LiFePO4;3;TRUE;5280501;extract;LiFePO4 / LFP / Li-TIME from name
.*\bЛітієва\b.*;;;regex;Тип акумулятора;;LiFePO4;4;TRUE;5280501;extract;Cyrillic Lithium indicator
.*\bЛитиевая\b.*;;;regex;Тип акумулятора;;LiFePO4;4;TRUE;5280501;extract;Cyrillic Lithium indicator
\b(\d+(?:\.\d+)?)\s*[АA][\•·●]?[чh]\b;;;regex;Ємність акумулятору;А·г;$1 ;9;TRUE;5280501;extract;Capacity Ah from name
\b(\d+(?:\.\d+)?)\s*кВт[\•·●]?ч\b;;;regex;;;Пропустити;10;TRUE;5280501;skip;kWh cannot convert to Ah
\b(\d+(?:\.\d+)?)\s*[ВV]\b;;;regex;Напруга;В;$1 ;11;TRUE;5280501;extract;Voltage from name
;Тип пристрою;(?i)\bAGM\b;regex;Тип акумулятора;;AGM;12;TRUE;5280501;attribute;AGM type (regex)
;Тип пристрою;(?i)\b(GEL|гелев(ий|ый)|GL\s*\(гелев(ий|ый)\))\b;regex;Тип акумулятора;;GEL;13;TRUE;5280501;attribute;GEL type (latin + cyrillic)
;Тип пристрою;(?i)\bLi\s*Fe\s*PO\s*4\b|\bLiFePo4\b|літій[-\s]?залізо[-\s]?фосфат;regex;Тип акумулятора;;LiFePO4;14;TRUE;5280501;attribute;LiFePO4 type
;Тип пристрою;Гелевий;exact;Тип акумулятора;;GEL;15;TRUE;5280501;attribute;Gel type (Cyrillic capital)
;Тип пристрою;GEL \(гелевий\);exact;Тип акумулятора;;GEL;16;TRUE;5280501;attribute;GEL gel type
;Тип пристрою;LiFePo4.*;regex;Тип акумулятора;;LiFePO4;17;TRUE;5280501;attribute;LiFePO4 type
;Тип пристрою;.*літій-залізо-фосфат.*;regex;Тип акумулятора;;LiFePO4;18;TRUE;5280501;attribute;LiFePO4 (Cyrillic description)
;Ємність;"(\d+(?:[.,]\d+)?)\s*кВт[\•·●]?[чг]";regex;;;Пропустити;19;TRUE;5280501;skip;kWh capacity – skip
;Ємність;"(\d+(?:[.,]\d+)?)\s*[АA][\•·●]?\s*[гh]";regex;Ємність акумулятору;А. г;$1 ;20;TRUE;5280501;attribute;"Capacity Ah (А•г, Аг, Ah)"
;Ємність;"(\d+(?:[.,]\d+)?)\s*[АA]\s*[гh]";regex;Ємність акумулятору;А. г;$1 ;21;TRUE;5280501;attribute;Capacity Ah (Aг without dot)
;Ємність;"(\d+),(\d+)";regex;Ємність акумулятору;А. г;$1.$2;22;TRUE;5280501;attribute;Comma to dot normalization
;Выходное напряжение;(\d+(?:\.\d+)?)\s*[ВV];regex;Напруга;В;$1 ;23;TRUE;5280501;attribute;Voltage from Выходное напряжение
;Напруга \(В\);(\d+(?:\.\d+)?);regex;Напруга;В;$1 ;24;TRUE;5280501;attribute;Voltage from formatted attribute
;Напруга;(\d+(?:\.\d+)?);regex;Напруга;В;$1 ;25;TRUE;5280501;attribute;Voltage direct from attribute
;Питание;(\d+)\s*В;regex;Напруга;В;$1 ;26;TRUE;5280501;attribute;Voltage from Питание
;Тип струмовивіду;\bDT\b;exact;Тип струмовивіду;;DT;30;TRUE;5280501;attribute;DT terminal
;Тип струмовивіду;\bF2\b;regex;Тип струмовивіду;;F2;31;TRUE;5280501;attribute;F2 terminal
;Тип струмовивіду;\bF6\b;regex;Тип струмовивіду;;F6;32;TRUE;5280501;attribute;F6 terminal
;Тип струмовивіду;\bF8\b;regex;Тип струмовивіду;;F8;33;TRUE;5280501;attribute;F8 terminal
;Тип струмовивіду;\bF12\b;regex;Тип струмовивіду;;F12 (M8);34;TRUE;5280501;attribute;F12 terminal
;Тип струмовивіду;\bF18\b;regex;Тип струмовивіду;;F18;35;TRUE;5280501;attribute;F18 terminal
;Тип струмовивіду;[Тт]1\b;regex;Тип струмовивіду;;T1;36;TRUE;5280501;attribute;T1 terminal
;Тип струмовивіду;[Тт]2\b;regex;Тип струмовивіду;;T2;37;TRUE;5280501;attribute;T2 terminal
;Тип струмовивіду;[Тт]3\b;regex;Тип струмовивіду;;T3;38;TRUE;5280501;attribute;T3 terminal
;Тип струмовивіду;[Тт]6\b;regex;Тип струмовивіду;;T6;39;TRUE;5280501;attribute;T6 terminal
;Тип струмовивіду;[Тт]8\b;regex;Тип струмовивіду;;T8;40;TRUE;5280501;attribute;T8 terminal
;Тип струмовивіду;[Тт]11\b;regex;Тип струмовивіду;;T11;41;TRUE;5280501;attribute;T11 terminal
;Тип струмовивіду;[Тт]12\b;regex;Тип струмовивіду;;T12;42;TRUE;5280501;attribute;T12 terminal
;Тип струмовивіду;[Тт]14\b;regex;Тип струмовивіду;;T14;43;TRUE;5280501;attribute;T14 terminal
;Тип токовывода;\bF2\b;regex;Тип струмовивіду;;F2;44;TRUE;5280501;attribute;F2 from supplier
