supplier_name_substring;supplier_attribute;supplier_value_pattern;pattern_type;prom_attribute;prom_attribute_unit_template;prom_value_template;priority;is_active;category_id;rule_kind;notes
.*\b(\d+)\s*[ГгGg][БбBb]\b.*;;;regex;Об'єм накопичувача;GB;$1;1;TRUE;70704;extract;Extract capacity in GB from product name
.*\b(\d+)\s*GB\b.*;;;regex;Об'єм накопичувача;GB;$1;2;TRUE;70704;extract;Extract capacity GB from product name (English)
.*\b3\.5[""]\b.*;;;regex;Форм-фактор;;3.5";3;TRUE;70704;extract;3.5" form factor from name
.*\b2\.5[""]\b.*;;;regex;Форм-фактор;;2.5";4;TRUE;70704;extract;2.5" form factor from name
.*\b(micro\s*SD)\b.*;;;regex;Форм-фактор;;microSD;5;TRUE;70704;extract;microSD form factor (case-insensitive)
.*\bSATA\s*III\b.*;;;regex;Інтерфейс;;SATA III (SATA/600);6;TRUE;70704;extract;SATA III interface from name
.*\bSATA\s*II\b.*;;;regex;Інтерфейс;;SATA II (SATA/300);7;TRUE;70704;extract;SATA II interface from name
.*\bSATAIII\b.*;;;regex;Інтерфейс;;SATA III (SATA/600);8;TRUE;70704;extract;SATAIII (no space) from name
.*\bUSB\s*3\.2\b.*;;;regex;Інтерфейс;;USB 3.2;9;TRUE;70704;extract;USB 3.2 from name
.*\bUSB\s*3\.0\b.*;;;regex;Інтерфейс;;USB 3.0;10;TRUE;70704;extract;USB 3.0 from name
.*\bUSB\s*Type-C\b.*;;;regex;Інтерфейс;;USB Type-C;11;TRUE;70704;extract;USB Type-C from name
.*\b(HDD|жесткий диск|Жесткий диск)\b.*;;;regex;Тип диска;;HDD;12;TRUE;70704;extract;HDD type from name
.*\b(SSD|твердотільний)\b.*;;;regex;Тип диска;;SSD;13;TRUE;70704;extract;SSD type from name
.*\b(карта памяти)\b.*;;;regex;Тип диска;;Карта пам'яті;14;TRUE;70704;extract;Memory card type
.*\b(флеш|USB flash|DataTraveler)\b.*;;;regex;Тип диска;;USB флеш-накопичувач;15;TRUE;70704;extract;USB flash drive
.*\b(SkyHawk|Purple|Surveillance)\b.*;;;regex;Призначення;;Для відеоспостереження;16;TRUE;70704;extract;Surveillance purpose from name
;Форм-фактор;3\.5[""]?;regex;Форм-фактор;;3.5";20;TRUE;70704;attribute;3.5" form factor from attribute
;Форм-фактор;2\.5[""]?;regex;Форм-фактор;;2.5";21;TRUE;70704;attribute;2.5" form factor from attribute
;Форм-фактор;M\.2.*(\d{4});regex;Форм-фактор;;M.2 $1;22;TRUE;70704;attribute;M.2 with size from attribute
