supplier_name_substring;supplier_attribute;supplier_value_pattern;pattern_type;prom_attribute;prom_attribute_unit_template;prom_value_template;priority;is_active;category_id;rule_kind;notes
(?i).*\bкомплект\b.*\bвидеодомофон[а]?\b.*;;;regex;Тип устройства;;Відеодомофон;1;TRUE;3029;name;
(?i).*\bвидеодомофон\b.*;;;regex;Тип устройства;;Відеодомофон;2;TRUE;3029;name;
(?i).*\bаудиодомофон\b.*;;;regex;Тип устройства;;Аудіодомофон;3;TRUE;3029;name;
(?i).*\bвызывная\s+панел.*;;;regex;Тип устройства;;Відеопанель кольорова виклична;4;TRUE;3029;name;
"(?i)(?:видеодомофон|монитор).*?((?:[4-9]|1[0-5])(?:[.,]\d+)?)\s*[”""']";;;regex;Діагональ екрану (дюйм);;$1 ;5;TRUE;3029;name;
"(?i)(?:видеодомофон|монитор).*?((?:[4-9]|1[0-5])(?:[.,]\d+)?)\s*дюйм";;;regex;Діагональ екрану (дюйм);;$1 ;6;TRUE;3029;name;
;Дисплей;".*?((?:[3-9]|1[0-5])(?:[.,]\d+)?)\s*[”""']";regex;Діагональ екрану (дюйм);;$1 ;7;TRUE;3029;extract;
;Дисплей;".*?((?:[3-9]|1[0-5])(?:[.,]\d+)?)\s*\(";regex;Діагональ екрану (дюйм);;$1 ;8;TRUE;3029;extract;
;Дисплей;".*?((?:[3-9]|1[0-5])(?:[.,]\d+)?)\s*$";regex;Діагональ екрану (дюйм);;$1 ;9;TRUE;3029;extract;
;Дисплей;.*IPS.*;regex;Монітор;;IPS;10;TRUE;3029;attribute;
;Дисплей;.*TFT.*;regex;Монітор;;TFT;11;TRUE;3029;attribute;
;Дисплей;.*LCD.*;regex;Монітор;;LCD;12;TRUE;3029;attribute;
;Роздільна здатність дисплея;(\d+)\s*[?xXх]\s*(\d+);regex;Роздільна здатність екрану;;$1x$2;13;TRUE;3029;extract;
;Монтаж;.*накладн.*;regex;Тип встановлення;;Накладної;14;TRUE;3029;attribute;
;Монтаж;.*врізн.*;regex;Тип встановлення;;Врізний;15;TRUE;3029;attribute;
;Монтаж;.*напіввріз.*;regex;Тип встановлення;;Напівврізний;16;TRUE;3029;attribute;
;Монтаж;.*прихован.*;regex;Тип встановлення;;Прихований монтаж;17;TRUE;3029;attribute;
;Ethernet;.*RJ\s*-?\s*45.*;regex;Протокол зв'язку;;RJ-45;18;TRUE;3029;attribute;
;Wi-Fi;.*(?:Wi\s*-?\s*Fi|802\.11).*;regex;Інтерфейс;;Бездротовий;19;TRUE;3029;attribute;
;Живлення;.*12\s*В.*;regex;Живлення;;Мережа 12В;20;TRUE;3029;attribute;
;Живлення;.*24\s*В.*;regex;Живлення;;Мережа 24В;21;TRUE;3029;attribute;
;Живлення;.*220\s*В.*;regex;Живлення;;Мережа 220В;22;TRUE;3029;attribute;
;Живлення;.*230\s*В.*;regex;Живлення;;Мережа 230В;23;TRUE;3029;attribute;
;Живлення;.*110\s*В.*;regex;Живлення;;Мережа 110В;24;TRUE;3029;attribute;
