supplier_name_substring;supplier_attribute;supplier_value_pattern;pattern_type;prom_attribute;prom_attribute_unit_template;prom_value_template;priority;is_active;category_id;rule_kind;notes
(?i).*\b(трех|трёх|3)[-\s]?фазн.*;;;regex;Кількість фаз живлення;;3;1;TRUE;;extract;Трифазний інвертор
(?i).*\b(одно|1)[-\s]?фазн.*;;;regex;Кількість фаз живлення;;1;2;TRUE;;extract;Однофазний інвертор
(?i).*\bсонячн.*;;;regex;Сонячна батарея;;Так;3;TRUE;;attribute;Сонячний інвертор
(?i).*\bчиста\s+синусоїда\b.*;;;regex;Форма вихідної напруги;;Чиста синусоїда;4;TRUE;;attribute;Форма напруги - чиста
(?i).*\bапроксимован.*\b;;;regex;Форма вихідної напруги;;Апроксимована синусоїда;5;TRUE;;attribute;Форма напруги - апроксимована
;"Вихідна потужність, Вт";^([0-9\s]+)$;regex;Номінальна потужність;Вт;$1 ;6;TRUE;;extract;Вихідна потужність одне значення
;"Вихідна потужність, Вт";.*?([0-9][0-9\s]+)\s*[-/]\s*([0-9][0-9\s]+).*;regex;Максимальна потужність;Вт;$2 ;7;TRUE;;extract;Максимальна потужність з діапазону
;"Вихідна потужність, Вт";.*?([0-9][0-9\s]+)\s*[-/]\s*([0-9][0-9\s]+).*;regex;Номінальна потужність;Вт;$1 ;8;TRUE;;extract;Номінальна потужність з діапазону
;"Напруга батареї, В";(\d+)\s*-\s*(\d+);regex;Номінальна вхідна напруга;В;$1 ;9;TRUE;;extract;Мінімальна напруга батареї з діапазону
;"Напруга батареї, В";"(\d+(?:\.\d+)?)\s*–\s*(\d+(?:\.\d+)?)";regex;Номінальна вхідна напруга;В;$1 ;10;TRUE;;extract;Мінімальна напруга батареї варіант 2
;"Напруга батареї, В";^(\d+(?:\.\d+)?)$;regex;Номінальна вхідна напруга;В;$1 ;11;TRUE;;extract;Фіксована напруга батареї
;"Струм зарядки батареї, А";(\d+)\s*\+\s*(\d+);regex;Номінальний струм;А;$1 ;12;TRUE;;extract;Перший канал струму зарядки
;"Струм зарядки батареї, А";^(\d+)$;regex;Номінальний струм;А;$1 ;13;TRUE;;extract;Струм зарядки одне значення
;"Потужність сонячних панелей, Вт";([\d\s]+);regex;Максимальна потужність;Вт;$1 ;14;TRUE;;extract;Максимальна потужність СП
;Класс защиты;(IP[0-9]{2});regex;Ступінь захисту IP;;$1 ;15;TRUE;;extract;Ступінь захисту IP
;Рабочая температура;(-?\d+)\s*°?\s*[CСcс]?\s*(?:-|–|—|~)\s*\+?\s*\d+;regex;Мінімальна робоча температура навколишнього середовища;град.;$1 ;16;TRUE;;extract;Мінімальна температура
;Рабочая температура;-?\d+\s*°?\s*[CСcс]?\s*(?:-|–|—|~)\s*\+?\s*(\d+);regex;Максимальна робоча температура навколишнього середовища;град.;$1 ;17;TRUE;;extract;Максимальна температура
;"Розміри, мм";([0-9]+(?:\.[0-9]+)?)\s*[xхX×]\s*([0-9]+(?:\.[0-9]+)?)\s*[xхX×]\s*([0-9]+(?:\.[0-9]+)?);regex;Довжина;мм;$3 ;18;TRUE;;extract;Довжина з розмірів
;"Розміри, мм";([0-9]+(?:\.[0-9]+)?)\s*[xхX×]\s*([0-9]+(?:\.[0-9]+)?)\s*[xхX×]\s*([0-9]+(?:\.[0-9]+)?);regex;Ширина;мм;$1 ;19;TRUE;;extract;Ширина з розмірів
;"Розміри, мм";([0-9]+(?:\.[0-9]+)?)\s*[xхX×]\s*([0-9]+(?:\.[0-9]+)?)\s*[xхX×]\s*([0-9]+(?:\.[0-9]+)?);regex;Висота;мм;$2 ;20;TRUE;;extract;Висота з розмірів
;Вес;"([0-9]+(?:\.[0-9]+)?)\s*кг";regex;Вага;г;$1 кг;21;TRUE;;extract;Вага в кілограмах
;Вес;^([0-9]+)$;regex;Вага;г;$1 ;22;TRUE;;extract;Вага в грамах
;Строк гарантії;([0-9]+)\s*(міс)\.?;regex;Гарантійний термін;$2 ;$1 ;23;TRUE;;extract;Гарантійний термін
