supplier_name_substring;supplier_attribute;supplier_value_pattern;pattern_type;prom_attribute;prom_attribute_unit_template;prom_value_template;priority;is_active;category_id;rule_kind;notes
.*\bUTP\b.*;;;regex;Тип витої пари;;UTP;1;TRUE;7190605;extract;UTP from name
.*\bFTP\b.*;;;regex;Тип витої пари;;FTP;2;TRUE;7190605;extract;FTP from name
.*\bSTP\b.*;;;regex;Тип витої пари;;STP;3;TRUE;7190605;extract;STP from name
.*\bF/UTP\b.*;;;regex;Тип витої пари;;F/UTP;4;TRUE;7190605;extract;F/UTP from name
.*\bS/FTP\b.*;;;regex;Тип витої пари;;S/FTP;5;TRUE;7190605;extract;S/FTP from name
.*\bSF/UTP\b.*;;;regex;Тип витої пари;;SF/UTP;6;TRUE;7190605;extract;SF/UTP from name
.*\bCAT\s*5[Ee]\b.*;;;regex;Категорія витої пари;;САТ5е;10;TRUE;7190605;extract;CAT5e from name
.*\bCAT\s*6[Aa]\b.*;;;regex;Категорія витої пари;;CAT6a;11;TRUE;7190605;extract;CAT6a from name FIXED
.*\bCAT\s*6\b.*;;;regex;Категорія витої пари;;CAT6;12;TRUE;7190605;extract;CAT6 from name FIXED priority
.*\bCAT\s*7[Aa]\b.*;;;regex;Категорія витої пари;;CAT7a;13;TRUE;7190605;extract;CAT7a from name
.*\bCAT\s*7\b.*;;;regex;Категорія витої пари;;CAT7;14;TRUE;7190605;extract;CAT7 from name
.*внутр.*;;;regex;Тип монтажу;;Внутрішній;20;TRUE;7190605;extract;Indoor cable from name
.*зовн.*;;;regex;Тип монтажу;;Зовнішній;21;TRUE;7190605;extract;Outdoor cable from name
.*улич.*;;;regex;Тип монтажу;;Зовнішній;22;TRUE;7190605;extract;Street cable as outdoor
.*коаксіальн.*;;;regex;Тип кабеля;;Коаксіальний;30;TRUE;7190605;extract;Coaxial cable from name
.*комбін.*;;;regex;Тип кабеля;;Комбінований;31;TRUE;7190605;extract;Combined cable from name
.*сигнальн.*;;;regex;Тип кабеля;;Сигнальний;32;TRUE;7190605;extract;Signal cable from name
.*безгалоген.*;;;regex;Матеріал оболочки;;LSZH;40;TRUE;7190605;extract;LSZH from name bezgalogen
.*LSZH.*;;;regex;Матеріал оболочки;;LSZH;41;TRUE;7190605;extract;LSZH from name
.*LSOH.*;;;regex;Матеріал оболочки;;LSZH;42;TRUE;7190605;extract;LSOH as LSZH
.*НГ-FRLS.*;;;regex;Марка кабелю;;НГ-FRLS;50;TRUE;7190605;extract;NG-FRLS from name
.*НГ-HF.*;;;regex;Марка кабелю;;НГ-HF;51;TRUE;7190605;extract;NG-HF from name
.*НГ-LS.*;;;regex;Марка кабелю;;НГ-LS;52;TRUE;7190605;extract;NG-LS from name
.*\b(FTP|STP|S/FTP|F/UTP|SF/UTP)\b.*;;;regex;Наявність екрану;;Так;55;TRUE;7190605;extract;Shielded cable type implies screen presence FIXED
(\d+)\s*м\b.*;;;regex;Длина в упаковке;м;$1 ;60;TRUE;7190605;extract;Length in meters from name
;Тип;.*UTP.*;regex;Тип витої пари;;UTP;100;TRUE;7190605;attribute;UTP from type attribute
;Тип;.*FTP.*;regex;Тип витої пари;;FTP;101;TRUE;7190605;attribute;FTP from type attribute
;Тип;.*F/UTP.*;regex;Тип витої пари;;F/UTP;102;TRUE;7190605;attribute;F/UTP from type attribute
;Тип;.*S/FTP.*;regex;Тип витої пари;;S/FTP;103;TRUE;7190605;attribute;S/FTP from type attribute
;Тип витої пари;UTP;exact;Тип витої пари;;UTP;110;TRUE;7190605;attribute;UTP exact match
;Тип витої пари;FTP;exact;Тип витої пари;;FTP;111;TRUE;7190605;attribute;FTP exact match
;Тип витої пари;F/UTP;exact;Тип витої пари;;F/UTP;112;TRUE;7190605;attribute;F/UTP exact match
