supplier_name_substring;supplier_attribute;supplier_value_pattern;pattern_type;prom_attribute;prom_attribute_unit_template;prom_value_template;priority;is_active;category_id;rule_kind;notes
(?i).*\bбезконтактн.*;;;regex;Інтерфейс;;Бездротовий;1;TRUE;302308;extract;Безконтактні кнопки
(?i).*\bконтактн.*;;;regex;Інтерфейс;;Провідний;2;TRUE;302308;extract;Контактні кнопки
(?i).*\bсенсорн.*;;;regex;Інтерфейс;;Бездротовий;3;TRUE;302308;extract;Сенсорні кнопки
(?i).*\(метал\).*;;;regex;Матеріал;;Метал;20;TRUE;302308;extract;З назви товару
(?i).*\(пластик\).*;;;regex;Матеріал;;Пластмаса;21;TRUE;302308;extract;З назви товару
(?i).*\(комбінован.*\).*;;;regex;Матеріал;;Комбінований;22;TRUE;302308;extract;З назви товару
;Номінал струму;.*12.*В.*;regex;Живлення;;Мережа 12В;4;TRUE;302308;attribute;
;Номінал струму;.*24.*В.*;regex;Живлення;;Мережа 24В;5;TRUE;302308;attribute;
;Номінал струму;.*220.*В.*;regex;Живлення;;Мережа 220В;6;TRUE;302308;attribute;
;Питание;.*12.*В.*;regex;Живлення;;Мережа 12В;7;TRUE;302308;attribute;
;Питание;.*24.*В.*;regex;Живлення;;Мережа 24В;8;TRUE;302308;attribute;
;Входное напряжение;.*12.*В.*;regex;Живлення;;Мережа 12В;9;TRUE;302308;attribute;
;Входное напряжение;.*24.*В.*;regex;Живлення;;Мережа 24В;10;TRUE;302308;attribute;
;Входное напряжение;.*36.*В.*;regex;Напруга;В;36;11;TRUE;302308;extract;
;Номінал струму;(\d+)В.*;regex;Напруга;В;$1 ;12;TRUE;302308;extract;Екстракт вольтажу
;Номінал струму;.*(\d+(?:\.\d+)?)\s*[AА];regex;Живлення в режимі тривоги;мА;$1 ;13;TRUE;302308;extract;Екстракт струму в амперах
;Материал;.*метал.*;regex;Матеріал;;Метал;14;TRUE;302308;attribute;
;Материал;.*пластик.*;regex;Матеріал;;Пластмаса;15;TRUE;302308;attribute;
;Материал;.*алюм[іi]н.*;regex;Матеріал;;Метал;16;TRUE;302308;attribute;
;Материал;.*нержав.*;regex;Матеріал;;Метал;17;TRUE;302308;attribute;
;Материал;.*цинков.*;regex;Матеріал;;Метал;18;TRUE;302308;attribute;
;Материал;.*ABS.*;regex;Матеріал;;Пластмаса;19;TRUE;302308;attribute;
;Колір;.*біл.*;regex;Колір;;Білий;23;TRUE;302308;attribute;
;Колір;.*чорн.*;regex;Колір;;Чорний;24;TRUE;302308;attribute;
;Колір;.*сір.*;regex;Колір;;Сірий;25;TRUE;302308;attribute;
;Клас захисту;(IP[0-9]{2});regex;Захист обладнання від води і пилу IP;;$1 ;26;TRUE;302308;extract;
;Робоча температура;(-?\d+)\s*°?\s*[CС]?\s*(?:-|–|—|~)\s*\+?\s*\d+;regex;Мінімальна робоча температура навколишнього середовища;град.;$1 ;27;TRUE;302308;extract;
;Робоча температура;-?\d+\s*°?\s*[CС]?\s*(?:-|–|—|~)\s*\+?\s*(-?\d+);regex;Максимальна робоча температура навколишнього середовища;град.;$1 ;28;TRUE;302308;extract;
;Розміри;([0-9]+(?:\.[0-9]+)?)\s*[xх?]\s*([0-9]+(?:\.[0-9]+)?)\s*[xх?]\s*([0-9]+(?:\.[0-9]+)?)\s*(мм);regex;Довжина;$4 ;$3 ;29;TRUE;302308;extract;Довжина з розмірів
;Розміри;([0-9]+(?:\.[0-9]+)?)\s*[xх?]\s*([0-9]+(?:\.[0-9]+)?)\s*[xх?]\s*([0-9]+(?:\.[0-9]+)?)\s*(мм);regex;Ширина;$4 ;$1 ;30;TRUE;302308;extract;Ширина з розмірів
;Розміри;([0-9]+(?:\.[0-9]+)?)\s*[xх?]\s*([0-9]+(?:\.[0-9]+)?)\s*[xх?]\s*([0-9]+(?:\.[0-9]+)?)\s*(мм);regex;Висота;$4 ;$2 ;31;TRUE;302308;extract;Висота з розмірів
;"Розміри, мм";([0-9]+(?:\.[0-9]+)?)\s*[xх?]\s*([0-9]+(?:\.[0-9]+)?)\s*[xх?]\s*([0-9]+(?:\.[0-9]+)?);regex;Довжина;мм;$3 ;32;TRUE;302308;extract;Діаметр кругових кнопок
;"Розміри, мм";([0-9]+(?:\.[0-9]+)?)\s*[xх?]\s*([0-9]+(?:\.[0-9]+)?)\s*[xх?]\s*([0-9]+(?:\.[0-9]+)?);regex;Ширина;мм;$1 ;33;TRUE;302308;extract;Діаметр з префіксом Ф
;"Розміри, мм";([0-9]+(?:\.[0-9]+)?)\s*[xх?]\s*([0-9]+(?:\.[0-9]+)?)\s*[xх?]\s*([0-9]+(?:\.[0-9]+)?);regex;Висота;мм;$2 ;34;TRUE;302308;extract;Вага в грамах
;Вага;([0-9\.]+)\s*г;regex;Вага;г;$1 г;35;TRUE;302308;extract;Вага в кілограмах
;Вага;([0-9\.]+)\s*кг;regex;Вага;г;$1 кг;36;TRUE;302308;extract;
;Строк гарантії;([0-9]+)\s*(міс)\.?;regex;Гарантійний термін;$2 ;$1 ;37;TRUE;302308;extract;
