supplier_name_substring;supplier_attribute;supplier_value_pattern;pattern_type;prom_attribute;prom_attribute_unit_template;prom_value_template;priority;is_active;category_id;rule_kind;notes
(?i).*\bконтролер\b.*;;;regex;Тип пристрою;;Контролер;1;TRUE;301312;extract;Тип пристрою - контролер
(?i).*\bпанел[ьі]\s+управл[іі]ння\b.*;;;regex;Тип пристрою;;Панель управління;2;TRUE;301312;extract;Панель управління
;Тип карт;.*Mifare.*;regex;Підтримка стандартів;;Mifare;3;TRUE;301312;attribute;Підтримка Mifare
;Тип карт;.*Mifare\s+Classic\s+1k.*;regex;Підтримка стандартів;;Mifare Classic 1k;4;TRUE;301312;attribute;Підтримка Mifare Classic 1k
;Тип карт;.*Mifare\s+Classic\s+4k.*;regex;Підтримка стандартів;;Mifare Classic 4k;5;TRUE;301312;attribute;Підтримка Mifare Classic 4k
;Тип карт;.*Mifare\s+DESFire.*;regex;Підтримка стандартів;;Mifare DESFire EV1;6;TRUE;301312;attribute;Підтримка Mifare DESFire
;Тип карт;.*Mifare\s+Plus.*;regex;Підтримка стандартів;;Mifare Plus;7;TRUE;301312;attribute;Підтримка Mifare Plus
;Тип карт;.*Mifare\s+Ultralight.*;regex;Підтримка стандартів;;Mifare Ultralight (U1X);8;TRUE;301312;attribute;Підтримка Mifare Ultralight
;Тип карт;.*EM\s+Marine.*;regex;Підтримка стандартів;;EM Marine;9;TRUE;301312;attribute;Підтримка EM Marine
;Тип карт;.*EM4100.*;regex;Підтримка стандартів;;EM Marine (EM4100);10;TRUE;301312;attribute;Підтримка EM4100
;Тип карт;.*EM4102.*;regex;Підтримка стандартів;;EM Marine (EM4102);11;TRUE;301312;attribute;Підтримка EM4102
;Тип карт;.*HID.*;regex;Підтримка стандартів;;HID;12;TRUE;301312;attribute;Підтримка HID
;Тип карт;.*iCLASS.*;regex;Підтримка стандартів;;iCLASS;13;TRUE;301312;attribute;Підтримка iCLASS
;Тип карт;.*Prox.*;regex;Підтримка стандартів;;Prox;14;TRUE;301312;attribute;Підтримка Prox
;Тип карт;.*HID\s+Prox.*;regex;Підтримка стандартів;;HID Prox;15;TRUE;301312;attribute;Підтримка HID Prox
;Тип карт;.*RFID.*;regex;Підтримка стандартів;;RFID;16;TRUE;301312;attribute;Підтримка RFID
;Тип карт;.*ISO14443.*;regex;Підтримка стандартів;;ISO14443;17;TRUE;301312;attribute;Підтримка ISO14443
;Тип карт;.*ISO14443А.*;regex;Підтримка стандартів;;ISO14443А;18;TRUE;301312;attribute;Підтримка ISO14443А
;Тип карт;.*ISO14443B.*;regex;Підтримка стандартів;;ISO14443B;19;TRUE;301312;attribute;Підтримка ISO14443B
;Вбудований зчитувач;.*Mifare.*;regex;Підтримка стандартів;;Mifare;20;TRUE;301312;attribute;Вбудований зчитувач Mifare
;Вбудований зчитувач;.*EM\s+Marine.*;regex;Підтримка стандартів;;EM Marine;21;TRUE;301312;attribute;Вбудований зчитувач EM Marine
;Вбудований зчитувач;.*125\s*кГц.*;regex;Підтримка стандартів;;EM Marine;22;TRUE;301312;attribute;Вбудований зчитувач 125 кГц
;Вбудований зчитувач;.*13\.56\s*МГц.*;regex;Підтримка стандартів;;Mifare;23;TRUE;301312;attribute;Вбудований зчитувач 13.56 МГц
