supplier_name_substring;supplier_attribute;supplier_value_pattern;pattern_type;prom_attribute;prom_attribute_unit_template;prom_value_template;priority;is_active;category_id;rule_kind;notes
(?i).*\bточка\s+доступ.*;;;regex;Тип;;Бездротовий;1;TRUE;71902;extract;Визначення типу з назви
;Wi-Fi;.*802\.11b/g/n/ac.*;regex;Стандарт бездротового зв'язку;;IEEE 802.11b/g/n;3;TRUE;71902;attribute;
;Wi-Fi;.*802\.11ax.*;regex;Стандарт бездротового зв'язку;;802.11ax;4;TRUE;71902;attribute;
;Wi-Fi;.*802\.11ac.*;regex;Стандарт бездротового зв'язку;;802.11 ac;5;TRUE;71902;attribute;
;Wi-Fi;.*802\.11a/n/ac/ax.*;regex;Стандарт бездротового зв'язку;;IEEE 802.11ax/ac/n/a;6;TRUE;71902;attribute;
;Wi-Fi;.*802\.11b/g/n.*;regex;Стандарт бездротового зв'язку;;IEEE 802.11b/g/n;7;TRUE;71902;attribute;
;Wi-Fi;.*802\.11a/b/g/n.*;regex;Стандарт бездротового зв'язку;;IEEE 802.11a/b/g;8;TRUE;71902;attribute;
;Wi-Fi;.*802\.11be.*;regex;Стандарт бездротового зв'язку;;802.11be;9;TRUE;71902;attribute;
;Wi-Fi;.*2\.4\s*ГГц.*5\s*ГГц.*;regex;"WI-FI частота, ГГц";;2.4+5;10;TRUE;71902;attribute;Двочастотний режим
;Wi-Fi;.*2\.4\s*GHz.*5\s*GHz.*;regex;"WI-FI частота, ГГц";;2.4+5;11;TRUE;71902;attribute;Двочастотний режим (англ)
;Wi-Fi;.*(?:^|[^\d])2\.4(?:\s*(?:ГГц|GHz))?(?:[^\d]|$).*;regex;"WI-FI частота, ГГц";;2.4;12;TRUE;71902;attribute;Тільки 2.4 ГГц
;Wi-Fi;.*(?:^|[^\d])5(?:\s*(?:ГГц|GHz))?(?:[^\d]|$).*;regex;"WI-FI частота, ГГц";;5;13;TRUE;71902;attribute;Тільки 5 ГГц
;Антена;.*вбудован.*;regex;Антени WI-FI;;Внутрішні;14;TRUE;71902;attribute;
;Антена;.*внутрішн.*;regex;Антени WI-FI;;Внутрішні;15;TRUE;71902;attribute;
;Антена;.*зовнішн.*знімн.*;regex;Антени WI-FI;;"Зовнішні, знімні";16;TRUE;71902;attribute;
;Антена;.*зовнішн.*незнімн.*;regex;Антени WI-FI;;"Зовнішні, незнімні";17;TRUE;71902;attribute;
;Антена;.*(\d+)x(\d+).*MIMO.*;regex;Кількість антен;шт.;$1 ;18;TRUE;71902;extract;MIMO конфігурація (перше число)
;Антена;.*(\d+)?(\d+).*MIMO.*;regex;Кількість антен;шт.;$1 ;19;TRUE;71902;extract;"MIMO конфігурація (перше число, символ ?)"
;Живлення;.*802\.3af.*;regex;Живлення;;PoE;20;TRUE;71902;attribute;
;Живлення;.*802\.3at.*;regex;Живлення;;PoE;21;TRUE;71902;attribute;
;Живлення;.*802\.3bt.*;regex;Живлення;;PoE;22;TRUE;71902;attribute;
;Живлення;.*12\s*В.*;regex;Живлення;;Мережа 12В;23;TRUE;71902;attribute;
;Живлення;.*24\s*В.*;regex;Живлення;;Мережа 24В;24;TRUE;71902;attribute;
;Живлення;.*220\s*В.*;regex;Живлення;;Мережа 220В;25;TRUE;71902;attribute;
;Живлення;.*DC\s*(\d+)\s*В.*;regex;Напруга;В;$1 ;26;TRUE;71902;extract;
;PoE;.*802\.3af.*;regex;Додаткове джерело живлення;;PoE;27;TRUE;71902;attribute;
;PoE;.*802\.3at.*;regex;Додаткове джерело живлення;;PoE;28;TRUE;71902;attribute;
;PoE;.*802\.3bt.*;regex;Додаткове джерело живлення;;PoE;29;TRUE;71902;attribute;
;PoE;.*Passive.*PoE.*;regex;Додаткове джерело живлення;;PoE;30;TRUE;71902;attribute;
;Ethernet порти (Uplink);.*(\d+)\s*[xх?]\s*(?:10/100/1000|RJ\s*-?\s*45).*;regex;Кількість LAN-портів (RJ-45);шт.;$1 ;31;TRUE;71902;extract;
;Ethernet порти (Uplink);.*(\d+)\s*(?:порт[аи]?|port[s]?)\s*(?:10/100/1000|Ethernet|RJ).*;regex;Кількість LAN-портів (RJ-45);шт.;$1 ;32;TRUE;71902;extract;
;Ethernet порти (Uplink);.*(\d+)\s*[xх?]\s*(?:10/100|100M).*;regex;Кількість LAN-портів (RJ-45);шт.;$1 ;33;TRUE;71902;extract;100M порти
;USB;.*USB.*;regex;Кількість USB-портів;;1;34;TRUE;71902;attribute;Наявність USB
;USB;.*(\d+)\s*[xх?]\s*USB.*;regex;Кількість USB-портів;;$1 ;35;TRUE;71902;extract;Кількість USB портів
;Розміри;([0-9]+(?:\.[0-9]+)?)\s*[xх?]\s*([0-9]+(?:\.[0-9]+)?)\s*[xх?]\s*([0-9]+(?:\.[0-9]+)?)\s*мм;regex;Довжина;мм;$1 ;36;TRUE;71902;extract;
;Розміри;([0-9]+(?:\.[0-9]+)?)\s*[xх?]\s*([0-9]+(?:\.[0-9]+)?)\s*[xх?]\s*([0-9]+(?:\.[0-9]+)?)\s*мм;regex;Ширина;мм;$2 ;37;TRUE;71902;extract;
;Розміри;([0-9]+(?:\.[0-9]+)?)\s*[xх?]\s*([0-9]+(?:\.[0-9]+)?)\s*[xх?]\s*([0-9]+(?:\.[0-9]+)?)\s*мм;regex;Висота;мм;$3 ;38;TRUE;71902;extract;
;Розміри;Ф([0-9]+(?:\.[0-9]+)?)\s*[xх?]?\s*([0-9]+(?:\.[0-9]+)?)\s*мм;regex;Довжина;мм;$1 ;39;TRUE;71902;extract;Діаметр як довжина
;Розміри;Ф([0-9]+(?:\.[0-9]+)?)\s*[xх?]?\s*([0-9]+(?:\.[0-9]+)?)\s*мм;regex;Висота;мм;$2 ;40;TRUE;71902;extract;Висота циліндричного пристрою
;Вага брутто;([0-9]+(?:\.[0-9]+)?)\s*кг;regex;Вага;г;$1 кг;41;TRUE;71902;extract;
;Вага брутто;([0-9]+(?:\.[0-9]+)?)\s*г;regex;Вага;г;$1 г;42;TRUE;71902;extract;
;Строк гарантії;([0-9]+)\s*міс\.?;regex;Гарантійний термін;міс;$1 ;43;TRUE;71902;extract;
;Особливості;.*MU-MIMO.*;regex;Підтримка MU-MIMO;;Так;44;TRUE;71902;attribute;
;Особливості;.*IP(\d{2}).*;regex;;;IP$1 ;45;TRUE;71902;extract;IP рейтинг (не маппиться на Prom)
;Wi-Fi;.*AX(\d{4}).*;regex;"Швидкість WI-FI, Mbit/сек, до";;$1 ;46;TRUE;71902;extract;Wi-Fi 6 швидкість з назви
;Wi-Fi;.*AC(\d{4}).*;regex;"Швидкість WI-FI, Mbit/сек, до";;$1 ;47;TRUE;71902;extract;Wi-Fi 5 швидкість з назви
(?i).*\bбіл.*;;;regex;Колір;;Білий;48;TRUE;71902;extract;Колір з назви товару
(?i).*\bчорн.*;;;regex;Колір;;Чорний;49;TRUE;71902;extract;Колір з назви товару
(?i).*\bсір.*;;;regex;Колір;;Сірий;50;TRUE;71902;extract;Колір з назви товару
