supplier_name_substring;supplier_attribute;supplier_value_pattern;pattern_type;prom_attribute;prom_attribute_unit_template;prom_value_template;priority;is_active;category_id;rule_kind;notes
.*(?:коробка|бокс|коробки|боксу|box).*;;;regex;Тип системи;;Коробка розподільна;1;TRUE;5092913;name;Визначення типу системи з назви товару
.*(?:[Вв]одонепроницаем|[Гг]ерметичн).*;;;regex;Ступінь захисту IP;;IP66;2;TRUE;5092913;name;Водонепроникні/герметичні коробки зазвичай IP66
.*[Bb]lack.*;;;regex;Колір;;Білий;3;TRUE;5092913;name;Чорний колір з назви (в Prom немає чорного - мапимо на Білий)
.*(?:white|біл).*;;;regex;Колір;;Білий;4;TRUE;5092913;name;Білий колір з назви
;Матеріал;алюмін;contains;Матеріал корпусу;;Алюміній;5;TRUE;5092913;attribute;Нормалізація матеріалу - алюміній
;Матеріал;Алюмінієвий сплав;contains;Матеріал корпусу;;Алюміній;6;TRUE;5092913;attribute;Нормалізація матеріалу - алюмінієвий сплав
;Матеріал;(?:SECC|сталь);regex;Матеріал корпусу;;Сталь;7;TRUE;5092913;attribute;Нормалізація матеріалу - сталь
;Матеріал;(?:пластик|полікарбонат|термопластик);regex;Матеріал корпусу;;Пластик;8;TRUE;5092913;attribute;Нормалізація матеріалу - пластик
;Матеріал;нержавіюча сталь;contains;Матеріал корпусу;;Нержавіюча сталь;9;TRUE;5092913;attribute;Нормалізація матеріалу - нержавіюча сталь
;Розміри;(\d+(?:\.\d+)?)\s*[xXх?*]\s*(\d+(?:\.\d+)?)\s*[xXх?*]\s*(\d+(?:\.\d+)?)\s*мм;regex;Довжина;мм;$1 ;10;TRUE;5092913;extract;Екстракція довжини з формату LxWxH
;Розміри;(\d+(?:\.\d+)?)\s*[xXх?*]\s*(\d+(?:\.\d+)?)\s*[xXх?*]\s*(\d+(?:\.\d+)?)\s*мм;regex;Ширина;мм;$2 ;11;TRUE;5092913;extract;Екстракція ширини з формату LxWxH
;Розміри;(\d+(?:\.\d+)?)\s*[xXх?*]\s*(\d+(?:\.\d+)?)\s*[xXх?*]\s*(\d+(?:\.\d+)?)\s*мм;regex;Висота;мм;$3 ;12;TRUE;5092913;extract;Екстракція висоти з формату LxWxH
;Розміри;[?ФO]\s*(\d+(?:\.\d+)?)\s*[xXх?*]\s*(\d+(?:\.\d+)?)\s*мм;regex;Ширина;мм;$1 ;13;TRUE;5092913;extract;Екстракція ширини з формату O diameter x height
;Розміри;[?ФO]\s*(\d+(?:\.\d+)?)\s*[xXх?*]\s*(\d+(?:\.\d+)?)\s*мм;regex;Висота;мм;$2 ;14;TRUE;5092913;extract;Екстракція висоти з формату O diameter x height
;Розміри;(\d+(?:\.\d+)?)\s*[xXх?*]\s*[?ФO]\s*(\d+(?:\.\d+)?)\s*мм;regex;Висота;мм;$1 ;15;TRUE;5092913;extract;Екстракція висоти з формату height x O diameter
;Розміри;(\d+(?:\.\d+)?)\s*[xXх?*]\s*[?ФO]\s*(\d+(?:\.\d+)?)\s*мм;regex;Ширина;мм;$2 ;16;TRUE;5092913;extract;Екстракція ширини з формату height x O diameter
;Розміри;[?ФO]\s*(\d+(?:\.\d+)?)\s*(?:мм)?;regex;Ширина;мм;$1 ;17;TRUE;5092913;extract;Екстракція діаметру як ширини
;Розміри;(\d+(?:\.\d+)?)\s*[xXх?*]\s*(\d+(?:\.\d+)?)\s*мм;regex;Довжина;мм;$1 ;18;TRUE;5092913;extract;Екстракція довжини з формату LxW
;Розміри;(\d+(?:\.\d+)?)\s*[xXх?*]\s*(\d+(?:\.\d+)?)\s*мм;regex;Ширина;мм;$2 ;19;TRUE;5092913;extract;Екстракція ширини з формату LxW
;Вага;([0-9\.]+)\s*г(?:\b|$);regex;Маса;кг;$1 г;20;TRUE;5092913;extract;Конвертація ваги з грамів
;Вага;([0-9\.]+)\s*кг(?:\b|$);regex;Маса;кг;$1 кг;21;TRUE;5092913;extract;Конвертація ваги з кілограмів
;Колір;біл;contains;Колір;;Білий;22;TRUE;5092913;attribute;Нормалізація кольору - білий
;Колір;чорн;contains;Колір;;Чорний;23;TRUE;5092913;attribute;Нормалізація кольору - чорний 
;Навантаження;([0-9\.]+)\s*(?:кг|Кг);regex;Максимально допустиме навантаження;кг/м;$1 ;24;TRUE;5092913;extract;Екстракція навантаження в кг
;Навантаження;([0-9\.]+)\s*г(?:\b|$);regex;Максимально допустиме навантаження;кг/м;$1 ;25;TRUE;5092913;extract;Екстракція навантаження в грамах
;Ступінь захисту;(IP\d{2});regex;Ступінь захисту IP;;$1 ;26;TRUE;5092913;extract;Екстракція IP рейтингу
;Захист;(IP\d{2});regex;Ступінь захисту IP;;$1 ;27;TRUE;5092913;extract;Екстракція IP рейтингу з поля Захист
;Робоча температура;(IP\d{2});regex;Ступінь захисту IP;;$1 ;28;TRUE;5092913;extract;Екстракція IP рейтингу з температурних умов
