supplier_name_substring;supplier_attribute;supplier_value_pattern;pattern_type;prom_attribute;prom_attribute_unit_template;prom_value_template;priority;is_active;category_id;rule_kind;notes
.*\bкожух\b.*;;;regex;Тип пристрою;;Кожух;1;TRUE;301112;name;
.*\bкронштейн\b.*;;;regex;Тип пристрою;;Кронштейн;2;TRUE;301112;name;
.*\bдожд\b.*;;;regex;Тип пристрою;;Кожух;3;TRUE;301112;name;Дождевик - это тип кожуха
supplier_name_substring;supplier_attribute;supplier_value_pattern;pattern_type;prom_attribute;prom_attribute_unit_template;prom_value_template;priority;is_active;category_id;rule_kind;notes
.*\bнастен\b.*;;;regex;Тип кріплення кронштейна;;Настінне кріплення;5;TRUE;301112;name;
.*\bпотолоч\b.*;;;regex;Тип кріплення кронштейна;;Стельове кріплення;6;TRUE;301112;name;
.*\bстель\b.*;;;regex;Тип кріплення кронштейна;;Стельове кріплення;7;TRUE;301112;name;
.*\bстолб\b.*;;;regex;Тип кріплення кронштейна;;Кріплення для монтажу на стовп/балку;8;TRUE;301112;name;
.*\bугл\b.*;;;regex;Тип кріплення кронштейна;;Кріплення для монтажу камери відеоспостереження на кут;9;TRUE;301112;name;
.*\bкут\b.*;;;regex;Тип кріплення кронштейна;;Кріплення для монтажу камери відеоспостереження на кут;10;TRUE;301112;name;
.*\bкупол\b.*;;;regex;Тип кріплення кронштейна;;Стельове кріплення для купольних камер відеоспостереження;11;TRUE;301112;name;
.*\bподвес\b.*;;;regex;Тип кріплення кронштейна;;Стельове кріплення;12;TRUE;301112;name;Подвесной = стельовий
.*\bпідвіс\b.*;;;regex;Тип кріплення кронштейна;;Стельове кріплення;13;TRUE;301112;name;Підвісний = стельовий
.*\bулиц\b.*;;;regex;Застосування;;Вуличне;14;TRUE;301112;name;Уличный = вуличний
.*\bвулиц\b.*;;;regex;Застосування;;Вуличне;15;TRUE;301112;name;
.*\boutdoor\b.*;;;regex;Застосування;;Вуличне;16;TRUE;301112;name;
;Матеріал;.*алюміній.*;regex;Матеріал;;Алюміній;17;TRUE;301112;attribute;
;Матеріал;.*алюмін.*;regex;Матеріал;;Алюмінієвий сплав;18;TRUE;301112;attribute;
;Матеріал;.*сталь.*;regex;Матеріал;;Сталь;19;TRUE;301112;attribute;
;Матеріал;.*нержав.*;regex;Матеріал;;Нержавіюча сталь;20;TRUE;301112;attribute;
;Матеріал;.*пластик.*;regex;Матеріал;;Пластик;21;TRUE;301112;attribute;
;Матеріал;.*ABS.*;regex;Матеріал;;АБС-пластик;22;TRUE;301112;attribute;
;Матеріал;.*PC.*;regex;Матеріал;;Пластмаса;23;TRUE;301112;attribute;
;Матеріал;.*SECC.*;regex;Матеріал;;Оцинкована сталь;24;TRUE;301112;attribute;
;Захист;IP\s*(\d{2});regex;Захист обладнання від води і пилу IP;;IP$1;25;TRUE;301112;attribute;
;Клас захисту;IP\s*(\d{2});regex;Захист обладнання від води і пилу IP;;IP$1;26;TRUE;301112;attribute;
