supplier_name_substring;supplier_attribute;supplier_value_pattern;pattern_type;prom_attribute;prom_attribute_unit_template;prom_value_template;priority;is_active;category_id;rule_kind;notes
(?i).*\bбездротов.*\b.*\bсигналізац.*;;;regex;Інтерфейс;;Бездротовий;1;TRUE;302306;extract;Бездротові системи з назви
(?i).*\bпровідн.*\b.*\bсигналізац.*;;;regex;Інтерфейс;;Провідний;2;TRUE;302306;extract;Провідні системи з назви
(?i).*\bкомбінован.*\b.*\bсигналізац.*;;;regex;Інтерфейс;;Провідний/Бездротовий;3;TRUE;302306;extract;Комбіновані системи
(?i).*\bгібридн.*\b.*\bсигналізац.*;;;regex;Інтерфейс;;Провідний/Бездротовий;4;TRUE;302306;extract;Гібридні системи
;Wi-Fi;.*Wi\s*-?\s*Fi.*;regex;Протокол зв'язку;;Wi-Fi;5;TRUE;302306;attribute;
;Wi-Fi;.*2\.4\s*G.*;regex;Протокол зв'язку;;Wi-Fi;6;TRUE;302306;attribute;
;Wi-Fi;.*5\s*G.*;regex;Протокол зв'язку;;Wi-Fi;7;TRUE;302306;attribute;
;GPRS;.*GPRS.*;regex;Протокол зв'язку;;GPRS;8;TRUE;302306;attribute;
;GPRS;.*GSM.*;regex;Протокол зв'язку;;GSM;9;TRUE;302306;attribute;
;3G/4G;.*3G.*;regex;Протокол зв'язку;;GPRS;10;TRUE;302306;attribute;
;3G/4G;.*4G.*;regex;Протокол зв'язку;;GPRS;11;TRUE;302306;attribute;
;3G/4G;.*LTE.*;regex;Протокол зв'язку;;GPRS;12;TRUE;302306;attribute;
;Ethernet;.*Ethernet.*;regex;Протокол зв'язку;;Ethernet;13;TRUE;302306;attribute;
;Ethernet;.*RJ\s*-?\s*45.*;regex;Протокол зв'язку;;RJ-45;14;TRUE;302306;attribute;
;Метод роботи;.*бездротов.*;regex;Інтерфейс;;Бездротовий;15;TRUE;302306;attribute;
;Метод роботи;.*провідн.*;regex;Інтерфейс;;Провідний;16;TRUE;302306;attribute;
;Частотна характеристика;([0-9]+(?:\.[0-9]+)?)\s*МГц;regex;Робоча частота;МГц;$1 ;17;TRUE;302306;extract;
;Частотна характеристика;([0-9]+)\s*[–\-]\s*([0-9]+(?:\.[0-9]+)?)\s*МГц;regex;Робоча частота;МГц;$1 ;18;TRUE;302306;extract;Діапазон частот - беремо початок
;Відстань передачі;([0-9]+)\s*м;regex;Протяжність;м;$1 ;28;TRUE;302306;extract;Відстань передачі в метрах
;Питание;.*100\s*[–\-—]\s*240.*;regex;Живлення;;Мережа 220В;34;TRUE;302306;attribute;Універсальне живлення
;Питание;.*220.*;regex;Живлення;;Мережа 220В;35;TRUE;302306;attribute;
;Питание;.*12.*В.*;regex;Живлення;;Мережа 12В;36;TRUE;302306;attribute;
;Питание;.*24.*В.*;regex;Живлення;;Мережа 24В;37;TRUE;302306;attribute;
;Потужність споживання;([0-9]+(?:\.[0-9]+)?)\s*Вт;regex;Потужність споживання;Вт;$1 ;38;TRUE;302306;extract;
;Цвет;.*біл.*;regex;Колір;;Білий;43;TRUE;302306;attribute;
;Цвет;.*чорн.*;regex;Колір;;Чорний;44;TRUE;302306;attribute;
;Цвет;.*сір.*;regex;Колір;;Сірий;45;TRUE;302306;attribute;
;Робоча температура;(-?\d+)\s*°?\s*[CС]?\s*(?:-|–|—|~)\s*\+?\s*\d+;regex;Мінімальна робоча температура навколишнього середовища;град.;$1 ;46;TRUE;302306;extract;
;Робоча температура;-?\d+\s*°?\s*[CС]?\s*(?:-|–|—|~)\s*\+?\s*(-?\d+);regex;Максимальна робоча температура навколишнього середовища;град.;$1 ;47;TRUE;302306;attribute;
;Розміри;([0-9]+(?:\.[0-9]+)?)\s*[xх?]\s*([0-9]+(?:\.[0-9]+)?)\s*[xх?]\s*([0-9]+(?:\.[0-9]+)?)\s*(мм);regex;Довжина;$4 ;$3 ;48;TRUE;302306;attribute;
;Розміри;([0-9]+(?:\.[0-9]+)?)\s*[xх?]\s*([0-9]+(?:\.[0-9]+)?)\s*[xх?]\s*([0-9]+(?:\.[0-9]+)?)\s*(мм);regex;Ширина;$4 ;$1 ;49;TRUE;302306;attribute;
;Розміри;([0-9]+(?:\.[0-9]+)?)\s*[xх?]\s*([0-9]+(?:\.[0-9]+)?)\s*[xх?]\s*([0-9]+(?:\.[0-9]+)?)\s*(мм);regex;Висота;$4 ;$2 ;50;TRUE;302306;extract;
;"Розміри, мм";([0-9]+(?:\.[0-9]+)?)\s*[xх?]\s*([0-9]+(?:\.[0-9]+)?)\s*[xх?]\s*([0-9]+(?:\.[0-9]+)?);regex;Довжина;мм;$3 ;51;TRUE;302306;attribute;
;"Розміри, мм";([0-9]+(?:\.[0-9]+)?)\s*[xх?]\s*([0-9]+(?:\.[0-9]+)?)\s*[xх?]\s*([0-9]+(?:\.[0-9]+)?);regex;Ширина;мм;$1 ;52;TRUE;302306;attribute;
;"Розміри, мм";([0-9]+(?:\.[0-9]+)?)\s*[xх?]\s*([0-9]+(?:\.[0-9]+)?)\s*[xх?]\s*([0-9]+(?:\.[0-9]+)?);regex;Висота;мм;$2 ;53;TRUE;302306;attribute;
;Вага;([0-9\.]+)\s*г;regex;Вага;г;$1 г;54;TRUE;302306;extract;
;Вага;([0-9\.]+)\s*кг;regex;Вага;г;$1 кг;55;TRUE;302306;attribute;
