supplier_name_substring;supplier_attribute;supplier_value_pattern;pattern_type;prom_attribute;prom_attribute_unit_template;prom_value_template;priority;is_active;category_id;rule_kind;notes
(?i).*\bроутер\b.*;;;regex;Тип;;Бездротовий;1;TRUE;71902;extract;Роутер з назви
(?i).*\bмаршрутизатор\b.*;;;regex;Тип;;Провідний;2;TRUE;71902;extract;Маршрутизатор з назви
(?i).*\bMESH\b.*;;;regex;Тип;;MESH система;3;TRUE;71902;extract;MESH система
;Wi-Fi;.*802\.11a.*;regex;Стандарт бездротового зв'язку;;802.11a;4;TRUE;71902;attribute;WiFi 802.11a
;Wi-Fi;.*802\.11b.*;regex;Стандарт бездротового зв'язку;;802.11b;5;TRUE;71902;attribute;WiFi 802.11b
;Wi-Fi;.*802\.11g.*;regex;Стандарт бездротового зв'язку;;802.11g;6;TRUE;71902;attribute;WiFi 802.11g
;Wi-Fi;.*802\.11n.*;regex;Стандарт бездротового зв'язку;;802.11n;7;TRUE;71902;attribute;WiFi 802.11n
;Wi-Fi;.*802\.11ac.*;regex;Стандарт бездротового зв'язку;;802.11ac;8;TRUE;71902;attribute;WiFi 802.11ac
;Wi-Fi;.*802\.11ax.*;regex;Стандарт бездротового зв'язку;;802.11ax;9;TRUE;71902;attribute;WiFi 802.11ax
;Wi-Fi;.*Wi\s*-?\s*Fi\s*4.*;regex;Стандарт бездротового зв'язку;;802.11n;10;TRUE;71902;attribute;WiFi 4
;Wi-Fi;.*Wi\s*-?\s*Fi\s*5.*;regex;Стандарт бездротового зв'язку;;802.11ac;11;TRUE;71902;attribute;WiFi 5
;Wi-Fi;.*Wi\s*-?\s*Fi\s*6.*;regex;Стандарт бездротового зв'язку;;802.11ax;12;TRUE;71902;attribute;WiFi 6
;Wi-Fi;.*IEEE\s+802\.11a.*b.*g.*;regex;Стандарт бездротового зв'язку;;IEEE 802.11a/b/g;13;TRUE;71902;attribute;IEEE 802.11a/b/g
;Wi-Fi;.*IEEE\s+802\.11a.*b.*g.*n.*;regex;Стандарт бездротового зв'язку;;IEEE 802.11а/b/g/n/ас;14;TRUE;71902;attribute;IEEE 802.11a/b/g/n
;Wi-Fi;.*IEEE\s+802\.11b.*g.*n.*;regex;Стандарт бездротового зв'язку;;IEEE 802.11b/g/n;15;TRUE;71902;attribute;IEEE 802.11b/g/n
;Wi-Fi;.*IEEE\s+802\.11ax.*;regex;Стандарт бездротового зв'язку;;IEEE 802.11ax/ac/n/a;16;TRUE;71902;attribute;IEEE 802.11ax
;Wi-Fi;.*2\.4.*ГГц.*5.*ГГц.*;regex;WI-FI частота, ГГц;;2.4+5 dual band;17;TRUE;71902;attribute;Dual band 2.4+5
;Wi-Fi;.*2\.4.*GHz.*5.*GHz.*;regex;WI-FI частота, ГГц;;2.4+5 dual band;18;TRUE;71902;attribute;Dual band 2.4+5 GHz
;Wi-Fi;.*2\.4\s*ГГц.*;regex;WI-FI частота, ГГц;;2.4;19;TRUE;71902;attribute;2.4 ГГц
;Wi-Fi;.*5\s*ГГц.*;regex;WI-FI частота, ГГц;;5;20;TRUE;71902;attribute;5 ГГц
;Wi-Fi;.*2\.4\s*GHz.*;regex;WI-FI частота, ГГц;;2.4;21;TRUE;71902;attribute;2.4 GHz
;Wi-Fi;.*5\s*GHz.*;regex;WI-FI частота, ГГц;;5;22;TRUE;71902;attribute;5 GHz
;Wi-Fi;.*MU\s*-?\s*MIMO.*;regex;Підтримка MU-MIMO;;Так;23;TRUE;71902;attribute;MU-MIMO підтримка
;Антена;(\d+)[\s×x]*(\d+);regex;Кількість антен;шт.;$1;24;TRUE;71902;extract;Кількість антен з формату NxN
;Антена;.*вбудов.*;regex;Тип антени;;Внутрішня;25;TRUE;71902;attribute;Вбудовані антени
;Антена;.*внутр.*;regex;Тип антени;;Внутрішня;26;TRUE;71902;attribute;Внутрішні антени
;Антена;.*зовн.*;regex;Тип антени;;Зовнішня;27;TRUE;71902;attribute;Зовнішні антени
;Антена;.*знім.*;regex;Антени WI-FI;;Зовнішні, знімні;28;TRUE;71902;attribute;Знімні антени
;Антена;.*незнім.*;regex;Антени WI-FI;;Зовнішні, незнімні;29;TRUE;71902;attribute;Незнімні антени
;Ethernet порти (Uplink);(\d+)[\s×x]*.*WAN.*;regex;Кількість WAN портів;шт.;$1;30;TRUE;71902;extract;Кількість WAN портів
;Ethernet порти (DownLink);(\d+)[\s×x]*.*LAN.*;regex;Кількість LAN портів;шт.;$1;31;TRUE;71902;extract;Кількість LAN портів
;Ethernet порти (Uplink);.*10\/100\/1000.*;regex;Інтерфейс підключення до локальної мережі/комп'ютера;;Gigabit Ethernet;32;TRUE;71902;attribute;Gigabit Ethernet Uplink
;Ethernet порти (DownLink);.*10\/100\/1000.*;regex;Інтерфейс підключення до локальної мережі/комп'ютера;;Gigabit Ethernet;33;TRUE;71902;attribute;Gigabit Ethernet DownLink
;Ethernet порти (Uplink);.*гігабіт.*;regex;Інтерфейс підключення до локальної мережі/комп'ютера;;Gigabit Ethernet;34;TRUE;71902;attribute;Гігабітний Uplink
