supplier_name_substring;supplier_attribute;supplier_value_pattern;pattern_type;prom_attribute;prom_attribute_unit_template;prom_value_template;priority;is_active;category_id;rule_kind;notes
(?i).*\bRFID\b.*\bзчитувач.*;;;regex;Тип пристрою;;Зчитувач радіохвильовий;1;TRUE;301311;extract;RFID зчитувачі з назви
(?i).*\bміfare.*\bзчитувач.*;;;regex;Тип пристрою;;Зчитувач електронний безконтактний;2;TRUE;301311;extract;Mifare зчитувачі
(?i).*\bMarine.*\bзчитувач.*;;;regex;Тип пристрою;;Зчитувач електронний безконтактний;3;TRUE;301311;extract;Marine зчитувачі
(?i).*\bEM.*\bзчитувач.*;;;regex;Тип пристрою;;Зчитувач електронний безконтактний;4;TRUE;301311;extract;EM-Marine зчитувачі
;Метод роботи;.*RFID.*;regex;Тип пристрою;;Зчитувач радіохвильовий;5;TRUE;301311;attribute;
;Метод роботи;.*карта.*;regex;Тип пристрою;;Зчитувач електронний безконтактний;6;TRUE;301311;attribute;
;Метод роботи;.*відбиток.*;regex;Тип пристрою;;Зчитувач електронний безконтактний;7;TRUE;301311;attribute;
;Метод роботи;.*дротов.*;regex;Форм-фактор;;Стаціонарний;8;TRUE;301311;attribute;
;Матеріал;.*ABS.*;regex;Матеріал;;ABS-пластик;9;TRUE;301311;attribute;
;Матеріал;.*пластик.*;regex;Матеріал;;Пластик;10;TRUE;301311;attribute;
;Матеріал;.*алюм[іi]н.*;regex;Матеріал;;Алюміній;11;TRUE;301311;attribute;
;Матеріал;.*метал.*;regex;Матеріал;;Метал;12;TRUE;301311;attribute;
;Матеріал;.*нержав.*;regex;Матеріал;;Нержавіючий метал;13;TRUE;301311;attribute;
;Матеріал;.*сталь.*;regex;Матеріал;;Сталь;14;TRUE;301311;attribute;
;Монтаж;.*накладн.*;regex;Тип встановлення;;Накладної;15;TRUE;301311;attribute;
;Монтаж;.*врізн.*;regex;Тип встановлення;;Врізний;16;TRUE;301311;attribute;
;Монтаж;.*напіввріз.*;regex;Тип встановлення;;Напівврізний;17;TRUE;301311;attribute;
;Монтаж;.*настін.*;regex;Тип встановлення;;Накладної;18;TRUE;301311;attribute;
;Тип карт;.*Mifare.*;regex;Підтримка стандартів;;Mifare;19;TRUE;301311;attribute;
;Тип карт;.*EM.*;regex;Підтримка стандартів;;EM Marine;20;TRUE;301311;attribute;
;Тип карт;.*Marine.*;regex;Підтримка стандартів;;EM Marine;21;TRUE;301311;attribute;
;Тип карт;.*EM-Marine.*;regex;Підтримка стандартів;;EM Marine;22;TRUE;301311;attribute;
;Тип карт;.*HID.*;regex;Підтримка стандартів;;HID;23;TRUE;301311;attribute;
;Тип карт;.*RFID.*;regex;Підтримка стандартів;;RFID;24;TRUE;301311;attribute;
;Тип карт;.*NFC.*;regex;Підтримка стандартів;;ISO14443;25;TRUE;301311;attribute;
;Тип карт;.*ISO14443.*;regex;Підтримка стандартів;;ISO14443;26;TRUE;301311;attribute;
;Тип карт;.*Proximity.*;regex;Підтримка стандартів;;Proximity;27;TRUE;301311;attribute;
;Тип карт;.*Prox.*;regex;Підтримка стандартів;;Prox;28;TRUE;301311;attribute;
;Тип карт;.*iCLASS.*;regex;Підтримка стандартів;;iCLASS;29;TRUE;301311;attribute;
;Інтерфейс підключення;.*Wiegand.*;regex;Протокол зв'язку;;Wiegand;30;TRUE;301311;attribute;
;Інтерфейс підключення;.*RS\s*-?\s*485.*;regex;Протокол зв'язку;;RS-485;31;TRUE;301311;attribute;
;Інтерфейс підключення;.*RS\s*-?\s*232.*;regex;Протокол зв'язку;;RS-232;32;TRUE;301311;attribute;
;Інтерфейс підключення;.*USB.*;regex;Протокол зв'язку;;USB 2.0;33;TRUE;301311;attribute;
;Інтерфейс підключення;.*RJ\s*-?\s*45.*;regex;Протокол зв'язку;;RJ-45;34;TRUE;301311;attribute;
;Інтерфейс підключення;.*OSDP.*;regex;Протокол зв'язку;;Закритий протокол;35;TRUE;301311;attribute;
;Інтрефейси (вхід);.*Wiegand.*;regex;Протокол зв'язку;;Wiegand;36;TRUE;301311;attribute;
;Інтрефейси (вхід);.*TouchMemory.*;regex;Протокол зв'язку;;Dallas Touch Memory;37;TRUE;301311;attribute;
;Частотна характеристика;.*125.*кГц.*;regex;Робоча частота пристрою;;125 КГц;38;TRUE;301311;attribute;
;Частотна характеристика;.*125.*МГц.*;regex;Робоча частота пристрою;;125 МГц;39;TRUE;301311;attribute;
;Частотна характеристика;.*13\.?56.*МГц.*;regex;Робоча частота пристрою;;"13,56 МГц";40;TRUE;301311;attribute;
;Частотна характеристика;.*13\.?56.*мГц.*;regex;Робоча частота пристрою;;"13,56 МГц";41;TRUE;301311;attribute;
;Частотна характеристика;.*2\.?4.*ГГц.*;regex;Робоча частота пристрою;;"2,4 ГГц";42;TRUE;301311;attribute;
;Частотна характеристика;.*433.*МГц.*;regex;Робоча частота пристрою;;433 МГц;43;TRUE;301311;attribute;
;Відстань зчитування;(\d+)\s*см;regex;Дальність читання (см);;$1 ;44;TRUE;301311;extract;
;Відстань зчитування;(\d+)\s*-\s*(\d+)\s*см;regex;Дальність читання (см);;$2 ;45;TRUE;301311;extract;Діапазон - беремо максимум
;Відстань зчитування;до\s*(\d+)\s*см;regex;Дальність читання (см);;$1 ;46;TRUE;301311;extract;
;Відстань зчитування;?\s*(\d+)\s*мм;regex;Дальність читання (см);;0.$1 ;47;TRUE;301311;extract;Конвертуємо мм в см
;Аудіо індикація;.*присут.*;regex;Індикація;;Звукова;48;TRUE;301311;attribute;
;Індикація станів;.*присут.*;regex;Індикація;;Світлова;49;TRUE;301311;attribute;
;Клавіатура;.*присут.*;regex;Кодонабірна панель;;Так;50;TRUE;301311;attribute;
;Клавіатура;.*Підтримує.*;regex;Кодонабірна панель;;Так;51;TRUE;301311;attribute;
