supplier_name_substring;supplier_attribute;supplier_value_pattern;pattern_type;prom_attribute;prom_attribute_unit_template;prom_value_template;priority;is_active;category_id;rule_kind;notes
(?i).*\bсерверн.*\bшкаф.*;;;regex;Тип корпусу;;Шафа серверна;1;TRUE;70306;extract;Визначення типу з назви
(?i).*\bтелекомуніка.*\bшкаф.*;;;regex;Тип корпусу;;Шафа телекомунікаційна;2;TRUE;70306;extract;Визначення типу з назви
(?i).*\bантивандал.*;;;regex;Тип корпусу;;Антивандальний ящик;3;TRUE;70306;extract;Визначення типу з назви
(?i).*\bкліматич.*;;;regex;Тип корпусу;;Кліматична шафа;4;TRUE;70306;extract;Визначення типу з назви
(?i).*\bнастін.*;;;regex;Варіант установки;;Настінний;5;TRUE;70306;extract;Визначення варіанту установки
(?i).*\bпідлогов.*;;;regex;Варіант установки;;Підлоговий;6;TRUE;70306;extract;Визначення варіанту установки
(?i).*\bнапол.*;;;regex;Варіант установки;;Підлоговий;7;TRUE;70306;extract;Визначення варіанту установки (рос)
(?i).*\bнавісн.*;;;regex;Тип монтажу;;Навісний;8;TRUE;70306;extract;Визначення типу монтажу
;Висота, U;(\d+);regex;Робоча висота (U);;$1U;9;TRUE;70306;extract;Екстракція висоти в юнітах
;Конструкция;.*19\s*["""].*;regex;Робоча ширина (");;19"";10;TRUE;70306;attribute;Стандарт 19 дюймів
;Конструкция;.*10\s*["""].*;regex;Робоча ширина (");;10"";11;TRUE;70306;attribute;Стандарт 10 дюймів
;Максимальне навантаженя;([0-9]+)\s*кг;regex;Максимально допустима статичне навантаження;кг;$1 ;12;TRUE;70306;extract;Екстракція максимального навантаження
;Степень защиты;(IP\d{2});regex;Ступінь захисту IP;;$1 ;13;TRUE;70306;extract;Екстракція IP рейтингу
;Робоча глибина \(мм\);([0-9]+);regex;Робоча глибина (мм);;$1 ;14;TRUE;70306;extract;Екстракція робочої глибини
