supplier_name_substring;supplier_attribute;supplier_value_pattern;pattern_type;prom_attribute;prom_attribute_unit_template;prom_value_template;priority;is_active;category_id;rule_kind;notes
(?i).*\bпроблисков.*;;;regex;Тип;;Проблисковий маячок;1;TRUE;300402;extract;Проблискові маячки з назви
(?i).*\bмаячок.*;;;regex;Тип;;Проблисковий маячок;2;TRUE;300402;extract;Маячки з назви
(?i).*\bсвітлов.*\bпанел.*;;;regex;Тип;;Світлова панель;3;TRUE;300402;extract;Світлові панелі з назви
(?i).*\(червон.*\);;;regex;Колір ковпака;;Червоний;4;TRUE;300402;extract;Червоний колір з назви
(?i).*\(жовт.*\);;;regex;Колір ковпака;;Жовтий;5;TRUE;300402;extract;Жовтий колір з назви
(?i).*\(син.*\);;;regex;Колір ковпака;;Синій;6;TRUE;300402;extract;Синій колір з назви
(?i).*\(помаранчев.*\);;;regex;Колір ковпака;;Помаранчевий;7;TRUE;300402;extract;Помаранчевий колір з назви
(?i).*Red.*;;;regex;Колір ковпака;;Червоний;8;TRUE;300402;extract;Червоний колір Red з назви
(?i).*Blue.*;;;regex;Колір ковпака;;Синій;9;TRUE;300402;extract;Синій колір Blue з назви
(?i).*Yellow.*;;;regex;Колір ковпака;;Жовтий;10;TRUE;300402;extract;Жовтий колір Yellow з назви
;Тип сповіщення;.*звук.*;regex;Джерело світла;;Галогенна лампа;11;TRUE;300402;attribute;Звукові сирени
;Тип сповіщення;.*світло.*;regex;Джерело світла;;Діоди;12;TRUE;300402;attribute;Світлові сирени
;Індикація станів;.*червон.*;regex;Колір діодів;;Червоний;13;TRUE;300402;attribute;
;Індикація станів;.*жовт.*;regex;Колір діодів;;Жовтий;14;TRUE;300402;attribute;
;Індикація станів;.*син.*;regex;Колір діодів;;Синій;15;TRUE;300402;attribute;
;Монтаж;.*настен.*;regex;Кріплення;;Стаціонарне;16;TRUE;300402;attribute;Настінний монтаж
;Монтаж;.*магніт.*;regex;Кріплення;;Магнітне;17;TRUE;300402;attribute;Магнітне кріплення
;Питание;.*CR123A.*;regex;Живлення;;Батарейки одноразові;18;TRUE;300402;attribute;Живлення від батарейок
;Питание;.*12.*В.*;regex;Живлення;;Мережа 12В;19;TRUE;300402;attribute;
;Питание;.*24.*В.*;regex;Живлення;;Мережа 24В;20;TRUE;300402;attribute;
;Питание;.*акумулятор.*;regex;Живлення;;Акумулятор;21;TRUE;300402;attribute;
;Питание;.*PoE.*;regex;Живлення;;PoE;22;TRUE;300402;attribute;
;Питание;.*USB.*;regex;Живлення;;USB;23;TRUE;300402;attribute;
;Питание;(\d+)\s*[×xх]\s*CR;regex;Живлення;;Батарейки одноразові;24;TRUE;300402;attribute;Формат кількості батарейок
;Питание;(\d+)\s*В;regex;Напруга;В;$1 ;25;TRUE;300402;extract;Екстракт напруги
;Розміри;([0-9]+(?:\.[0-9]+)?)\s*[xх?]\s*([0-9]+(?:\.[0-9]+)?)\s*[xх?]\s*([0-9]+(?:\.[0-9]+)?)\s*(мм);regex;Довжина;$4 ;$3 ;26;TRUE;300402;extract;
;Розміри;([0-9]+(?:\.[0-9]+)?)\s*[xх?]\s*([0-9]+(?:\.[0-9]+)?)\s*[xх?]\s*([0-9]+(?:\.[0-9]+)?)\s*(мм);regex;Ширина;$4 ;$1 ;27;TRUE;300402;extract;
;Розміри;([0-9]+(?:\.[0-9]+)?)\s*[xх?]\s*([0-9]+(?:\.[0-9]+)?)\s*[xх?]\s*([0-9]+(?:\.[0-9]+)?)\s*(мм);regex;Висота;$4 ;$2 ;28;TRUE;300402;extract;
;"Розміри, мм";([0-9]+(?:\.[0-9]+)?)\s*[xх?]\s*([0-9]+(?:\.[0-9]+)?)\s*[xх?]\s*([0-9]+(?:\.[0-9]+)?);regex;Довжина;мм;$3 ;29;TRUE;300402;extract;
;"Розміри, мм";([0-9]+(?:\.[0-9]+)?)\s*[xх?]\s*([0-9]+(?:\.[0-9]+)?)\s*[xх?]\s*([0-9]+(?:\.[0-9]+)?);regex;Ширина;мм;$1 ;30;TRUE;300402;extract;
;"Розміри, мм";([0-9]+(?:\.[0-9]+)?)\s*[xх?]\s*([0-9]+(?:\.[0-9]+)?)\s*[xх?]\s*([0-9]+(?:\.[0-9]+)?);regex;Висота;мм;$2 ;31;TRUE;300402;extract;
