supplier_name_substring;supplier_attribute;supplier_value_pattern;pattern_type;prom_attribute;prom_attribute_unit_template;prom_value_template;priority;is_active;category_id;rule_kind;notes
.*\b(\d+)\s*[ВВ][тТ]\b.*;;;regex;Вихідна потужність;Вт;$1 ;1;TRUE;14191106;extract;Power in Watts from name
.*\b(\d{1,2})[ВВ]\s+\d+[АA].*;;;regex;Вихідна напруга;В;$1 ;2;TRUE;14191106;extract;Output voltage from name with current
.*\b(online|он-?лайн)\b.*;;;regex;Тип ДБЖ;;З подвійним перетворенням (On-line);3;TRUE;14191106;extract;Online UPS type from name
.*\b(offline|off-?line|standby)\b.*;;;regex;Тип ДБЖ;;Резервний (Off-line або Standby);4;TRUE;14191106;extract;Offline UPS type from name
.*\b(line-?interactive|інтерактивн)\b.*;;;regex;Тип ДБЖ;;Лінійно-інтерактивний (Line-Interactive);5;TRUE;14191106;extract;Line-interactive from name
;Технология;.*(?:лінійний інтерактивн|line-?interactive).*;regex;Тип ДБЖ;;Лінійно-інтерактивний (Line-Interactive);110;TRUE;14191106;attribute;Line-interactive technology
;Технология;.*(?:інверторн|inverter).*;regex;Тип ДБЖ;;З подвійним перетворенням (On-line);111;TRUE;14191106;attribute;Inverter technology
;Тип устройства;.*(?:ДБЖ|ИБП|UPS).*;regex;;;Пропустити;112;TRUE;14191106;skip;UPS device type is obvious
;Тип устройства;.*(?:Блок безперебійного|безперервного|ББП).*;regex;;;Пропустити;113;TRUE;14191106;skip;Power supply block type
;Тип устройства;.*(?:Імпульсн|импульсн|pulse).*;regex;;;Пропустити;114;TRUE;14191106;skip;Pulse type not in prom
;Тип аккумулятора;(AGM|GEL|Li-Ion|LiFePO4|Ni-MH|Ni-Cd);regex;Тип акумулятора;;$1 ;120;TRUE;14191106;attribute;Battery type
;Батареї;.*\b(\d+)\s*[ВВ].*\b(\d+\.?\d*)\s*[АA](?:•|·)?[гчГЧ]\b.*;regex;Напруга акумулятору;В;$1 ;130;TRUE;14191106;attribute;Battery voltage from Батареї
;Батареї;.*\b(\d+\.?\d*)\s*[АA](?:•|·)?[гчГЧ]\b.*;regex;Ємність акумулятору;мАг;$1*1000 ;131;TRUE;14191106;attribute;Battery capacity Ah to mAh
;Підтримка АКБ;.*\b(\d+\.?\d*)\s*[АA](?:•|·)?[гчГЧ]\b.*;regex;Ємність акумулятору;мАг;$1*1000 ;132;TRUE;14191106;attribute;Supported battery capacity
;Аккумулятор;.*\b(\d+)\s*[ВВ].*\b(\d+\.?\d*)\s*[АA](?:•|·)?[гчГЧ]\b.*;regex;Напруга акумулятору;В;$1 ;133;TRUE;14191106;attribute;Battery voltage from Аккумулятор
;Входное напряжение;.*\b(\d+)\s*[–-]\s*(\d+)\s*[ВВ].*;regex;Мінімальна вхідна напруга;В;$1 ;140;TRUE;14191106;attribute;Min input voltage range
;Входное напряжение;.*\b(\d+)\s*[–-]\s*(\d+)\s*[ВВ].*;regex;Максимальна вхідна напруга;В;$2 ;141;TRUE;14191106;attribute;Max input voltage range
;Входное напряжение;.*\b(\d{3})\s*[ВВ]\b.*;regex;Мінімальна вхідна напруга;В;$1 ;142;TRUE;14191106;attribute;Single input voltage as min
;Входное напряжение;.*\b(\d{3})\s*[ВВ]\b.*;regex;Максимальна вхідна напруга;В;$1 ;143;TRUE;14191106;attribute;Single input voltage as max
;Діапазон вхідної напруги;.*\b(\d+)\s*[–-]\s*(\d+)\s*[ВВ].*;regex;Мінімальна вхідна напруга;В;$1 ;144;TRUE;14191106;attribute;Min from input range
;Діапазон вхідної напруги;.*\b(\d+)\s*[–-]\s*(\d+)\s*[ВВ].*;regex;Максимальна вхідна напруга;В;$2 ;145;TRUE;14191106;attribute;Max from input range
