supplier_name_substring;supplier_attribute;supplier_value_pattern;pattern_type;prom_attribute;prom_attribute_unit_template;prom_value_template;priority;is_active;category_id;rule_kind;notes
(?i)\b(электро)?маг\w*;;;regex;Тип замка;;Електромагнітний;1;TRUE;301010;name;
(?i)\bэлектромех\w*;;;regex;Тип замка;;Електромеханічний;2;TRUE;301010;name;
(?i)\bэлектрозащелка\w*;;;regex;Тип замка;;Електромеханічний;3;TRUE;301010;name;
(?i)\bумный\w*;;;regex;Тип замка;;Електромеханічний;4;TRUE;301010;name;
(?i)\b(электро)?ригельн\w*;;;regex;Тип замка;;Ригельна система запирання;5;TRUE;301010;name;
(?i)\bбиометрическ\w*;;;regex;Тип замка;;Біометричний;6;TRUE;301010;name;
(?i)\bпальц\w*;;;regex;Тип замка;;Біометричний;7;TRUE;301010;name;
(?i).*\bвнутрішн.*\bнакладн.*;;;regex;Тип встановлення замку;;Накладний;8;TRUE;301010;name;
(?i).*\bвнутрішн.*\bврізн.*;;;regex;Тип встановлення замку;;Врізний;9;TRUE;301010;name;
(?i).*\bвріз.*\b.*;;;regex;Тип встановлення замку;;Врізний;10;TRUE;301010;name;
(?i).*\bнаклад.*\b.*;;;regex;Тип встановлення замку;;Накладний;11;TRUE;301010;name;
;Сила утримання;(\d+)\s*кг;regex;Сила утримання;кг;$1 ;12;TRUE;301010;extract;
;Живлення;.*\b12\s*В\b.*;regex;Живлення;;Мережа 12В;13;TRUE;301010;attribute;
;Живлення;.*\b24\s*В\b.*;regex;Живлення;;Мережа 24В;14;TRUE;301010;attribute;
;Живлення;.*\b220\s*В\b.*;regex;Живлення;;Мережа 220В;15;TRUE;301010;attribute;
;Живлення;.*\b110\s*В\b.*;regex;Живлення;;Мережа 110В;16;TRUE;301010;attribute;
;Живлення;.*\bБатарейк.*\b.*;regex;Живлення;;Батарейки одноразові;17;TRUE;301010;attribute;
;Живлення;.*\bакумулятор.*\b.*;regex;Живлення;;Батарейки акумуляторного типу;18;TRUE;301010;attribute;
;Матеріал;.*нержав.*сталь.*;regex;Матеріал замку;;Нержавіюча сталь;19;TRUE;301010;attribute;
;Матеріал;.*\bсталь\b.*;regex;Матеріал замку;;Сталь;20;TRUE;301010;attribute;
;Матеріал;.*\bалюміній\b.*;regex;Матеріал замку;;Алюміній;21;TRUE;301010;attribute;
;Матеріал;.*анодован.*алюміній.*;regex;Матеріал замку;;Анодований алюміній;22;TRUE;301010;attribute;
;Матеріал;.*\bцинк\b.*;regex;Матеріал замку;;Цинковий сплав;23;TRUE;301010;attribute;
;Матеріал;.*\bлатун.*\b.*;regex;Матеріал замку;;Латунь;24;TRUE;301010;attribute;
;Матеріал;.*\bметал\b.*;regex;Матеріал замку;;Нержавіючий метал;25;TRUE;301010;attribute;
;Монтаж;.*накладн.*;regex;Тип встановлення замку;;Накладний;26;TRUE;301010;attribute;
;Монтаж;.*врізн.*;regex;Тип встановлення замку;;Врізний;27;TRUE;301010;attribute;
;Монтаж;.*універсальн.*;regex;Відкриття блоку;;Універсальне;28;TRUE;301010;attribute;
;Баксет;(\d+)\s*мм;regex;Backset;мм;$1 ;29;TRUE;301010;extract;
;Споживання;(\d+)\s*мА;regex;Живлення в режимі очікування;мА;$1 ;30;TRUE;301010;extract;
;Напруга;(\d+)\s*В;regex;Напруга;В;$1 ;31;TRUE;301010;extract;
;Метод роботи;.*бездротов.*;regex;Інтерфейс;;Бездротовий;32;TRUE;301010;attribute;
;Метод роботи;.*\bзчитувач\b.*;regex;Механізм секретності;;Біометричний;33;TRUE;301010;attribute;
;Метод роботи;.*відбиток.*паль.*;regex;Механізм секретності;;Біометричний;34;TRUE;301010;attribute;
;Метод роботи;.*\bзчитувач\b.*;regex;Тип замка;;Біометричний;35;TRUE;301010;attribute;
;Метод роботи;.*відбиток.*паль.*;regex;Тип замка;;Біометричний;36;TRUE;301010;attribute;
;Метод роботи;.*Bluetooth.*;regex;Протокол зв'язку;;Wi-Fi;37;TRUE;301010;attribute;
;Без живлення;.*закрит.*;regex;Тип замикання;;Основний;38;TRUE;301010;attribute;
;Без живлення;.*відкрит.*;regex;Тип замикання;;Додатковий;39;TRUE;301010;attribute;
;Пам'ять карт і подій;(\d+);regex;Кількість шаблонів карт/ключів;;$1 ;40;TRUE;301010;extract;
;Відстань зчитування;(\d+)\s*(?:см|м);regex;Радіус дії карти/ключа;см;$1 ;41;TRUE;301010;extract;
;Таймер;(\d+).*сек;regex;Таймер затримки;сек;$1 ;42;TRUE;301010;extract;
;Особливості;.*датчик.*;regex;Індикація відкриття/закриття;;Так;43;TRUE;301010;attribute;
;Особливості;.*таймер.*;regex;Автоматичне замикання;;Так;44;TRUE;301010;attribute;
;Особливості;.*IP\s*(\d{2});regex;Вандалозахист;;Так;45;TRUE;301010;extract;
;Особливості;.*\bWi-Fi\b.*;regex;Протокол зв'язку;;Wi-Fi;46;TRUE;301010;attribute;
;Особливості;.*Bluetooth.*;regex;Протокол зв'язку;;Wi-Fi;47;TRUE;301010;attribute;
;Тип карт;.*Mifare.*;regex;Відкриття пристрою;;Ідентифікатором;48;TRUE;301010;attribute;
;Метод роботи;.*Ключ.*;regex;Відкриття пристрою;;Ключем;49;TRUE;301010;attribute;
;Метод роботи;.*Код.*;regex;Відкриття пристрою;;Кодонаборною клавіатурою;50;TRUE;301010;attribute;
;Метод роботи;.*відбиток.*;regex;Відкриття пристрою;;Ідентифікація відбитка пальця;51;TRUE;301010;attribute;
;Метод роботи;.*Радіобрел.*;regex;Відкриття пристрою;;Радиобрелком;52;TRUE;301010;attribute;
;Метод роботи;.*мобільн.*;regex;Відкриття пристрою;;З мобільного телефону;53;TRUE;301010;attribute;
;Особливості;.*резервн.*;regex;Резервна система відкривання;;Механічний замок;54;TRUE;301010;attribute;
;Особливості;.*майстер-ключ.*;regex;Резервна система відкривання;;Майстер-ключ;55;TRUE;301010;attribute;
;Управління пристроєм;.*ПК.*;regex;Управління пристроєм;;ПК (опціонально);56;TRUE;301010;attribute;
;Управління пристроєм;.*мобільн.*;regex;Управління пристроєм;;Мобільний телефон (опціонально);57;TRUE;301010;attribute;
;Додатково;.*сила.*утриман.*(\d+)\s*кг;regex;Сила утримання;кг;$1 ;58;TRUE;301010;extract;
;У комплекті;.*ключ.*;regex;Кількість ключів;;2;59;TRUE;301010;attribute;
;У комплекті;.*планк.*;regex;Відповідна планка;;1;60;TRUE;301010;attribute;
;У комплекті;.*кріпильн.*;regex;Кріпильний комплект;;Так;61;TRUE;301010;attribute;
;Максимальне навантаження;(\d+)\s*кг;regex;Сила утримання;кг;$1 ;62;TRUE;301010;extract;
