supplier_name_substring;supplier_attribute;supplier_value_pattern;pattern_type;prom_attribute;prom_attribute_unit_template;prom_value_template;priority;is_active;category_id;rule_kind;notes
.*\b(microSD|MicroSD|Micro SD|microSDHC|microSDXC)\b.*;;;regex;Тип карти пам'яті;;microSD;1;TRUE;63705;name;Визначення microSD з назви
.*\b(SD|SDXC|SDHC)\b(?!.*micro).*;;;regex;Тип карти пам'яті;;SD;2;TRUE;63705;name;Визначення SD з назви (не micro)
.*\b(CFexpress)\b.*;;;regex;Тип карти пам'яті;;CFexpress Type A;3;TRUE;63705;name;Визначення CFexpress з назви
.*\b(Compact Flash|CompactFlash|CF)\b.*;;;regex;Тип карти пам'яті;;Compact Flash;4;TRUE;63705;name;Визначення Compact Flash з назви
;Форм-фактор;microSD;exact;Тип карти пам'яті;;microSD;10;TRUE;63705;attribute;Маппінг форм-фактора microSD
;Форм-фактор;MicroSD;exact;Тип карти пам'яті;;microSD;11;TRUE;63705;attribute;Маппінг форм-фактора MicroSD
;Форм-фактор;microSDHC;exact;Тип карти пам'яті;;microSDHC;12;TRUE;63705;attribute;Маппінг форм-фактора microSDHC
;Форм-фактор;microSDXC;exact;Тип карти пам'яті;;microSDXC;13;TRUE;63705;attribute;Маппінг форм-фактора microSDXC
;Форм-фактор;MicroSDXC.*;regex;Тип карти пам'яті;;microSDXC;14;TRUE;63705;attribute;Маппінг форм-фактора MicroSDXC з додатковим текстом
;Форм-фактор;Micro SD.*;regex;Тип карти пам'яті;;microSD;15;TRUE;63705;attribute;Маппінг форм-фактора Micro SD з додатковим текстом
;Форм-фактор;SD;exact;Тип карти пам'яті;;SD;16;TRUE;63705;attribute;Маппінг форм-фактора SD
;Форм-фактор;SDXC;exact;Тип карти пам'яті;;SDXC;17;TRUE;63705;attribute;Маппінг форм-фактора SDXC
;Форм-фактор;SDHC;exact;Тип карти пам'яті;;SD;18;TRUE;63705;attribute;Маппінг форм-фактора SDHC
;Ємність;(\d+)\s*GB;regex;Об'єм пам'яті;GB;$1 ;20;TRUE;63705;extract;Екстракція ємності з GB
;Ємність;(\d+)\s*[ГгGg][БбBb];regex;Об'єм пам'яті;GB;$1 ;21;TRUE;63705;extract;Екстракція ємності з Гб/ГБ
;Ємність;(\d+)\s*Гб;regex;Об'єм пам'яті;GB;$1 ;22;TRUE;63705;extract;Екстракція ємності з Гб
;Ємність;(\d+)\s*ГБ;regex;Об'єм пам'яті;GB;$1 ;23;TRUE;63705;extract;Екстракція ємності з ГБ
;Ємність;(\d+)Гб.*;regex;Об'єм пам'яті;GB;$1 ;24;TRUE;63705;extract;Екстракція ємності Гб з додатковим текстом
;Макс. швидкість читання;(\d+)\s*Мб\s*/\s*с;regex;Швидкість зчитування;Мб/сек;$1 ;30;TRUE;63705;extract;Екстракція швидкості читання Мб/с
;Макс. швидкість читання;(\d+)\s*МБ\s*/\s*с;regex;Швидкість зчитування;Мб/сек;$1 ;31;TRUE;63705;extract;Екстракція швидкості читання МБ/с
;Макс. швидкість читання;(\d+)\s*Мбіт\s*/\s*с;regex;Швидкість зчитування;Мб/сек;$1 ;32;TRUE;63705;extract;Екстракція швидкості читання Мбіт/с
;Макс. швидкість запису;(\d+)\s*Мб\s*/\s*с;regex;Швидкість запису;Мб/сек;$1 ;40;TRUE;63705;extract;Екстракція швидкості запису Мб/с
;Макс. швидкість запису;(\d+)\s*МБ\s*/\s*с;regex;Швидкість запису;Мб/сек;$1 ;41;TRUE;63705;extract;Екстракція швидкості запису МБ/с
;Макс. швидкість запису;(\d+)\s*Мбіт\s*/\s*с;regex;Швидкість запису;Мб/сек;$1 ;42;TRUE;63705;extract;Екстракція швидкості запису Мбіт/с
;Макс. швидкість тривалої передачі;(\d+)\s*/\s*\d+\s*Мб/с;regex;Швидкість зчитування;Мб/сек;$1 ;50;TRUE;63705;extract;Екстракція швидкості читання з пари (читання/запис)
;Макс. швидкість тривалої передачі;(\d+)\s*/\s*\d+\s*МБ/с;regex;Швидкість зчитування;Мб/сек;$1 ;51;TRUE;63705;extract;Екстракція швидкості читання з пари (читання/запис) МБ
;Макс. швидкість тривалої передачі;(\d+)\s*/\s*\d+\s*Мбіт/с;regex;Швидкість зчитування;Мб/сек;$1 ;52;TRUE;63705;extract;Екстракція швидкості читання з пари (читання/запис) Мбіт
;Макс. швидкість тривалої передачі;\d+\s*/\s*(\d+)\s*Мб/с;regex;Швидкість запису;Мб/сек;$1 ;53;TRUE;63705;extract;Екстракція швидкості запису з пари (читання/запис)
;Макс. швидкість тривалої передачі;\d+\s*/\s*(\d+)\s*МБ/с;regex;Швидкість запису;Мб/сек;$1 ;54;TRUE;63705;extract;Екстракція швидкості запису з пари (читання/запис) МБ
;Макс. швидкість тривалої передачі;\d+\s*/\s*(\d+)\s*Мбіт/с;regex;Швидкість запису;Мб/сек;$1 ;55;TRUE;63705;extract;Екстракція швидкості запису з пари (читання/запис) Мбіт
;Макс. швидкість тривалої передачі;(\d+)\s*-\s*\d+\s*МБ/с;regex;Швидкість зчитування;Мб/сек;$1 ;56;TRUE;63705;extract;Екстракція швидкості читання з діапазону через дефіс
;Макс. швидкість тривалої передачі;\d+\s*-\s*(\d+)\s*МБ/с;regex;Швидкість запису;Мб/сек;$1 ;57;TRUE;63705;extract;Екстракція швидкості запису з діапазону через дефіс
