Номер_групи;Особисті нотатки;Категория на моем сайте_UA
8950011;"V, VMAX";Відеокамери для відеоспостереження
8950007;"V, VMAX";Відеореєстратори для відеоспостереження
83889367;"V, Vmin";Накопичувачі для відеоспостереження
4321341;"V, VMAX";Комплектуючі для відеоспостереження
4328775;"V, VMAX";Відеодомофони
90718784;"V, VMAX";Викличні відеопанелі
4339717;"V, Vmin";Переговорні пристрої
72575633;"V, VMAX";Комплектуючі для домофонів
90906797;"V, Vmin";Тепловізори
139094704;"V, Vmin";Рації
139094708;"V, Vmin";Дрони
90945152;"V, VMAX";Сигналізація Dahua Technology
90945169;"V, VMAX";Сигналізація Hikvision
90997501;"V, Vmin";Замки и турнікети
127628166;"V, Vmin";Термінали
127628170;"V, Vmin";Кнопки виходу
127628173;"V, Vmin";Зчитувачі
127628176;"V, Vmin";Контролери
16703618;"V, Vmin";Комплектуючі для контролю доступу
23295147;"V, VMAX";Комутатори
90997677;"V, Vmin";Маршрутизатори
90997694;"V, Vmin";Точки доступу
22818554;"V, Vmin";Обладнання для системи Розумний будинок
127351912;"V, Vmin";Джерела безперебійного живлення 12-24В
127351948;"V, Vmin";"ДБЖ, інвертори, стабілізатори 220В"
127351950;"V, Vmin";Блоки живлення
127351973;"V, Vmin";Свинцеві акумулятори
144038788;"V, Vmin";Літієві акумулятори
144038804;"V, Vmin";Інвертори
144038790;"V, Vmin";Системи накопичення енергії BESS
144038805;"V, Vmin";Автономні системи живлення
144038807;"V, Vmin";Зарядні станції
17012111;"V, Vmin";Кабель
17012456;"V, Vmin";Серверні шафи
140905382;PROM;Безпека і Розумний Будинок
