Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики
Тип;;UTP CAT5e;Оболонка;;Полівінілхлорид (PVC);Довжина кабеля;;305 м;Матеріал жили (провідника);;мідь;Кількість жил;;8;Переріз;;0.5 мм;Кількість в ящику;;2 шт;Розмір упаковки (Ш х В х Г);;210 x 360 x 360 мм;Вага брутто;;9.2 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тип;;U / UTP CAT5E-4P- PVC-CM;Стандарти;;"ISO / IEC11801, TIA-568-C.2 YD / T1019";Розмір;;305 ± 1.5 м;Основний провідник;;"Безкиснева мідь, діаметр: 0.500 ± 0.005мм";Ізоляція дроту;;"Поліетилен високої міцності, 0.88 ± 0.03мм";Маркування кабелю;;"Висота символів: 3.0 ± 0.3мм, колір символів: чорний, помилка друку і пробіл: ≤ ± 0.5%, 1 м";Зовнішній вигляд;;"Товщина: 0.50 ± 0.05мм, Зовнішній діаметр: 5.0 ± 0.4мм, Маіеріал: ПВХ, СМ";Колір проводу;;"1-я пара: біло-синій / синій, 2-я пара: біло-помаранчевий / помаранчевий, 3-тя пара: біло-зелений / зелений, 4-я пара: біло-коричневий / коричневий";Опір;;100 ± 15 Ом (1.0-100.0 МГц);Налагодження;;≤45ns / 100м (1.0-100.0Мгц);Опір постійного струму;;макс. 9.5Ом / 100м;Незбалансований опір постійного струму;;макс. 5%;Фізичні властивості оболонки (до зносу);;"Межа міцності ≥13.5Mpa, відносне подовження: ≥150%";Знос;;100 ° Cx24чx7д;Фізичні властивості оболонки (після зносу);;"Межа міцності ≥12.5Mpa, відносне подовження: ≥125%";Холодний вигин;;"-20 ± 2 ° Cx4ч, 8 × Cable O.D., без видимих ​​пошкоджень";Робоча температура;;-20 ℃ - 75 ℃;Ріпкорд;;є;Вага;;10 кг;Кількість в ящику;;2 шт;Розмір упаковки (Ш х В х Г);;200 x 360 x 360 мм;Вага брутто;;10.4 кг
Тип;;U / UTP CAT5E-PE;Стандарти;;ANSI / TIA-568-C.2;Розмір;;305 ± 0.5 м;Основний провідник;;"Безкиснева мідь, діаметр: 0.50 +\- мм";Ізоляція дроту;;"Поліетилен високої міцності, 0.85 +\- мм";Маркування кабелю;;"Висота символів: 3.0 ± 0.3мм, колір символів: чорний, помилка друку і пробіл: ≤ ± 0.5%, 1 м";Зовнішній вигляд;;"Товщина: 0.55 ± 0.03мм, Зовнішній діаметр: 5.0 ± 0.3мм, Матеріал: ПВХ, СМ";Колір проводу;;"1-я пара: біло-синій / синій, 2-я пара: біло-помаранчевий / помаранчевий, 3-тя пара: біло-зелений / зелений, 4-я пара: біло-коричневий / коричневий";Опір;;100 ± 15 Ом (1.0-100.0 МГц);Налагодження;;≤552ns / 100м (1.0-100.0Мгц);Опір постійного струму;;макс. 9.5Ом / 100м;Незбалансований опір постійного струму;;макс. 2%;Фізичні властивості оболонки (до зносу);;"Межа міцності ≥10Mpa, відносне подовження: ≥300%";Знос;;100 ° Cx24чx10д;Фізичні властивості оболонки (після зносу);;"Межа міцності ≥12.5Mpa, відносне подовження: ≥125%";Холодний вигин;;"-20 ± 2 ° Cx4ч, 8 × Cable O.D., без видимих ​​пошкоджень";Робоча температура;;-20 ℃ - 60 ℃;Ріпкорд;;є;Кількість в ящику;;2 шт;Розмір упаковки (Ш х В х Г);;350 x 200 x 350 мм;Вага брутто;;8.14 кг;;;
Тип;;Cat 5e U/UTP PE;Екранування;;відсутнє;Оболонка;;"світлостабілізований поліетилен RAL 9011 чорний, 80 °C";Довжина кабеля;;305 м;Матеріал жили (провідника);;мідь;Монтаж;;зовні приміщення;Кількість в ящику;;1 шт;Розмір упаковки (Ш х В х Г);;400 x 200 x 440 мм;Вага брутто;;8.68 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тип;;Cat. 5e U/UTP 4х2х24 AWG;Довжина кабеля;;305 м;Монтаж;;"при стаціонарній (нерухомій) прокладці: 4 діаметри кабелю, при прокладці, монтажі та експлуатаційних вигинах: 8 діаметрів кабелю";Кількість жил;;8;Кількість в ящику;;1 шт;Розмір упаковки (Ш х В х Г);;380 x 200 x 385 мм;Вага брутто;;9.22 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тип;;U/UTP Cat6;Центральний провідник;;Алюміній-Мідь (CCA);Оболонка;;PVC;Довжина кабеля;;305 м;Кількість жил;;8;Переріз;;0.57 мм2 23AWG;Кількість в ящику;;2 шт;Розмір упаковки (Ш х В х Г);;240 x 400 x 400 мм;Вага брутто;;10.3 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тип;;UTP CAT5e;Оболонка;;поліетилен;Довжина кабеля;;305 м;Матеріал жили (провідника);;мідь;Кількість жил;;8;Переріз;;0.50 мм;Кількість в ящику;;2 шт;Розмір упаковки (Ш х В х Г);;215 x 410 x 400 мм;Вага брутто;;9.34 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тип;;Cat 5e U/UTP LSZH;Екранування;;відсутнє;Оболонка;;"безгалогеннний компаунд RAL 1015 кремовий, 70 °C";Довжина кабеля;;305 м;Матеріал жили (провідника);;мідь;Монтаж;;приміщення;Кількість жил;;8;Кількість в ящику;;1 шт;Розмір упаковки (Ш х В х Г);;210 x 410 x 440 мм;Вага брутто;;9.72 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тип;;UTP мережевий;Частотна характеристика;;350 мГц;Довжина кабеля;;305 м;Матеріал;;мідь;Опір;;96 Ом/км;Вхідна напруга;;72В;Розмір;;8 жил по 0.51мм;Розмір упаковки (Ш х В х Г);;360 x 210 x 370 мм;Вага брутто;;6 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тип;;U/UTP;Стандарти;;cat.5e;Довжина кабеля;;305 м;Розмір;;"діаметр жили 0,51 мм";Кількість в ящику;;1 шт;Розмір упаковки (Ш х В х Г);;400 x 230 x 390 мм;Вага брутто;;9.48 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тип;;U/UTP-cat.5E-SL;Центральний провідник;;Мідний (Cu);Довжина кабеля;;100 м;Кількість жил;;8;Переріз;;"0,51 мм2";Розмір упаковки (Ш х В х Г);;140 x 270 x 270 мм;Вага брутто;;3.48 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тип;;U/UTP-cat.5E LSFROH;Центральний провідник;;Мідь;Оболонка;;LSZH (LSOH);Довжина кабеля;;305м;Кількість жил;;8;Переріз;;"0,51мм2";Кількість в ящику;;1 шт;Розмір упаковки (Ш х В х Г);;240 x 390 x 400 мм;Вага брутто;;9.94 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тип;;FTP мережевий;Частотна характеристика;;200 мГц;Довжина кабеля;;305 м;Матеріал;;мідь;Опір;;96 Ом/км;Вхідна напруга;;72В;Розмір;;8 жил по 0.51мм;Кількість в ящику;;1 шт;Розмір упаковки (Ш х В х Г);;270 x 400 x 400 мм;Вага брутто;;12.2 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тип;;Cat. 5e F/UTP LSZH;Екранування;;алюмополімерна стрічка;Оболонка;;"безгалогеннний компаунд RAL 1015 кремовий, 70 °C";Довжина кабеля;;305 м;Матеріал жили (провідника);;мідь;Монтаж;;всередині приміщення;Кількість в ящику;;1 шт;Розмір упаковки (Ш х В х Г);;400 x 255 x 435 мм;Вага брутто;;12.74 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тип;;UTP мережевий;Довжина кабеля;;305 м;Центральний провідник;;мідь;Кількість жил;;8;Переріз;;0.51мм2;Кількість в ящику;;2 шт;Розмір упаковки (Ш х В х Г);;395 x 235 x 395 мм;Вага брутто;;9.32 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тип;;Cat 5e U/UTP;Екранування;;відсутнє;Оболонка;;"полівінілхлоридний пластикат RAL 7001 сірий, TM51 70 °C";Довжина кабеля;;305 м;Матеріал жили (провідника);;медь;Переріз;;0.48 мм;Монтаж;;приміщення;Кількість в ящику;;1 шт;Розмір упаковки (Ш х В х Г);;380 x 200 x 380 мм;Вага брутто;;9.48 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тип;;U/UTP-cat.5E-SL;Центральний провідник;;Мідний (Cu);Довжина кабеля;;100 м;Кількість жил;;8;Переріз;;"0,46 мм2";Розмір упаковки (Ш х В х Г);;140 x 270 x 270 мм;Вага брутто;;3.48 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тип;;Cat. 5e U/UTP РЕ;Оболонка;;"світлостабілізований поліетилен RAL 9011 чорний, 80 °C";Довжина кабеля;;305 м;Матеріал жили (провідника);;медь 24 AWG;Монтаж;;поза приміщенням;Кількість в ящику;;1 шт;Розмір упаковки (Ш х В х Г);;400 x 400 x 240 мм;Вага брутто;;14.7 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тип;;Cat 5e F/UTP;Екранування;;алюмополімерна стрічка;Оболонка;;полівінілхлоридний пластикат RAL 7001 сірий;Довжина кабеля;;305 м;Матеріал жили (провідника);;мідь;Монтаж;;в приміщенні;Кількість в ящику;;1 шт;Розмір упаковки (Ш х В х Г);;400 x 255 x 530 мм;Вага брутто;;12.22 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тип;;Cat.6 U/UTP;Екранування;;відсутнє;Оболонка;;"полівінілхлоридний пластикат RAL 7001 сірий, TM51 70 °C";Довжина кабеля;;305 м;Матеріал жили (провідника);;мідь;Монтаж;;приміщення;Кількість в ящику;;1 шт;Розмір упаковки (Ш х В х Г);;400 x 255 x 440 мм;Вага брутто;;12.32 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
